---
Bogennummer: '300424'
Ort: Neckenmarkt
Gid: 523
Transliterationsprojekt: REDE
Transliterent: Dittmann
Anmerkungen: ''
Erstelldatum: 2025-11-18 09:38:38.413917
Änderungsdatum: 2025-11-18 09:38:38.413917
Satzversion: 1
...
WS1	In Wintɒ fliɒqŋ {q hochgestellt} di trukkɒnɒn plādl in dɒ Luft um.
WS3	Tui Kuln {n hochgestellt} nin äuufm {zweites u hochgestellt}, dɒs dmüli bald äũm {m hochgestellt} zɒn Käurchch[a] {r hochgestellt} fäunŋkd {nŋ hochgestellt}.
WS4	Tɒ kuidi oldi mäũn {n hochgestellt} ist {t hochgestellt} midn pfēɒd turɒchs {r hochgestellt} eis präũchchɒ uṉd ins {n hochgestellt} koldi wossɒ kfoln.
WS5	Eɒris voɒ viɒ odɒ säikks wäũchche kschtoɒrbm {rb hochgestellt}.
WS7	Eɒrissti oɒ ōliwål̃ äũni solz ɒnd Pfäiffɒ.
WS9	Ic̱ẖ {c̱ẖ hochgestellt} pin pådå frāu kwäin und hɒwiɒss ksokt, und si hɒd ksokt, si wolts ā dɒ tochchtɒ sōgŋ {g hochgestellt}
WS11	Īch {ch hochgestellt} schlōch di kleu midn kaũläiffl umɒ doɒwāschl, tu off!
WS15	Du hɒst hāid om meustn kleand ɒnd bist oɒrtig {r hochgestellt} kwäin, tu teɒfst <tɒfst> friɒ̄ hōɒm gǟin ols täündɒn.
WS17	Gēh {h hochgestellt}, seus ɒ guid, ɒnd soch deunɒ Schwäisstɒ, si sult ti klōɒda <(s kwäund {n hochgestellt}) das Gewand> fiɒ äiŋgɒ Muidɒ ferɒtti {r hochgestellt} nāhn {h hochgestellt} ɒbd mittɒ piaschtn reun mochchɒ
WS19	Weɒr {r hochgestellt} hɒdmɒ meun koɒw mid Fleusch kschtūln?
WS20	Ear {r hochgestellt} hɒd säü däün, ols hettnsn zɒn träischschn pschdäld; si ham awa sölwɒ {l hochgestellt} täün
WS24	Wiɒ mɒ gäissta ɒf dnocht zruckkäimɒ säin, säind {d hochgestellt} täünɒn schɒn {n hochgestellt} en päitt kläiŋ und woɒn fäisst en schloffm.
WS26	Hintɒ unsɒn haus schtäin treu schäini opfũlpāmɒl mid rodn äipfüln
WS32	Hɒmskɒn {n hochgestellt} schtikl weusse soɒff fiɒ mī̇ẖ {ẖ hochgestellt} af meun' Tisch gfuntn?
WS33	Seui̱ {i̱ hochgestellt} pruidɒ wǖlsih {h hochgestellt} zwoɒ schäini neuchi Heůsɒ en äingɒn Goɒtn paun
WS34	Täù wōɒrt {r hochgestellt} isn' vɒn Heatzn käimɒ.
WS36	Wos sitzn tɒ̈ü fia vɒ̈igl ǟu̇m ɒm meul?
WS37	Ti pauɒrn {r hochgestellt} hɒm fimf oksn ɒnd neun ki̇̄ɒ ɒnd zwȫlf {l hochgestellt} schɒ̈üf voɒs toɒrf {r hochgestellt} präücht, ti wül̃tns vɒkāffm.
WS38	ti leud sen haind {n hochgestellt} ōli trausst ɒfm fȫld ɒnd mān.
WS40	Ic̱ẖ {c̱ẖ hochgestellt} pin mitleud täü hinnt iwadwi̇̄sn ins trōɒd kfoɒn.
