---
Bogennummer: '42347'
Ort: Grevenmacher
Gid: 143352
Transliterationsprojekt: REDE
Transliterent: Lisa Dücker
Anmerkungen: Der Bogen umfasst 41 Sätze.
Erstelldatum: 2025-05-14 07:44:41.234955
Änderungsdatum: 2025-05-14 07:44:41.234955
Satzversion: 1
...
WS1	Am Wanter flehen dĕ drĕchen Blieder an dĕr Loft herĕm.
WS2	Et hält gleïch ob zĕ schneien, dă wärt Wieder better ginn.
WS3	Do͡ü Kuhlen an den OŪven dat Melech geschĕn o͡ufängt ze Kōōchen.
WS4	De go͡üden, ālen Mann ass mat dem Pärd dorech d' Eïs gebrōōch an ant d'hahl Waatter gefall.
WS5	'En ass fir vēer odder sechs Wochen gestorven.
WS7	'En esst d' <E> Aer ĕmer ohnĕ Salz ă Péfer.
WS9	Ech sĕ bei dĕr Fra geviëscht an ech hunn e͡r et gesoft an seï hoūnt esot {der linke Rand des Worts ist abgeschnitten}, seï vĕlt hierem Medchen et och soen.
WS11	Ech schlohn dẽch gleïch mat am Koochlééfel [ĕ]m d' O͡ühren, da͡ü Aaf.
WS15	De hūes haut amm mé͡ischten gelĕ-ert ann de bass arteg geviescht, da͡ü derefs mĕ fré̆h he͡ïm gohen vĕ dĕ ãner. 
WS17	Gē̆h sei so͡u go͡ut ă soh deiner Schwester sĕ sollt d'Klééder fir ǟr Mamm fi͡erdeg nē̆hen ă mat dr. Biescht renglech mãchen
WS19	Wēn ho͡ut mer meï Kōref mat Fé͡ïsch gesto͡uhl?
WS20	En ho͡ut eso͡u gedohn ass ve͡ï wann se 'en bestallt hätten zĕ dréschen; se ho[?] {der Text ist auf der rechten Seite abgeschnitten, hier ist ein kleines Loch im Blatt} t aver selver gedohn
WS24	We͡ï mr geschter Ovend zrĕk komm sĕn do͡u hohn dĕ ā̃ner schon am Bett geliehen ann ho͡u fest geschlov.
WS26	Hanner e͡ïsem Ha͡us stinn dre͡ï sche͡ïn Épelbémerchen mat ro͡uden Épelcher.
WS32	Ho͡ut dr ĕ Stĕckchen weïss Seėf fir mĕch of meim Desch fond.
WS33	Seï Bro͡uder vĕ̄lt sĕch zwé̄ sché̆n nei Heiser an ärem Gārt baŭen.
WS34	Dat Wōūrt ass ém vo͡um Hēz komm.
WS36	Wat sĕtzen do o͡uven fir Vigecher of der Meierchen.
WS37	't Bauern haaten fĕnef Ochsen ann nĕin Kĕh ann zwölef Schévercher firo͡unn Doref brōūet, dĕi wollten sĕ verkāfen.
WS38	't Leit sĕn haut all doba͡üssen of dm Feld ann sĕ mĕ́hen.
WS40	Ech sĕ mat de Leiden doh hannen iever d' Wiss ant Kūr gĕfūhr.
