---
Bogennummer: '45776'
Ort: Steinibach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.663236'
...
WS4	D'r guet alt (l wie u)  isch [3] mit [3] 'em Roß im Jisch i'proche [1] u i d's  chalte [1] (l = u) Wasser g heit*. * gefallen.
WS5	"Er [über ""E"" steht durchstrichenes ""a""] isch vor vier oder sächs Wuche g'schtorbe [1]."
WS6	"D's Für isch z'schtarch's g'sÿ, d'Chueche [1 für das 2.""e""] si ja ungernache [1 für das 2.""e""] ganz schwarz abrönnt."
WS7	Er ißt d'Eier gäng ohni Sauz u Pfäffer. (in Salz l wie u)
WS8	D'Füeß tüe [1] mir hert weh, i glube [1], (u gegen o) i hig [3] (i gegen e se [1] dürglüffe [1].
WS9	J bi [3] bi (i gegen e) d'r Frou g'si u ha re's gsiit, u sie het gsiit, sie wells (ll = u) ihrer Tochter o säge [1].
WS10	J wott's o nümme [1] meh mache [1] !
WS11	J schla d'r grad mit-em Chochlöffu uff d'Ohre [1], du Aff !
WS12	Wo giisch (i gegen e) du hi, (i = e), sölle [1] (ll = u) m'r mit'er cho.
WS13	Es si schlächti Zite [1] !
WS14	Mis liebe Ching, blib dr-nide [1] (i = gegen > e) schtah, di böse [1] Gäns biße [1] di z'tod.
WS15	Du hescht hüt am mischte (i gegen e) gleert u bisch brav gsi, du tarf'sch früecher hi (gegen e) gah als (l wie u) di angere [1] ]
WS16	"Du bisch no nid groß gnue, für 'ne Fläsche Wii usz'treiche [1 für das 2.""e""}, du muesch z'erscht no wachse [ist die Ergänzung über ""e"" durchstrichen?] u größer wärde [1]."
WS17	Gang, bis (i geg. e) so get u säg dir Schweschter, si sötti d'Chliider [1] (i geg. e) für eui Mueter fertig näje [1] u mit d'r Bürschte [1] putze [1].
WS18	We du ne kennt hättisch, de wär - es angersch cho, u - n - es stieng [1] besser mit - im [3]. (stïĕng = stünde; ĕ auch betonen.)
WS19	Wär het'mer mi Chorb mit' em [1] Fleisch g'schtole [1] ?
WS20	Er het d'rgliiche [1] ta, wi [3] we - se - ne [1] z7um Trösche [1] b'ste-͜   ut hätte [1] (e gegen ä); aber si [3] hi [3] 's sälber gmacht (sälber, l wie u)
WS21	Wämm het'r di nöji Gschicht erzellt ? (ll wie u)
WS22	"Me [1] mues lutt brüele [[1] beim 2.""e""], süscht verschtiit'r (i gegen e) - is nid [3]."
WS23	Mi(e)r si mued [1] u hi [3] Turscht.
WS24	Wo m'r nächti si z'rugg cho, si di an̊gere [1] scho im [3] Bett g'läge [1] u hi [3] fescht g'schlafe [1].
WS26	Hinger üsem Hus schtah drü schöni Öpfuböimli mit rote [1] - n - Öpfeli [1].
WS27	Chüt'r [4] nit no nes [1] Augeblickli uff' is warte [1], m'r chüme [1] de mit' ech [1].
WS28	"Dir törfet [1] nit so chintlig* [[3] bei beiden ""i""] tue [1]. *(in kindisch i gegen e)"
WS29	Üser Bärge [1] si nid [3] grad höch, euer [[1] beim 2.*e*] si viel (l wie u) höcher [1].
WS30	Wie mängs Pfung Wurscht u wieviel (l wie u) Brot wettit'r [3] ?
WS31	"J verstah'n ech [1] nid [3], dir [3] müeßt echli [1] (oder es [1] bitzeli [3] ["")"" fehlt hier] lütter [1] prichte [1]."
WS32	"Hiit'r (i gegen e) kes bitzli [[3] bei beiden ""i""] Siife [[3] bei beiden ""i*] [1] für mi [3] g'funge [1] uff mim Tisch ?"
WS33	"Si Brueder wott sech [1] zweü schöni nöii [[3] beim 2.""i""] Hüser boue [1] i öiem [1] Gaarte [1]."
WS34	D's Wort isch im [3] vo Härze cho !
WS35	Das isch recht gsi vo - n - ech [1] !
WS36	Was gruppe [1] da für Vögeli [3] uf - däm Mürli [3] obe [1] ? (gruppe = kauern, ducken sich.)
WS37	D'Pure [1] hi [3] föif Ochse [1] u nün Chüe [1] u zwölf (l = u) Schäfli [3] vor 'd's Dorf use [1] b'brunge [1], die [1] hi [3] si [3] welle [1] (ll wie u) verchuffe [2][1].
WS38	Hütt [4] si all (ll = u) Lütt uff' em [1] Fäld (l = u) usse [2][1] u mäje[1].
WS39	Gang nume [2][1], d'r brun Hung [2] tuet d'r nüt.
WS40	J [3] bi [3] mit [3] dene [[1] beim 2.*e*] Lütte [1] da hinger [3] uber [2][1] d'Matte [1] i [3] Chornacher [1] gfahre [1].
