---
Bogennummer: '45865'
Ort: Uetendorf
Gid: 15340
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-10-22 12:57:45.604279
Änderungsdatum: 2022-10-22 12:57:45.604279
...
WS1	Im Winter flüge di trochene Bletter i dr Luft ume.
WS2	Es hört grad uf schneie, de wird d's Wätter ume besser.
WS3	Tue Chole i Ofe, dass d' Miuch gly afaht choche.
WS4	Dr guet aut Maa isch mit-em Ross im {'I' ist durchgestrichen} Ysch ybroche u i d's chaut Wasser gheit.
WS5	Är isch vor vier oder sächs Wuche gschtorbe.
WS6	D's Füür isch z' scharch {zunächst 'st', dann 't' mit 'c' überschrieben und zu 'scharch' ergänzt} gsy, d' Chueche sy ja ungeruuf ganz schwarz brönnt.
WS7	Är isst d' Eier gäng ohni Sauz u Pfäffer.
WS8	D' Fuess tüe mr weh, i glube, i hig se düürg glüffe.
WS9	I bi bi d'r Frou gsy u ha-r-es gsit, u si {zunächst 'sie', dann 'e' durchgestrichen} het gsit, si weu 's o ihrer Tächter säge.
WS10	I wiu 's o nemme mache.
WS11	I schla d'r de gly d ' Cheue um d ' Ohre, du Aff !
WS12	Wo giisch hy, sou-e-mer mit-d'r choo ?
WS13	Es sy schlächti Zite.
WS14	Du liebs Ching, blib da unge stah, di böse Gäns biisse-di z ' tod.
WS15	Du hesch hüt am miischte glehrt u bisch lieb gsy, du darfsch früecher hei gah aus di {zunächst 'die', dann 'e' durchgestrichen} angere.
WS16	Du bisch no nid gross gnue für ne Fläsche Wy usz ' treiche, du muesch z'ersch no chli wachse u gröser wärde.
WS17	Gang, bis so guet u säg dir Schweschter, si söu d'Chleider für öij Mueter fertig {etwas ist durchgestrichen} näije u mit d'r Bürschte putze.
WS18	We d 'ne kennt hättisch, de wä 's angersch choh, u-n-es stieng besser um-in.
WS19	Wär het mer mi Chorb mit em Fleisch gschtole ?
WS20	Är het d' rglyche ta si higene {'zum' ist durchgestrichen} für d's Trösche bschteut, si hii's aber säuber gmacht.
WS21	Wämm her-er di nöji Gschicht erzeut ?
WS22	Mi mues lut brüele, süsch verschtiit er-is niid.
WS23	Mir sy müed u hy Turscht.
WS24	Wo m'r nächti si z'rŭgg cho, si di {zunächst 'die', dann 'e' durchgestrichen} angere scho im Bett gsy u hii gschlaaffe,
WS25	Bi üüs isch letscht Nacht d'r Schnee blybe {zunächst 'blibe', dann 'i' zu 'y' ergänzt; die i-Punkt ist stehen geblieben} lige, aber em Morge isch er usg'gange. 
WS26	Hinger üsem Huus stah drei schöön Öpfubüüm mit rote Öpfeli.
WS27	Chöit-er nid no-n-es Ougeblickeli uf-is warte, mir chöme de mit-ech.
WS28	Dir törfet nid settigi Chindereie triibe.
WS29	Üsi Bärge si nid grüüsly höch, öji si viŭ höcher {'viŭ' ist nachträglich oben zwischen 'si' und 'höcher' eingefügt}.
WS30	Wi mängs Pfung Wurscht u wi viu Brot wiit-er ?
WS31	I verschtah-n-ech niid, dir müesset e chly lutter rede.
WS32	Hiit-er nid es Schtückli wyssi Siife für mii uf em Tisch gfunde ?
WS33	SI Brueder wott für inn zwüü schöni nöji Hüser boue i öiem Gār̄te {über 'ar' steht ein seltsamer Querstrich}.
WS34	Das Wort isch-i,vo Härze choo.
WS35	Das isch rächt gsy von-ne.
WS36	Was hocke da für Vögeli uf em Müürli obe ?
WS37	D' Bure hii föif Schtiere {zunächst 'St', dann 't' mit 'c' überschrieben und zu 'Schtiere' ergänzt} u nüün Chüe u zwöuf Schääfli vor d's Dorf use brunge, si hy-se weŭe verchouffe. 
WS38	D' Lüt sy hütt aui dusse uf em Fäud u mäje.
WS39	Gang nume, dr bruun Hung {'t' ist durchgestrichen} macht d'r nüüt.
WS40	I bi mit dene Lüt da hinger uber d'Matte uf-e Chornacher gfahre.
