---;
Bogennummer: '39648';
Ort: Pfaffenhofen an der Glonn;
Gid: 90402;
Transliterationsprojekt: ;
Erstelldatum: ;
Änderungsdatum: ;
Satzversion: 1;
...;
WS1;An Winter flieg’n die truckiga Blad’ln a der Luft umanander. 
WS2;Es hört glei au z’schneim, nocha werd’s Weder wieder besser. 
WS3;Thua Kohl’n in Of’a, daß d’Milli bal s’kocha afangt. 
WS4;Der guat alt Mo – is mit’n Ros durs Eis brocha, und in’s kalt Wasser g’fall’n. 
WS5;Er is voar vier oder sex Wocha g’stārm. 
WS6;S’Feir war z’stark, die Roarnodl sin ja unt’n ganz schwarz verbren̄t. 
WS7;Er ißt d’Oar alleweil ohne Salz u. Pfeffer. 
WS8;D’Füß dema weah, i glab‘, i hon mi auganga. 
WS9;I bi bei der Frau gwen u. ho’s ihm g’sagt, u. sie hot g’sag, sie will’s oa seiner Tochter sogn. 
WS10;Dös will i nim̄a doa. 
WS11;I schlog di glei mit’n Kohlöffel um d’Oarn rum, du Aff. 
WS12;Wo geasch’n du hin, soll i miter geh’a? 
WS13;Dös sin schlechte Zei’n. 
WS14;Mei lieabs Kin‘, bleib da dun’t stea, dö beas’n Gäns beiß‘n die doad. 
WS15;Du host heut dös mehra glearnt, u. bist brav gwe’n, du darfst früah na hoam geh als die Andern. 
WS16;Du bist no net groaß gnua, daß d’a Flaschn Wei zwingsch, du muascht zerscht no wachsn u. greaßa wern.
WS17;Geah, bi so guat u. sog zu deina Schwesta, sie soll Gwander für enga Muata firti nāhn u. ausbürschlēn. 
WS18;Hetsch d’n no ken̄t! no wars anders ganga u. es thāt bessa mit eam steha. 
WS19;Wer hot’n mein Krätze voll Fleisch gstohln? 
WS20;"Ear hot tho, als wen̄s’n zum dresch’n gfrimmt hättn; sie habn’s aba sel do. "
WS21;Weam hot er den̄ die neu G’schicht vazählt? 
WS22;Do musch‘ scho recht blärrn, sischt heart er dö it. 
WS23;Wir sin müa u. hob’n dursch. 
WS24;Wie mer nacht hoi käm̄a sin, sin die oan scho in Bett gwen u. hob’n scho fest g’schlaf’n. 
WS25;Der Schnea is heind Nocht bei in’s lieg’n blieb’n, aber heind z’moagescht is er  wieder derganga. 
WS26;Hinter insern Haus stenga drei schöane Äpfelbameln mit roate Äpfelen. 
WS27;Kön̄t’s ös id no an kloan Augenblick au in’s wart’n, na geame mir o mit enk. 
WS28;Es derfz it sölle Kinderei’n treib’n. 
WS29;Insere Berg sin gar id hoach, dö enkere sind viel höacher. 
WS30;Wia viel Pfun‘ Würsch‘ un wia viel Brod wollts es hab’n?
WS31;I versteah enk it, es müßt’s lauder red’n. 
WS32;Habt’s koa Stuck weiße Soaf’n für mi auf mei’n Tisch gfuna?
WS33;Sei Bruda will’se zwoa schöane nuie Häuser an inchern Garten nei bau’n. 
WS34;Dös Woard is ihm von Herz’n ganga. 
WS35;Dös is recht von enk. 
WS36;Was sitz’n do für Vögelen dob’n au den Mäuerlen? 
WS37;Die Bauern hob’n fünf Ochs’n u. nei Küh u. zwölf Lampl’n vors Doarf naus broacht, und habens verkaf’n wöll’n. 
WS38; D’Leut‘ sin heind all‘ daus in Fehl und mahen. 
WS39;Gea nur, dr brau Hund dut der nix. 
WS40;I bi mit meine Leid da hint über d’Wies‘ oas Koarn g’fah’re. 
