---
Bogennummer: '45497'
Ort: Rottenschwil
Gid: 15245
Transliterent: fellmann
Erstelldatum: 2021-12-18 16:02:12.372101
Änderungsdarum: 2021-12-18 16:24:35.021512
...
WS1	ìm Wìnter flügid di trochne Bletter i-de Lùft ùme.
WS2	Es hört glii uf schnēie, dè wērd s' Wätter wēder bèsser.
WS3	Tueͦ Chòle-n-i-Òfeͦ, ass d' Mìlch bald aafod chocheͦ.
WS4	Dè guet alt Maa ìsch mitem Ross dùrs Iis bbroche ùnd is chalt Wassèr ghēit.
WS5	Er isch vor vier oder sächs Wùche gschtùrbe.
WS6	S' Füür ìsch tschtarch gsii, Kueche sind jo ùnde ganz schwarz prännt.
WS7	Er ìsst die Eier ìmmer oni Salz ùnd Pfäffeͦr.
WS8	Pfüeͦss tüemer starch wee, i glaͣ̈ube, i hasi dùreͦglòffe [zunächst über dem Schluss-e gesetzter Akzent ist durchgestrichen].
WS9	"I bē bēder Fraͣ̈u gsii ùnd hanereͦs [über dem 1.'e' steht vermutlich ein Tintenklecks? Oder muss es heissen ""haneͦreͦs""?] gsäit, ùnd si hät gsäit, si wells aͣ̈u ērer Tochter säge."
WS10	I wills ä nǜme mache.
WS11	"I schloo der glii dè Chòchlöffeͦl ùm d' Oore [zunächst ""Ohre"", dann korrigiert in ""Oore""] ùmeͦ, du Aff !"
WS12	Wo goosch du hee, settimer mitter cho.
WS13	s' Sìnd schlächi Ziite.
