---
Bogennummer: '45127'
Ort: Altishofen
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.324073'
...
WS1	Jm Winter flüge di trochne Bletter i de Loft ome.
WS2	Es hört ietz de gly uf schneye ['n' ist nachträglich von Hand eingefügt oben zwischen 'h' und 'e'], de wird de s' Wätter weder besser.
WS3	To Cholen-i-Ofen-ie [das erste 'n' ist nachträglich von Hand eingefügt], dass d' Milch bald afot choche.
WS4	Dä guet alt Ma isch mit em Ross durs J̱sch broche & is chalt Wasser gfalle.
WS5	Aer isch vor vier oder sächs Woche gschtorbe.
WS6	S' Für isch  tschtarch gsi, Kueche sind [nachträglich oben eingefügt:] jo  undevör ganz schwarz a brönnt.
WS7	Aer isst d' Eier immer oni Salz & Pfäffer.
WS8	Pfüess tömmer fescht (schtarch) weh, i glaube i ha si dore glaufe.
WS9	J bi be de Frau gsi & haneres ['a' ist nachträglich von Hand zwischen 'h' und 'n' eingefügt]  gseit & si het gseit, si wölls au i ehrer Tochter säge.
WS10	J wots au nömme mache.
WS11	J hau-der sofort mitem Chochlöffel um d' Ohren-ome, du Aff !
WS12	Wo goscht he, sölle mer miter cho.
WS13	S' sind schlächti Zyte !
WS14	Liebs Chind, blib do onde stoh, di böse Gäns bisse-di z' tod [der letzte Buchstabe scheint zuerst 't' gewesen zu sein].
WS15	Du hescht höt am meischte gleert & hesch schön gfolget, du darfscht früecher hei als di andere.
WS16	Du bescht nonig gross gnueg, um e Fläsche Wy usztrinke, du muescht zerscht [zunächst 'zerst', dann 'ch' oben zwischen 's' und 't' eingefügt]  no chli wachse & grösser wärde.
WS17	Gang, bis so guet & säg i diner Schwöschter, si set Kleider för eui Muetter fertig näie & mit de Bürschte suber mache.
WS18	Hättischt du ehn könnt, de wärs anderisch cho & es tät besser um ['dich' ist durchgestrichen; darunter steht unterstrichen:] ehn  stoh.
WS19	Wär het mer mi Chorb mitem Fleisch gschtohle ?
WS20	Aer het eso to, als wenn si ehn zum Trösche bschtellt [das erste 't' ist von Hand oben zwischen 'h' und 'e' eingefügt]  hättid, si hends aber sälber gmacht.
WS21	J wem heter di nöi G' schicht verzellt ?
WS22	Me muess lut lärme, söscht verstoht är öis ned.
WS23	Mer sind müed & hend Dorscht.
WS24	Womer nächti Zobe zrogg cho sind, sey di andere scho im Bett gläge & fescht am Schlofe gsy.
WS25	De Schnee isch i der Nacht bi öis ligge blobe, ober höt am Morge ischer vergange.
WS26	Hinden-a-öisem Hus stönd drü schöni Oepfelbäumli mit rote-n-Oepfle.
WS27	Chönid ihr nid no es Augeblickli of öis warte, de gömmer met öich.
WS28	Ehr dörfit nit setegi Chindereye tribe.
WS29	Oeisi Bärge sind nid sehr höch, öi-i sind vel höcher.
WS30	Wivel Pfond Worscht & wivel Brod wend ehr ha ?
WS31	J verston-ech ned, ehr mönd es betzli lüter rede !
WS32	Hend ehr keis Stöckli wyssi Seipfi för mech of mim Tisch gfunde.
WS33	Si Brüeder wot för sech zwöi schöni nöi-i Hüser i öiem Garte-n-inne boue.
WS34	Das Wort ischem vo Härze cho.
WS35	Das isch rächt gsy vo öich.
WS36	Was setzid do för Vögali obe-n-ofem Mürli ?
WS37	Bure hend föif Ochse ond nün Chüe ond zwölf Schöfli vors Dorf use brocht, di hend si wölle verchaufe.
WS38	D' Lüt sind höt alli ofem Fäld ['d' wurde nachträglich manuell angefügt]  osse & mäi-id.
WS39	Gang nor, dä brun Hond tueter nüd.
WS40	J be mitene Lüte do hinde über d' Wiese-n-ie is Chorn gfahre.
