---
Bogennummer: '46109'
Ort: Gstaad
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.580337'
...
WS11	I schlah dr enanderna mit dr Chochchälle um d' Ohre, du Aff !
WS12	Wohi geisch, solle wer oppa mit dr gah ?
WS13	Es si schlächti Zite.
WS14	Mis liebs Chind, blib da una stah, süsch bisse di di böse Gäns z' tod.
WS15	Du häsch hut am meischte glehrt, du bisch manierlich gsy; du darfsch ender heim wan di andre.
WS16	Du bisch no nit gross gnue für ne Fläsche Win usz' budle, du muesch no zersch e Btz wachse u grösser warde.
WS17	Gang sig so guet u säg dir Schweschter, si sölli ds Gwand für d' Mueter fertig neije u mit dr Bürschte sufer mache.
WS18	Hättisch du dä gchännt, so weris andersch cho u es täti bässer um in stah.
WS19	Wär hät mr mi Chorb mit em  Fleisch [es sieht so aus, als gäbe es einen Kringel auf 'e', möglicherweise wurde zunächst versucht zwei 'll' zu schreiben?] g'schtole ?
WS20	Er hät eso ta, als hätte si ne zum drösche agschtällt; si heis aber sälber gmacht.
WS21	Wäm hät er di nüwi Gschicht erzällt ?
WS22	Mu mues lut brüele (böögge), susch versteit er üns nüt. (nus nüt).
WS23	Wir si müed u hei Durscht.
