---
Bogennummer: '46067'
Ort: Buchen
Sprache: ''
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz Excel Import
Transliterent: ''
Anmerkungen: ''
Erstelldatum: '2024-04-15 09:49:51.872285'
...
WS1	Im Wint'r flügänd die trochnä Blätt'r in d'r Luft ummär.
WS2	Äs hört bald uf z' schniä; denn wird Wättär  [oben eingefügt:] wied'rm  bessär.
WS3	Tuoä Chollä in dän Ofä, daß  [oben eingefügt:] d'  Milch gschwind ofat südä
WS4	"D'r guoät alt Ma ist mit d'm Roß dür Z' Isch gäbrochä u ins chalt  Wass'r [zunächst \""Wassär\"", dann 'ä' durchgestrichen]  gfallä"
WS5	Är ist vor vier od'r sächs Wuchä gstorbä
WS6	Z. Für ist z' starch gsin, d' Chuoͣ̈chä sind ja unnädinna [Verdoppelungsstrich auf 'n'] v'rbrennt.
WS7	Är issät d' Eiär albig ohni Salz und Pfäff'r.
WS8	D' Füöß tüömär uheimli weh, i glaubä, i hansch dür gloffä.
WS9	"I bin bi d'r Frau gsin u. haräs gseid, u. schie  het [zunächst \""hät\"", dann 'ä' dick mit 'e' überschrieben und ä-Striche durchgestrichen]  gseid, schie well's au  d' Töcht'r [zunächst \""Töchter\"", dann 'e' durchgestrichen und Apostroph gesetzt]  sägä"
WS10	I will's au nümma me widrm tuoä.
WS11	I  gibät'r [über 'r' steht mit Bleistifr 'r'?]  sofort mit d' Chochlöffl eis um  [oben eingefügt:] d'  Ohrä, du Aff.
WS12	Wo [Umlaut durchgestrichen]  geist [am 2.Buchstaben wurde rumkorrigiert]  du hin, söllämär mit'r cho
WS13	Äs sind schlächt Zitä
WS14	Mis liäbs Chind, blieb da häjunnä stah, di böschä Gäns arbißänti.
WS15	Du hest hüt am meista glärnät u.bist artig gsi, du darfst früöjär hai gah aäs di andärä
WS16	Du bist noch nit groß gnuäg, um än Fläschä Wi us z'trichä, du muoscht z' erscht noch waxä u. größär cho.
WS17	Gang, si sä guot u. säg dir Schweschtär, schi söll d' Chleidr für eui Muot'r fertig büözä u. mit dr Bürschtä subär machä
WS18	Hättästnä du g' chennt, denn wars andärist cho u. äs teti bessär ummnä stan.
WS19	Wär hettmär mi Chorb mit däm Fleisch gstollä.
WS20	Är het so gätan, äs obschnä zum Dröschä bstellt hättänd, schi haind's abr sälbr gätan
