---
Bogennummer: '44958'
Ort: Schafisheim
Gid: 19452
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-12-18 18:43:27.104810
Änderungsdatum: 2024-12-18 19:11:24.608919
Satzversion: 1
...
WS1	i̇̀m wi̇̀nter flüüge di {nach 'i' ist 'e' noch ein bisschen angefangen} blètter i̇̀ de̊r lùft ùme.
WS2	es höͦrt {oder 'hö̊rt' ?} graad uuf . schnèie̊, de wi̇̀rd 's  wä̀tter wi̇̀der bèsser.
WS3	tue chòle i̇̀ de òfe, as d' mé|uwch baud afòt chòche.
WS4	Dè guet auwt maa i̇̀sch mi̇̀t‿te ròsse dùrs iis bròche ùnd is chaut wasser gfauwe <ghè|it> {'ghè|it' steht über 'gfauwe}.
WS5	er isch v[ŏ̀]r {unklar} vi|er òder sä̀chs wùche g'stòorbe {Gravis ist lange, vielleicht sollte es auch für 2.'o' gelten?} .
WS6	s' füür i̇̀sch z' schtarch gsii, k' kuͦeche si̇̀nd jò ónde ganz schwarz {'gs' (?) ist durchgestrichen} p' brö̀nnt.
WS7	er i̇̀sst t' ä|ie̊r i̇̀mmer òni sauwz ùn‿pfäffer.
WS8	pfü|èss tüènd me̊r häftig wèè {langes Gravis}, i̇̀̊ glaͣ̈ube i̇̀̊ häig si dùreglòffe.
WS9	i̇̀̊ bé . bi̇̀der fraͣ̈uw gsii, ùnd han èe ès gsäit ùnd si hèt gsäit si wèuws i̇̀rer tòchter äuw sääge.
WS10	I wòtt 'z aͣ̈uw nǜmme mache̊ !
WS11	i̇̊ haͣ̈uw de̊r graad de {etwas ist durchgestrichen} chòchlöffu {zunächst 'chòchė̊löff', dann 'e' mit zwei Diakritika durchgestrichen} ùm d' ōōre {langer Querstrich} ùme, du aff ! 
WS12	Wù häre gòsch sö̀uw-e mèr mit‿dèr choo.
WS13	e̊s si̇̀nd schlächti ziite !
