---
Bogennummer: '44893'
Ort: Baden
Gid: 18295
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Mir scheint, jemand anders habe diesen Bogen durchgelesen und systematisch
  ''st'' in ''scht'' korrigiert und ''sch'' verdoppelt; ferner ''eu'' in ''öi'' geändert.}'
Erstelldatum: 2024-04-28 18:35:12.540147
Änderungsdatum: 2024-04-29 13:06:41.088973
Satzversion: 1
...
WS1	Ìm wi̇̀nter flüüged die trochchne {zunächst 'trochne'} blètter i̇̀ de̊r lùft ùme.
WS2	Es höört graad uuf z' schnèije, dänn wi̇̀rd's wätter wìder besser.
WS3	Tue chòle i̇̀ de̊ òfe, dass d' mìlch bald z' chòchche {zunächst 'chòche'} afòòt.
WS4	De̊ guet alt maa i̇̀scht {zunächst 'i̇̀st'} mi̇̀t èm {zunächst wohl 'e̊m'} ròss dùrs iis bròchche {zunähst 'bròche} ùnd i̇̀s chalt wasser gfalle.
WS5	Er i̇̀scht {zunächst 'i̇̀st'} vòr vier òder sächs wùchche {zunächst 'wùche'} gstōōrbe.
WS6	s' füür i̇̀sch z' schtarch {zunächst 'starch'} gsii, d' chueche sìnd iò {zunächst 'jò'} ùnde ganz schwarz brännt .
WS7	E̊r i̇̀sst d' äier i̇̀mmer òni salz ùnd pfäffer.
WS8	D' füess tüend me̊r gaar wee, i glaube, i ha si dùreglòffe.
WS9	I bì̇ bì̇ de̊r frau gsii ùnd {'han e̊r es' ist durchgestrichen} {darunter steht:} si häd  gsäid, si wèll's au i̇̀rer tochter sääge.
WS10	I will's au ni̇̀d wi̇̀der tue.
WS11	I schlòò {ganz kleiner Abstand zwischen 'I' und 'schlòò'} de̊r grād de̊ chòchlö̀ffel ùm d' oore, duu aff !
WS12	Wò gòòscht {zunächst 'gòs̀st'} hēē, sèle̊ me̊r mìt de̊r gòò ?
WS13	E̊s si̇̀nd schlächti ziite.
WS14	Mii liebs chi̇̀nd, bliib dò ùnde stòò, die bööse gäns biisse di toot.
WS15	Du häscht {zunächst 'häst'} hǜt am mäischte {zunächst 'mäiste'} glēērt ùnd bi̇̀staartig {die beiden Wörter sind fast zusammen geschrieben} gsii, de̊ darfsch früener häi gòò as die andre.
WS16	Du bi̇̀scht {zunächst 'bi̇̀st'} nò ni̇̀d grooss gnueg, fǜr e̊ {zunächst 'è'} fläschsche {zunächst 'fläsche'} wii uusztri̇̀nke, de̊ mūescht {zunächst 'mūest'} zēērst nò e̊ {zunächst 'è'} wachse ùnd gröösser werde.
