---
Bogennummer: '45140'
Ort: Uffikon
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:57.070454'
...
WS14	Mis lièbs Chend, blib do onde schto, di böse Ganse bisse di ztod.
WS15	Du hesch höt am meischte glehrt ond besch artig gsi, du darfsch früehner [in blau oben eingefügt:] hei  go as di andere.
WS16	Du besch nonig gross gnue för ne Fläsche Wy usztrengke, du muesch zerscht no e chli wachse ond grösser wärde.
WS17	Gang, besch so guet, ond säg i diner Schwöschter, si söu Kleider för öisi Mueter fertig näje ond met de Börschte suuber mache.
WS18	Hättisch du ehn könnt ! de wärs anderisch use cho, ond es tät besser om ehn schto.
WS19	"Wär het mer mi Chorb metum Fleisch gschtole [in ""gschtohle"" wurde 'h' durchgestrichen] ?"
WS20	Aer hed de glie to, si hebid ehn zom Trösche bschtöut; si hands aber sä̱uber gmacht.
WS21	J wem heder ['hed' und 'er' sind ganz dünn blau verbunden] di nöi Gschecht verzöut ?
WS22	Me muess luut [das zweite 'u' ist oben in blau eingefügt] lärme, söscht verschtod er is ned.
WS23	Mer send müed ond hend Torscht.
WS24	Wo mer geschter zobe zrogg cho send, do send di andere scho im Bett gsi ond send fescht am Schloffe gsi.
WS25	De Schnee esch i dere Nacht be öis legge blébe, aber höt am Morge esch er vergange.
WS26	Hénder öisem Hus schtönd drü schöni Oepfubäumli met rote Oepflene.
WS27	Chön(e ͥ )d ['e' steht in blauen Klammern; über 'e' steht ein 'i']  er ned no nes Ougebleckli ofis warte, de chömemer met öich.
WS28	Ér töfid ned settegi Chendereie trybé.
WS29	Oe ͥ si [über 'e' ist ein 'i' getippt ]  Bärge send ned so höch, öij̱ send vöu höcher.
WS30	We mängs Pfond Wörscht ond wevöu Brod wend er ?
WS31	J verschtohne öich néd, er müend echli luuter rede.
WS32	Hend er kes Schtöckli wyssi Seipfi för mech of mim Tesch gfonde ?
WS33	Si Brüeder wot séch zweu schöni nöij̱ Hüüser i öi(e ͧ )m ['e' steht in blauen Klammern; über 'e' steht 'u'] Garten énnè boue.
WS34	Das Wort eschum ['c' ist manuell in blau zwischen 's' und 'h' eingefügt]  vo Härze cho !
WS35	Das esch rächt gsi vo ehne !
WS36	Was hockid do för Vögali ofem Müürli obe ?
WS37	Buure hend föif Schtiere ond nün Chüe ond zwöuf Schöfli vors Dorf brocht, diè hend si wöuè verchouffe.
WS38	D' Lüüt send höt a̱ui ofem Fä̱ud osse ond mäji̱d.
WS39	Gang nor, de brun Hond machter nüd.
WS40	J be met de Lüüte do hénde [blau unterstrichen:] öbers Land*)  is Chorn ie gfahre.  [in blau manuell ergänzt:] *) öbere Grasblätz.
