---
Bogennummer: '44747'
Ort: Rietheim
Gid: 15614
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-08-07 17:27:43.618620
Änderungsdatum: 2023-09-13 14:08:09.994279
Satzversion: 1
...
WS1	Im winter flüüge die dǜǜre blètter i dr lùft ùmme.
WS2	Es höört glii uuf schneejie, dä̀nn wird s' wä̀tter wi̇̀i̇̀der besser.
WS3	Tue chole in ofe, ass d' mi̇̀lch bald choche tuet.
WS4	Dä̀ guet alt maa i̇̀sch mit ǟm ross dùrs iis broche ùnd iis chalt wasser ine ghēi̇̄t.
WS5	Er i̇̀sch ö̀ppe vor vier oder sä̀chs wùche gschtorbe.
WS6	S' füür ìsch tschtarch gsi̇̄i̇̄, d' dǜnne sind jōō ùnde ganz abrä̀nnt.
WS7	Er i̇̀sst d' eͣ̈ier {über dem getippten 1.'e' steht ein handgeschriebenes 'ä'} immer oohni salz ùnd pfä̀ffer.
WS8	D' fǜess dǜemmer ganz wēēh, i glaub', i ha blōōddere.
WS9	Īi {'i' wurde nachträglich von Hand angefügt} bi̇̀i̇̀ bī dr {zunächst 'der' getippt, dann 'e' durchgestrichen} frau gsii und han-er-es gsä̀it {zunächst 'gseit', dann 'e' mit 'ä' übertippt und manuell Gravis ergänzt} , und sii hä̀tt gsä̀it {zunächst 'gseit' getippt, dann 'e' manuell zu 'a' ergänzt, Trema und darüber Gravis ergänzt} , sii wills au ihrem mä̀ittli sä̀ä̀ge.
WS10	Ii will's joo nǜmme tue !
WS11	Ii hau dr jetz dä̀nn eis mit èm chochlö̀ffel um d' oohre ù[m]me {das 1.'m' ist ganz dünn, sollte es korrekt 'ù me' heissen?} , du lȫȫli du !
WS12	Wo gōōsch ane, sö̀lle mèr mit-dr-chōō  {zunächst 'der' getippt, dann 'e' durchgestrichen} ?
WS13	Es sind schlä̀chti zitte !
WS14	Blibb do unde stōōh, chi̇̀nd, sùscht bysse di̇̀i̇̀ die bȫȫse gä̀nse z' tōōd.
WS15	Du hä̀sch hǜtt am meͣ̈̀ischte glēēhrt und bi̇̀sch brav gsīī, du dö̀rfsch ēhner heͣ̈̀i ass die anndere.
WS16	Du bisch no z' chli̇̄i̇̄, um ä̀ flä̀sche Wii ūsztrinke, du muesch zērscht nōm-mēē wachse und grȫsser wǟrde.
WS17	Biss so guet und gang sä̀g dr schwö̀schter, sii soll d' chleͣ̈̀ider fǜr euji muetter fèrrtig nèèjie & mit dr bǜrste sūūber m. {sic! - aus Platzmangel wurde 'mache' zu 'm.' verkürzt}
WS18	Wä̀nn èn du kä̀nnt hètsch, so wǟr's anderscht cho, und 's tǟt besser um-en schtōh.
WS19	Wer hä̀t mir min chorb mit fleisch gschtōhle.
WS20	Er hä̀t eso to, wie wä̀nn si̇̀e i̇̀hn zum drö̀sche agschtellt hǟttet; sie hä̀nt 's aber sä̀lber g'macht {zunächst 'gmacht' getippt, danach manuell Apostroph nach 'g' eingefügt} .
WS21	Wem hä̀t er die neu gschicht verzèllt ?
WS22	Mö̀ {zunächst 'Mö̀' getippt und manuell Gravis über 'ö' gesetzt, dann manuell ganz kleines 'e' unter 'ö' gesetzt} mue lūtt brüele, sùscht verstooht er eus nid.
WS23	Mr sind müed und hä̀nd dùrscht.
WS24	Wo-mer geschter Zoobig hä̀i cho sind, sind die andere scho im bett gsii und hä̀nd fescht gschlōōfe.
WS25	Dr schnee isch die nacht bii eus li̇̀ge bli̇̀be, aber hǜtt am moorge isch er v. {sic! - aus Platzmangel am Zeileende 'vergange' abgekürzt zu 'v.'}
WS26	Hinter eusem huus stö̀nd drǖ schöni Ö̀epfelbäumli mit roote Ö̀epfel {in beiden Fällen wurde das grosse 'O' über ein 'e' getippt -?} dra.
WS27	Chö̀nneter nid no e bi̇̀tzeli ùfis warte, dä̀nn chö̀memer au mit ēū {manueller Querstrich geht über 'eu'} .
WS28	Machet doch keini dummheite.
WS29	Eusi bèrg {zunächst 'bèrge' getippt, denn 2.'e' durchgestrichen} sind nid hoch, ēūji {manueller Querstrich geht über 'eu'} sind vi̇̀ll {zunächst 'viell' getippt, dann 'e' durchgestrichen} hȫcher.
WS30	Wie mä̀nge wǜrscht und wievi̇̀ll brōōt wä̀nd-er ha ?
WS31	Ich verstooh eu nid, ihr müend e bitzeli lütter rede.
WS32	Hä̀nder kei stückli wyssi sēūffe {manueller Querstrich geht über 'eu'} vo mir ùf mim tisch gfunde ?
WS33	Sin brüeder will zwei schȫni nēūji {manueller Querstrich geht über 'eu'} hüüser i ēūem {dünner manueller Querstrich geht über 'eu'} garte bouwe.
WS34	Er hä̀tt 's ūūfrichtig gmeint ! {Dieser Satz steht auf der mit '36.' nummerierten Zeile; Zeilennummer ist durchgestrichen und davor '34' gesetzt}
WS35	Sie hä̀nd rä̀cht gha !
WS36	Wa sitze dèt für vȫgeli obe ùfem mǖǖrli {die manuellen Querstriche sind ganz dünn} ? {Dieser Satz steht auf der mit '34.' nummerierten Zeile; Zeilennummer ist durchgestrichen und davor '36' gesetzt}
WS37	D-buure hä̀nd feuf stiere und nün chüeh und zwö̀lf schö̀fli vors dorf brocht ghaa, wo sii hä̀nd wèlle verchaufe.
WS38	D' lütt sind hǜtt alli ùffem fä̀ld und tüend mèjie.
WS39	Gang numme, de bru hand macht-dr nüd.
WS40	Ich bi̇̀ mit de lüte do hinde über d' wi̇̀se i d' frucht gfahre.
