---
Bogennummer: 03280
Ort: Swietajno
Gid: 371988
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Erstelldatum: 2026-02-24 11:05:53.639237
Änderungsdatum: 2026-02-24 11:05:53.639237
Satzversion: 1
...
WS1	Im Winter fleege de druckne Bläder dorch de Loft rom.
WS2	Et horcht glick ob to schnie, dann ward dat Wäder wedder besser.
WS3	"Doh Kaohle {""Kohle"" wurde ausgestrichen} in den Owe, dat de Mälk bol an to kooke fangt."
WS4	De gode olle Mann es mit dem Perd dorch et Is gebrocke un in dat koole Woter gefalle.
WS5	He es vär veer oder seß Wäcke gesturwe {hier wurde anscheinend ein b ausgestrichen und durch ein w ersetzt}.
WS6	Dat Fiir wehr to heet, de Kooke senn jo unde ganz schwart gebrennt.
WS7	He eet de Eier immer ohne Sold und Päper.
WS8	De Feet dohne mi sehr weih, eck glo[w] {hier wurde anscheinend ein b in ein w umgewandelt} eck he[b] se dorchgeloope.
WS9	Ek si bi de Fru gewese, un hebb et ehr geeegt, un se säd, s[e] wull et ock ehrer Dochter segge.
WS10	Eck well et ock nich mehr wedder dohne.
WS11	Eck schlog di glick mit dem Kockläpel um de Ohre, du Aap.
WS12	Wo geehst du henn, sülle wie met d[i] {hier ist die Tinte verschmiert; nur der i-Punkt ist wirklich zu erkennen} gohne?
WS13	Et send schlechte Tide.
WS14	Min lewet Kind, bliw hier unde stohne, de böse Gens' bite di dot.
WS15	Du häst hide am mehrschte gelernt on {hier wurde un in on abgeändert} best ortig gewese, du kannst dröher no Hus' gohne als de andere.
WS16	Du best noch nich grot genog um eene Flasch Wien ut to drinke, du motst erscht noch een End wasse un gröter waare.
WS17	Goh, sie so got on segg diner Schwester see sull de Kleeder fer june Mutter fertig neege un mit de Berscht rein mooke.
WS18	Häst du em gekennt denn wär et andersch gekoome un et deht besser om em stohne.
WS19	Wer hätt mie minen Korf met Fleesch gestohle?
WS20	He deed so, als had sen [ein] dum dresche beschtellt, see häbbe et ober selwst gedohne.
WS21	Wem hätt se de nie Geschichte vertellt?
WS22	Man mott lut schrige, sonst verschteiht [he] ons nicht.
WS23	Wi seend mehd on hebbe Därscht.
WS24	As wi gister Owend torück keeme do leege de andere schon int Bed on werre fest ant Schlope.
WS25	De Schnieh es dise Nacht bi ons ligge gebäwe, ober hide morgen es he geschmollte.
WS26	Hinder onem Hus s[ch]toone {hier ist die Tinte verschmiert, wohl von einem Ausbesserungsversuch} dree schoine Aepelbömker met rode Aepelkes.
WS27	Könn ju nich noch een Ogeblek ob ons wachte, denn goh wi met ju.
