---
Bogennummer: '45340'
Ort: Oberwil bei Büren
Gid: 15786
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-03-14 18:56:08.266447
Änderungsdatum: 2023-03-15 18:21:28.883054
Satzversion: 1
...
WS1	Im Winter flüge di trochene Bletter i der Luft ume.
WS2	Es hört gly uf schneie, de wird s' Wätter wieder besser.
WS3	Tue Chohle i Ofe, dass d' Miuch gly afoht choche.
WS4	Dä guet aut Ma isch mit em Ross uf em Ysch ygsunke un-is chaute Wasser gfaue.
WS5	Er ist vor vier oder sächs Wuche gstorbe.
WS6	s' Füür isch z'starch gsy, d' Chueche si jo ungernoche ganz schwarz brönnt {Verdoppelungsstrich auf 'n'}.
WS7	Er isst d' Eier gäng ohni Sauz und Pfäffer.
WS8	D' Füess tüe mer hert weh, i gloube, i sig dürgloffe.
WS9	I bi bi der Frou gsy u ha-n-er-es gseit u si het gseit, si wöu's ihrer Tochter o säge.
WS10	I wott's o nümme {Verdoppelungsstrich auf 'm'} meh mache.
WS11	I schloh der de öppe s' Cheui um d' Ohre, du Aff !
WS12	Wo geisch hi, sou mer mit-er cho ?
WS13	Es si schlächti Zyte !
WS14	Mis liebe Ching, blib do nide stoh, die böse Gens bysse di z' tod.
WS15	Du hesch hüt am meiste glehrt und bisch artig gsy, du darfsch früecher hei aus di angere.
WS16	Du bisch no nit gross gnue für ne Fläsche Wy usztrinke, du muesch z' ersch no chlei wachse-n-u grösser wärde.
WS17	Bisch so guet und gang säg dir Schwester, si sou di Chleider für öüi {zunächst 'eüi', dann 'e' mit 'ö' überschrieben} Mueter fertig näie und suber bürste.
WS18	Hätsch du ne gkennt {Verdoppelungsstrich auf 'n'} ! de wär es angers cho, und es stieng besser um ihn.
WS19	Wär het mer mi Chorb samt Fleisch gstohle ?
WS20	Er het derglyche do, wie wenn {Verdoppelungsstrich auf 'n'} si ihn zum Drösche bsteut häd; aber si heis säuber gmacht.
WS21	Wäm hed er di nöüi Gschicht erzeut ?
WS22	Mi muess lut brüele, süsch versteit er is nid.
WS23	Mir si müed u hei Durst.
WS24	Wo mir nächti zrugg cho sy, si di angere scho im Bett gsy, und si fescht am Schlofe gsy.
WS25	Der Schnee isch di Nacht blibe, aber hüt am Morge isch er gschmouze.
WS26	Hinger üsem Huus stöh drü schöni Öpfuböümli mit rote-n Öpfeli.
WS27	Chöit-er nit no-n-es Ougeblickli uf is warte, de chöme mer mit-ech.
WS28	Dir dörft nit söttigi Mürsterli {was bedeutet dieses Wort ?} mache.
WS29	Üsi Bärge si nit grad so höch, öüi si viu höcher {zunächst 'si höcher.', dann nach dem Satzende '*) viu' angefügt und '*)' zwischen 'si' und 'höcher' gesetzt} .
WS30	Wie {zunächst 'Wieviu', dann 'viu' durchgestrichen} mängs Pfung Wurst und wie mängs Brot wüesst-er ha ?
WS31	J verstoh-n-ech nid, dir müesst e chlei luter rede.
WS32	Heit dir kes Bitzli wyssi Seife für mi uf mim Tisch gfunge {zunächst 'gfunde', dann 'd' mit 'g' überschrieben} ?
WS33	Si Brueder wott für ihn zwöi schöni nöüi Hüser i öüem Garte boue.
WS34	Das Wort isch ihm vo Härze cho.
WS35	Das isch rächt gsy von-n-e {zunächst 'vo-n-ihm.', dann 'ihm' durchgestrichen und 'e' darunter geschrieben} .
WS36	Was höcke dört obe uf däm Mürli für Vögeli ?
WS37	Di Buure hei föüf Stiere und nün Chüe und zwöuf Schöfli vors Dorf brocht, die hei si wöue verchoufe.
WS38	D' Lüt si hüt aui duss uf em Fäu und mäie.
WS39	Gang nume, dä bruun Hung tuet-er nüt.
WS40	I bi mit de Lüt do hinger uber di Matte is Chorn gfahre.
