---
Bogennummer: '44741'
Ort: Frick
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:52.208647'
...
WS1	Im Winter flüüge di trochne Bletter i de Luft ummenand.
WS2	Es hört glii uf schneie, derno wird s' Wätter wider besser.
WS3	Tue Choole-n' i Oofe-n' ie, ass d' Milch bald feht afe cho-che.
WS4	"De Guet alt Maa isch durs Iis duure (u offen) b' brache und is [bei ""isch"" sind 'ch' durchgestrichen] chalt Wasser g' heit."
WS5	"Er isch vor vier oder sächs (auch se) Wuche g' storbe ['s' ist rot unterstrichen und am linken Blattrand steht in rot: ""s = sch""]."
WS6	S' Füür isch d' stark ['s' ist rot unterstrichen] g' sii, g' Chueche si joo unde ganz aabbrännt gsii.
WS7	Er isst d' Eier ['E' ist rot überschrieben mit 'ä'] allewil ohni Salz und Pfäffer.
WS8	D' Füess tüend mer fescht weh, i glaub i heb si duure gloffe.
WS9	I bi bii de Frau g' si und ha-n' er es g' säit, und derno het sie [das 'e' ist rot durchgestrichen] g' säit, sie wölls au ihrer Tochter sääge.
WS10	I will 's au nümme mache.
WS11	I hau d' er grad mit em Chochlöffel um d' Ohre, du Aff.
WS12	Wo gaasch hi, selle' mer mit d' er choo ?
WS13	Es si schlächti Ziite
WS14	"Miis liebs Chind, bliib do unde stoo ['s' ist rot unterstrichen und am linken Blattrand steht in rot ""s = sch""], di bööse Gäns biisse di z' tod."
WS15	"Du hesch hütt am meischte [das erste 'e' ist rot unterstrichen darüber steht in rot ""ä""] g' lehrt und bisch brav gsii, du darfsch ender häi goo ass die andere."
WS16	Du bisch noo-nig gross gnueg, ass chäisch e Fläsche Wii uustrinke, du muesch z' erscht no e chlii wachse und grosser wärde.
WS17	Gang, biss so guet und säg diir Schwöschter, si sell g' Chläider für eui Mueter feertig nähie und mit de Bürschte suuber mache.
WS18	"Hättisch e g' chännt! derno wers anderscht choo und es tet besser stoo ['s' ist rot unterstrichen und am lienken Blattrand steht ""s = sch""] ummne."
WS19	"Wer hett mer mi Chorb mit em Fläisch g' stohle ['s' ist rot unterstrichen und am linken Blattrand steht ""sch""] ?"
WS20	Er hett e so too, ass wie wenn - 's 'e zum Trösche g' frogt hätte, aber si häi 's sälber g' macht.
WS21	"Wenn [unter 'nn' steht eine rote Wellenlinie und am linken Blattrand ein rotes ""?""] hett er di neu Gschicht verzellt ?"
WS23	Mir sii müed und häi Turscht.
WS24	Wo-mer geschtert z'oobe zrugg choo sii, sii di andere scho im Bett glääge und häi fescht gschloofe.
WS25	De Schnee isch die Nacht bi eus bliibe ligge, aber am Moorge isch er vergange.
WS26	"Hinder eusem Huus stöhnd ['s' ist rot unterstrichen und am linken Blattrand steht in rot ""sch""] drü Öpfelböimli mit rote-n Öpfeli."
WS27	Chönnet er it no es Augeblickli uf is warte, derno gömmer mit ich.
WS28	Der törfet it dere Chindereie triibe.
