---
Bogennummer: '45887'
Ort: Meiersmaad
Gid: 17388
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-12-13 17:40:52.178422
Änderungsdatum: 2022-12-21 15:05:01.518501
Satzversion: 1
...
WS1	Jm Winter flüge die trochene Bletter i dr Luft umme.
WS2	Es hört gly uf schneie, de chunnt de ds Wätter ummi besser.
WS3	Tue Chole i Ofe {zunächst 'ofe', dann 'o' durchgestrichen} , dass d' Miuch gly afat choche.
WS4	Dä guet aut Ma isch mit-[e]m {für mich unklar unklar, ob 'em' oder 'dm' gemeint ist} Ross i-ds Ysch ybroche u i ds  chalte Wasser gheit.
WS5	Är isch vor vier oder [s]ächs  {zunächst '6', dann Zahl mit 's' überschrieben und zu 'sächs' ergänzt} Wuche gschtorbe.
WS6	D's Füür isch z'schtarch gsy, d'Chueche sy unne ganz schwarz.
WS7	Är isst d'Eier geng ohni Salz u Pfäffer.
WS8	d'Fūess tūe mr hert weh, i gluube, i hig se dürglüffe.
WS9	J bẏ {zunächst wohl 'bi', dann 'i' mit 'y' überschrieben} bi der Fr[o]u  {oder 'Frau' ? der Buchstabe wurde überschrieben} gsy u ha-r-es gsiit, u dy het gsiit, si weus de irer Tächter o säge.
WS10	J wiŭs nid meh mache.
WS11	J gibe dr iis mit em Cheŭi zum Grind, du Aff !
WS12	Wo giisch hii, söuemer o mit cho ?
WS13	Es sy schlācht Zyte !
WS14	Liebs Chind, blyb hiniide schtah, di {zunächst 'die', dann 'e' durchgestrichen} bōse Gāns bysse dy z'tod.
WS15	Du bisch hüt flyssig gsy u brav, du chasch früecher hiim ga aus di andere.
WS16	Du bisch no nid gross gnue, fūr ne Flāsche {hier drückt der Nummernstempel von der Rückseite durch} Wy uszuffe, du muesch zersch no wachse u gröser {zunächst wohl 'gröss', dann 2.'s' mit 'e' überschrieben und 'r' ergänzt} wārde.
WS17	Bis so guet, u {auch hier drückt Nummernstempel von Rückseite durch} gang sāg dir Schweschter, sy söu d'Chlyder fūr eui Muetter fertig näie u putze.
WS18	Hättisch du ne bchönnt, de wärs anders cho, u ār wäuim {oder 'wänim' ?} besser drann.
WS19	Wār het mr my Chorb vou Fliisch gschtole ?
WS20	Är het drglyche ta, wie we-se-ne zum Trōsche bschteut hātte, sy hiis aber säuber ta.
WS21	Wem het-er dy neui Gschicht erzeut ?
WS22	My muess luut brüele, süsch verschtiit er is nĭd.
WS23	Mir sy müed u hii Durscht
WS24	Wo mer nächti sy z'rugg cho, sy di andere scho im Bett gläge , u sy fescht am Schlafe gsy.
WS25	Dr Schnee isch letschti Nacht by üs blybe lige, aber hūt am Morge ischer vergange.
WS26	Hinder ūsem Huus schta 3 schōn Opfubüm {'schōn' ist nachträglisch oben zwischen '3' und 'Opfubüm' eingefügt}  mit rote Öpfelene. 
WS27	Chūt ir nid no en Ugeblick uf is warte, de chōmemer de mitech.
WS28	Dir dōrfet nid eso chindleche Zūūg trybe.
WS29	User {sic!} Bārge sy nid eso hōch, euer sy viu höcher
WS30	Wiviu {zunächst 'Wiviel', dann 'el' dick mit 'u' überschrieben} Pfund Wurscht u wiviu Brot wiit er ?
WS31	J verschtah euch nid, dir müesst e chly luterer rede.
WS32	Hiit dier kes Bitzli wissi Siife fūr my uf mim Tiischli {zunächst 'Tyschli', dann 'y' mit 'ii' überschrieben} gfunde ?
WS33	Sy Brueder wott zwū schōni neui Hūser i euem Garte baue.
WS34	Ds Wort ischim vo Hārze cho.
WS35	Das isch rächt gsy vonne.
WS36	Was hocke da fūr Vōgeli uf em Müürli obe ?
WS37	d' Bure hii fūf Ochse u nūn Chüeh u zwoūf {sic!} Schaf vor dsDorf  {'ds' ist wohl nachträglich vor 'Dorf' gesetzt} bracht, si wiise verchuufe.
WS38	d' Lūt {zunächst 'Lūūt', dann 1.'ū' gelöscht und 1.'ū' mit 't' verbunden; oben ist noch eine Spur vom Umlaut zu sehen}  sy hūt aui dusse ufem Land u tüe mäie
WS39	Gang nŭmme, dr bruun Hund tuet dr nūt
WS40	J by mit de Lūte {zunächst 'Lūūte', dann 2.'ū' radiert und 1.'ū' mit langem Strich mit 't' verbunden} dahinder uber ds'Land ids Chorn gfahre.
