---
Bogennummer: '03435'
Ort: Neuwegersleben
Gid: 125140
Transliterent: 
Transliterationsprojekt: Historische Sprache in Brandenburg (Uni Potsdam)
Anmerkungen: 
Original Anmerkungen: 
Erstelldatum: 
Änderungsdatum: 
Satzversion: 1
...
WS1	 In'n Winter fleigen dä̮̆ drögen Blädder in dä̮̆ Luft 'rum	
WS2	 Et hört gliek ob mit schnien denn ward det Wäder wedder besser	
WS3	 Dauh mal Kollen in'n Ofin, dat de Melk (balle) schwie ne an de koken fänget	
WS4	 Deh gue ohle Mann is mit dat Pärd dö͜rche͜t I͜eß͜e broken un in dat kohle Woater fallen	
WS5	 Deh iß ungefähr vorr veier oder söß Wochen ne storben	
WS6	 Dat Füer war te heit <(darum me sind)> de̮ Kauken sind ja un 'nĕ ganz ẞwart te brennt	
WS7	 Hei itt de Eier immer ohne Soolt un Pepper	
WS8	 Deh Feute dauht mikk recht weih' ick glöwe deh hem mek mick dörche loopen	
WS9	 Ick bin bi de Frue weßt un hewwet däh seggt, un däh säh, se̮ woll͜et öhre Dochter seggen	
WS10	 Ick will et ock nich wedder dauhn	
WS11	 Ick slah' dick ook gliek mit'n Kooke leppel um me de Ohren du Affe	
WS12	 Wo geihst du henn, sollt weih mit dick gah'n?	
WS13	 Et sind ẞlechte Tieten	
WS14	 Mien leiwe Kind bliew man hier un 'n stahn de bösen <(ßlechten)> Gäuse biet't dick süß doht	
WS15	 Du hast hüte opp'n meisten͜ e lehrt un bist artich͜ e weßt, du kannst eher noch Hus gahn, wie de andern	
WS16	 Du bist noch nich grote nauch um um me ne Flasche Wi'n uht te drinken	
WS17	 Gah' sieh mal sau gut un segg 'tau diehne Sßwester se soll de Kleeder vor öhre Mutter fertig neih'n un mit de Bößte rei ne moaken	
WS18	 Härrst du dähn ne kennt! Denn wörret an derße kohmen un et stünne besser mit ne	
WS19	 Wär hat mick denn mihnen Korf mit Fleisch͜ e stohlen	
WS20	 Hei daht sau als farr'n se ehne taun Dreschen bistellt; sei <(däh)> hattet uber sülber  ne dah'n	
WS21	 Wen'n hat͜he denn däh nih' Geschichte vortellt	
WS22	 Man mött feste gröhlen <(schrieen)> süß vorsteihte uns nich	
WS23	 Weih' sind meuhe un hett dößt <(döeßt ebenfalls)>	
WS24	 Als weih gistern Abend terrügge <(taurügge)> kamen dĕn'n le͜ en deh andern schon te Bedde un' woaren fest ant schloapen	
WS25	 De Sẞnei is düsse Nacht bi uns liggen ne bleb  ben aber hüte Morgen iß hei oppe ßmulten	
WS26	 Hinder unser Huse stahet drei schöne Äppelböhmemeken mit rohe Äppelkens	
WS27	 Könnt ji denn mih en Ogenblickjen opp uns woah ren, denn goaht weih mit jüch	
WS28	 Jih döhrt niche sonne Kinderien drieben	
WS29	 Unse Barge sind nich sehr hoch, jue sind vehl högger	
WS30	 Wievehl Pund Worßt un wie vehl Pund Brot willt je hebben?	
WS31	 Ick vorstoahe jück nich ji mött'n bettjen luter spräken	
WS32	 Hett ji denn kein Stücke witte Seepe vorr mick opp minen Disch͜ e fun'n?	
WS33	 Sien Brauder will sick twei schöne ni̮e̮ Hüser in juen Goahrn buen	
WS34	 Dat Wort kam öhne vont Harte	
WS35	 Dat woar recht won jüch	
WS36	 Woat sitt' da vor Vöggelkens <(boben)> oben opp dat Mürecken	
WS37	 Däh Buhren harren fünnef Ossen un <(neun)> neggene Keuhe un twölf Schäpkens vor dat Dörpe bracht, däsh wollen se vorköpen	
WS38	 Däh Lüh sünd hüte alle butten opp'n Felle un meiht	
WS39	 Gah man, däh brune Hund deiht dick nißt	
WS40	 Ick bin mit de Lüh' dahin'n öbber däh Wiesche int Kohr'n ne feuhrt	
