---
Bogennummer: '45967'
Ort: Oberfeld (Frutigen)
Gid: 546255
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-03-16 14:11:50.045619
Änderungsdatum: 2022-03-16 17:03:40.809777
...
WS1	Im Winter flüge die trochene Bletter i dr Luft ume.
WS2	Es hört gli uf schniie {'n' ist manuell oben zwischen 'h' und dem 1.'i' ergänzt}, de w[ü]rd {es ist unklar, ob 'wird' oder 'würd' gemeint ist: beide Buchstaben sind übereinander getippt} de ds Wätter wieder gut.
WS3	Tue {zunächst 'tu' getippt, dann manuell 't' mit 'T' überschrieben und 'e' angehängt} Chole n i Ofe, dass d Milch bal afeht choche.
WS4	Dä guet alt Ma ischt mit de Rosse dür z Isch broche u i zchalt Wasser ghiit.
WS5	Aer isch vor vier oder sägs Wuche gstorbe.
WS6	Ds Füür isch schtarch gsi, die Chueche si ja une ganz schwarz brennt.
WS7	Aer isst die Eier immer ohni Salz u Pfäffer.
WS8	D Fuess tüe mir strach weh, i gluube i ha si dürglüffe.
WS9	I bi bi dr Frau gsi u ha r es gsiit, u si het gsiit {zunächst 'gsit', dann 't' mit 'i' übertippt und 't' angefügt}, sie wellis o ihrer Tächter säge.
WS10	I wills o net me tue
WS11	I schla dr angens mit dem Kochl[ö]ffl  {zunächst 'ü' getippt, dann mit 'ö' übertippt}  um d Ohre, du Aff
WS12	Wo gischt hi, sölle mer mit cho ?
WS13	Es si schlächt Zyte.
WS14	Mis liebs Chind, blib hieniede stah, die böse Gens bysse di z tod.
WS15	Du he[s]cht {zunächst 'x'. dann mit 's' übertippt} hüt am mischte glert u bischt e tolle gsi, du darfscht ender gah als die andere.
WS16	Du bischt no n[e]t {zunächst 'i', dann mit 'e' übertippt} grosse gnue um ne Fläsche Wy ustztrihe, du muscht zerscht nu wac[g]se {zunächst 'h', dann mit 'g' übertippt} u gröser wärde.
WS17	Gang säg dir Sch[w]ester {zunächst 'e', dann mit 'w' übertippt} , si sölli di Chlyder für eui Mueter fertigneie u mit dr Bürste sufer mache, bis so guet.
WS18	Hättischt du ne kennt, de wes anders cho, u näs stündi besser umne.
WS19	Wär het mer mi Chorb mit Flisch gstohle.
WS20	Aer het e {zunächst 'es', dann 's' manuell durchgestrichen} so ta, als het es ne zum Trösche bstellt. Si his aber sälber gmacht {am Zeilenende 'gmac' und manuell darüber 'ht' ergänzt}
WS21	Wäm her er die nüi Gschicht erzellt ? {zunächst nur '.' (Punkt) , dann '?' darüber getippt}
WS22	Mi mues brüle, süscht verstit er nüt.
WS23	Mir si müed und hi Durscht.
WS24	Wa mer nächti z[r]ugg {2.Buchstabe zunächst unklar, dann mit 'r' übertippt; 3.'g' am Wortende durchgestrichen} cho si, da si die andere scho im Bett gsi u hi fescht gschla[f]e {zunächst 'g', dann mit 'f' übertippt}.
WS25	Dr Schnee ischt dies[i] {Wortende zunächst 'e', dann mit 'i' übertippt] Nacht blibe liege, aber hüt am Morge ischt er gschmolze.
WS26	Hinder üsem Hus sta dri schö[ni] {zunächst nur 'schö', dann oben manuell ergänzt mit 'ni'} [Ö]pfelbümleni {zunächst Tippfehler '+pfel...', dann '+' manuell mit 'Ö' überschrieben}  mit rote Oepfelene.
WS27	Chönnt ihr net nu ne[s] {zunächst 'ne' getippt, dann manuell 's' angehängt} Ugeblickli warte, de ga mir mit öch.
WS28	Ihr dörft net selig[i] {zunächst 'selige', dann 2.'e' mit 'i' übertippt - oder vielleicht umgekehrt?} chin[d]liche {'chinliche' getippt, dann manuelle 'd' oben zwischen 'n' und 'l' eingefügt} Sache tribe.
WS29	Ueser Bärge si n[i]t {zunächst 'net' getippt, dann 'e' mit 'i' übertippt} höi, euer si viel höier.
WS30	Wieviel Pfund Wurst u wieviel Brot wiit dir ha {zunächst aus Versehen hinter 'a'  den Bruch 1/2, mit Ziffern übereinander getippt; manuell durchgestrichen} ?
WS31	[I] {zunächst 'i', dann msnuell mit grossem 'I' überschrieben} verstahnuch nüt, ihr müesst luter rede.
WS32	Hit dir kis Stücki Sifa uf mim Tisch gfunde ?
WS33	Si Bruder wott zwü schöni Hüser in euem Garte buue.
WS34	Das Wort isch im vo Härze cho.
WS35	D[a]s {zunächst 'Ds' getippt, dann manuell 'a' oben zwischen 'D' und 's' eingefügt} isch rächt gsi vo {zunächst 'va' getippt, dann 'a' mit 'o' übertippt} ine
WS36	Was sitze da für Vögelini obe uf dem Müürli ?
WS37	Die Bure hi füf Ochse, nün Chüe u zwölf Schäfeni {zunächst 'e' am Wortende, dann mit 'i' übertippt} vor z Dorf bracht , di hi si welle verchufe.
WS38	Di Lüt si hüt alli usse uf em Fäld u me[i]e {zunächst 'y', dann mit 'i' übertippt}.
WS39	Gang numme der brun Hund tuet dr nüt.
WS40	I bi mit de Lüte dert hinderi {'ü' getippt und nachher mit '/' übertippt = durchgestrichen} über d' Matte {Apostroph von Hand eingefügt} i z Chore gfahre.
