---
Bogennummer: '45402'
Ort: Oberstetten
Sprache: ''
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz Excel Import
Transliterent: ''
Anmerkungen: ''
Erstelldatum: '2024-04-15 09:49:51.872285'
...
WS1	"Im Winter flüget  di [zunächst \""die\"", dann 'e' gestrichen]  trochne Bletter i dr Luft umenand."
WS2	Es hört jetz denn grad uf schneie, denn wird 's Wetter wieder besser.
WS3	Tue Chole in Ofe, dass d' Milch bald afangt süde.
WS4	"De guet alt Ma ist mit dem Ross dur 's Is  'proche [zunächst \""broche\""]  und i 's chalt Wasser ine g' falle."
WS5	Er ist vor vier oder sechs Woche g' storbe.
WS6	"'S Für ist z' starch g' si, die Flade sind ja unde ganz schwarz a 'prennt [zunächst \""brennt\""]."
WS7	Er isst d' Eier immer ohni Salz und Pfeffer.
WS8	D' Füess tüen-mer elend weh; i glaube, i ha si düre g' laufe.
WS9	"I bi bi dr Frau gsi und ha-n-er-es [zunächst \""ha-ne- ..\"" , dann 'e' durchgestrichen] g' seit, do seit si, si wöll 's au ihrer Töchter säge."
WS10	I will 's gwüss nie meh wieder tue.
WS11	I hau dr jetz denn mit dr Chelle um d' Ohre, du Aff !
WS12	Wo gohscht hi ?  Sölled mer mit dr goh ?
WS13	Es sind schlechti Zite !
WS14	Du liebs Chinn, blib do unde stoh, di böse Gäns bissed di tot.
WS15	Du hescht hüt am meischte g' lernet und bischt brav g' si, du tarfscht früehner hei goh als di andere.
WS16	Du bischt no nöd gross g 'nueg, zum e Fläsche Wi ustrinke, du muesch zerscht no e chli wachse und grösser werde.
WS17	Gang, bis so guet und säg diner Schwöster, si söll d' Chleider für eueri Mueter fertig neie und mit dr Bürschte sŭber mache.
WS18	Hett 'sch ne du grad g 'kennt, denn wärs anderscht use cho, und es tät besser um ne stoh !
WS19	Wer het mer min Chorb mit Fleisch g' stole ?
WS20	"Er het grad tue, as öb s' ne zum Trösche b 'stellt hetted;  si [zunächst \""sie\"", dann 'e' durchgestrichen]  hend 's aber selber tue."
WS21	Wem hett er di neu G'schicht verzellt ?
WS22	Me mues lut brüele, suscht verschtoht er üs nöd.
WS23	Mer sind müed und henn Turscht.
