---
Bogennummer: '45025'
Ort: Strengelbach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.694959'
...
WS1	ìm wìnter flüüge die tròchne blètter ì der lùft ùme.
WS2	es hört grad uuf schneie, dènn wìrd s' wätter wìder besser.
WS3	tūe chòle-n-i òfe, dass ḏ' mìuwch bauwd afoot chòche
WS4	"dè guet aŭt Maa ìst mìt dè rosse dùrs iis proche ùnd is chalt [über 'al' in rot: ""(-auw-?)""] wasser gfauwe ['auw' rot unterstrichen]"
WS5	"e̊r ìst [über 's' steht in rot 'sch': ""ìscht""] vòr vier oder sächs wōche gstōrbe [zwischen 'ō' und 'r' steht in rot 'ō': ""gstōōrbe""]."
WS6	s' füür ìst z' starch gsii, d' kueche sìnd jò ùnde ganz schwarz aaprönnt [Verdoppelungsstrich auf 'n'].
WS7	e̊r ìsst d' eier ìmmer òhni ['h' ist rot durchgestrichen] saŭwz
WS8	pfüèss tüem-mer häfti wee, i gloŭbe, i heig-si dūre glòuffe.
WS9	i bì bì der fròŭw gsii ùnd ha-n-ères gseit, ùnd si het gseit, si wèuw 's ouw ìhrer tochter sàge [oder ist das eher ein '>'-Zeichen statt einem Akzent?]
WS10	i wēuw 's òuw nǜmme tue.
WS11	"i houw dèr graad mìt-èm chochlö̀ffu ūm d' ohre ['h' ist rot durchstrichen und darüber 'o' gesetzt: ""oore""], du aff !"
WS12	wō gòoscht du hē, sèue-mer mīt-der gòo ?
WS13	e̊s sīnd schla>chti [der Haken steht über 'a'] ziite !
WS14	"mis lieb chìnd, bliib dò ùnde stoo, dí böse gäns bisse-di z' tōd [zwischen 'ō' und 'd' steht darüber in rot 'ō': ""tōōd""] !"
WS15	du hescht hǜt am meisten gleert umm-bìst artig g' sii, du tarfscht früecher heigoo aŭws di andere.
