---
Bogennummer: '50409'
Ort: Ivenack
Gid: 122429
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2024-08-27 14:29:40.995572
Änderungsdatum: 2024-08-27 15:01:11.660085
Satzversion: 1
...
WS1	"In'n Winte fleig'n dei drög'n Bläre dörch dei Luft rüm </gebräuchlicher: ""in dei Luft rüm"")>"
WS2	Dat hürt gliek up to <(tau)> snieg'n, denn wad dat Were werre bete. 
WS3	Legg <(schürr)> Kahl'n in'n Abe, dat dei Melk bald an tau kaken fängt. 
WS4	Dei oll gaur Mann is mit 'd' Pierd inbraken und in d' koll Wade foll'n <:/ ungebräuchlich: dörchd Ies braken/:>
WS5	"Hei is vör vier bed söß Wochen <auch: ""Weken""> storb'n. "
WS6	Dat Für wier tau heit <:/was tau heit/:>, dei Kauken sünd jo unne ganz swart brennt. 
WS7	Hei ett dei Eier <:/Ejer/:> ümmer ahn Solt un Peper <:/Schluß r stum̄, verleiht dem e einen a Laut/:>
WS8	Dei Fäut dauhn mi siehr weih, ick glöw, ick hew sei mi dörchlop'n. 
WS9	Jck bün bi dei Fru west un hew ehr dat seggt, und sei sehr, sei woll dat ehr Dochter ok segg'n. 
WS10	Jck will dat ok nich miehr werre dauhn!
WS11	Jck slag di gliek mit dei Kell <(nicht: Kaklepel/:> üm dei Uhrn, du Aap!
WS12	Wua geihst du hen, säl'n wi mit di gahn? 
WS13	Dat sünd slicht Tied'n!
WS14	"Mien leiw Kind, bliew hier ünne <(un'n)> stahn, dei oll'n <:/ statt: ""bösen""/:> Gäus biet'n di dod. "
WS15	Du hest hüt am miehrsten <(auch: meisten)> liehrt un büst orig west, du kennst <:/ dörfst ungebr./:> früher <(besser: ihre/:> na <:/besser: tau/:> Hus gahn as dei Annern
WS16	Du büst noh nich grot naug, üm ne Buddel Wien uttaudrinken, du möst noch ierst 'n Enn wassen und grötte warrn. 
WS17	Gah, sie so gaut un segg dien Sweste <:/ früher: Süste/:>, sei söll dei Klere för jug Mudde <:/zuweilen: Maure/:> fürig neigen und mit dei Böst rein maken <(meigen = auch ) nei'n)>
WS18	Harst du em kennt! Denn wier dat anners kamen und dat stünn bede üm em <:/weniger: deir bede üm em stahn.>
WS19	Wer het mi minen Korf mit Flesch stahln? 
WS20	Hei deir so, as harrn sei em tau'n Döschen bestellt; sei hebb'n dat äwer sülwst dahn. 
WS21	"Wen het hei dei nie Geschicht vertellt? <:/sonst: neu = ""nieg""/:>"
WS22	Man möt luhr schrieg'n, sünst vesteiht hei uns nich. 
WS23	Wi sünd mäur un hebbn Döst
WS24	As wi gistern Abend trügg kem'n, don leg'n dei Annern all <:/ für: schon/:> tau Berr und wier'n fast bi'd slap'n. <:/fast auch = s[ü]ker/:>
WS25	Dei Snei is dis Nacht bi uns ligg'n blēb'n, äwer hüt Morrn is hei smöllt. 
WS26	Achter uns Hus stahn drei lütt schön Appel<:/ auch: Äppel):>böm mit ror Appel <:/Diminutive hat hier das Platt[d])>
WS27	"Kähnt ji nich noch een lütt Ogenblick up uns täub'n, denn gahn wi mit jug <:/di[?]: ""Ogenblickchen"" = gbrl.):>"
WS28	Ji dörft nich sonn Kinneried'n drieb'n. <:(auch: Kinnerien):>
WS29	Uns Berg sünd nich siehr hoch, jug sünd vehl höger. 
WS30	Wuavehl Pund Wust und wuevehl Brod willn ji hebbn. 
WS31	Jck vestah jug nich, ji möt'n bet'n lure spreken. 
WS32	"Heft ji nich'n lütt Stück witt Seep för mi up min'n Dich fun'n. <(Dimin.: ""Stückchen"" hat andere Bed. als ""lütt Stück, [?] ""Stückchen upspelen"". - ""Det wier von Stückchen!"">"
WS33	Sin Braure will sick twei schön nie Hüser in jug'n Gor'n bug'n. 
WS34	Dat Wurt keem em von'n Hart'n <:/auch Herzen/:>
WS35	Dat wir recht von se!
WS36	"Wat sitten dor för lütt Vägel baben up dei lütt Mur? <:/""Vägelken"" hat andere Bedetung; ""Mührken"" ungebrauchlich>"
WS37	"Dei Luhrn harrn fief Ossen und nägen Käuh und twölf lütt Schaap vör't <:/besser: but'n vör't> Dörp bröcht, dei woll'n sei veköpen. <:/""Schäping"" und ""lütt Schäping"" = einlfältiger Junge, sonst nur ""Bă Schäping""/:>"
WS38	Dei Lühr sünd hüt all but'n up'n Fell'n und meig'n. 
WS39	Gah man, dei bruhn Hund deiht di nicks. 
WS40	Jck bün mit dei Lühr dor hin'n äwer dei Wisch in't Kurn führt. 
