---
Bogennummer: '45547'
Ort: Uetikon am See
Gid: 14680
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-10-21 17:24:15.989844
Änderungsdatum: 2023-11-08 14:03:01.966397
Satzversion: 1
...
WS2	Es hört grad <(oder: gli = bald)> ŭf schneie, dänn wird 's Wätter wider besser.
WS3	Tŭe Chŏle in Ofe, daß d' Milch bald afangt <(āfähd)> {'(āfähd)' steht unter 'afangt'} süde <(choche)>.
WS4	Dä gŭet alt Ma ischt mit-em Roß dŭrs Js broche <(im Js ibroche)> {'(im Js ibroche)' steht unter 'dŭrs Js broche'} ŭnd is chalt Wasser gfalle.
WS5	Er ischt vor vier oder sächs Wŭche gschtorbe.
WS6	"s' Für ischt z' starch gsi, d' Chueche sind ja ŭ̌ne {über 'u' steht zunächst der ""übliche Bogen"", darüber das Häkchen wohl für die Kürzung} ganz schwarz brännt."
WS7	Er ißt d' Eier immer <(alliwil)> ohni Salz ŭnd Pfäffer. <(ŭm Pfäffer)>
WS8	D' Füeß tüend mer <(tüe-mer)> sehr <(schüli starch)> {'(schüli) ist auf der Zeile geschrieben, 'stark' steht darunter} weh, ich glaŭbe, ich hä s' dŭrglaŭfe <dŭrgloffe)> . 
WS9	Jch bi bi der <(däre)> {'(däre)' steht unter 'der'} Fraŭ gsi ŭnd hä-n-er es gsaid, ŭnd si häd gsaid, si {beide Male zunächst 'sie'. dann 'e' durchgestrichen} well 's aŭ ihrer Tochter säge.
WS10	J will 's aŭ nü̆mme  <(ni̱e̱ meh) tŭe !
WS11	J haŭ der grad mit der Chochchelle <em Chŭchilöffel)> {'(em Chŭchilöffel)' steht unter 'der Chochchelle'} ŭm d' Ohre, dŭ Aff !
WS12	Wo gahscht <(du)> hi, sölled mer mit der gah ? <(cho ?)>
WS13	Es sind schlächt Zi̇̄te !
WS14	Mis li̱e̱b Chind, bli̇̄b da ŭ̌ne {über 'u' steht zunächst der übliche Bogen und darüber wohl das Kürzungszeichen} stah, di̱e̱ böse Gäns bißed di z' tod.
