---
Bogennummer: '44707'
Ort: Kaiseraugst
Gid: 14693
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Ganz oben auf der Seite mit den Wenker-Sätzen steht mit rotem Farbstift
  " eu = öi  y = ii "; auf der Rückseite steht oben, ebenfalls mit rotem Farbstift
  "Korrekt.: Burkart, Wallbach."

  In den übersetzten Sätzen ist an einigen Stellen mit Rotstift korrigiert worden.
  Hier ist jedoch die Version des Lehrers transkribiert. Die Korrekturen sind in geschweiften
  Klammern mit "2.Hand: ..." beschrieben. Dieser Bogen scheint nicht sehr sorgfältig
  ausgefüllt zu sein. Deshalb habe ich ''a'', ''o'' und ''u'' mit verschieden aussehenden
  Akzente jeweils als Umlaute ''ä'', ''ö'' und ''ü'' transkribiert.}

  '
Erstelldatum: 2024-10-12 13:05:58.797674
Änderungsdatum: 2024-10-13 18:17:09.604943
Satzversion: 1
...
WS1	im winter fliege die drochne blētter i d'r luft ume.
WS2	es hòrt gly uf mit schneie, de w[i]rd's {zunächst 'werd' ?} wätter wider besser.
WS3	tue {2.Hand: 't' rot unterstrichen und am linken Blattrand rot 'd' notiert} choole i'n oòfe {1.'o' nachträglich angefügt}, ass {zunächst 'dass', dann 'd' durchgestrichen} d' milch {an 'm' rumkorrigiert} gly {zunächst wohl 'gli'} chocht.
WS4	de guet alt maa isch mit em ross is iis ie ghèit und is chalt wasser gfloge.
WS5	Er isch vor vier oder sächs woche g'schtorbe.
WS6	"S' füür isch z'scharch {2.Hand: rot 't' oben zwischen 1.'h' und 'a' eingefügt} gsy, de {2.Hand: 'e' rot unterstrichen und durchgestrichen und am linken Blattrand rot ""d' ?"" notiert} chueche isch jò unde ganz schwarz verbrännt."
WS7	Er isst d' Äier ìmmer {Verdoppelungsstrichc auf 'm'} oni {zunächst 'ohni'} salz u. {Kringel auf 'u' zur Klarstellung} pfäffer.
WS8	D' füess tüemer mordswee, i glaub i ha 'si durègloffe.
WS9	I bi bi d'r frau gsy u. hanerres {oder ist hier etwas zwischen 'r' und 'e' durchgestrichen ?} gs[a]it {'s' ist klein und hochgestellt; ist 'a' durchgestrichen?}, u si het gsäit, si wèlls ihrem mäitli au sääge {zunächst 'säge', dann 2.'ä' oben zwischen 'ä' und 'g' eingefügt}.
WS10	I will's au nümme {Verdoppelungsstrich auf 'm'} tue {2.Hand: 't' rot unterstrichen und am Satzende rot 'd' notiert} !
WS11	I schlòòdr gliè {2.Hand: 'è' unten mit roter Wellenlinie versehen und am linken Blattrand rot '?' notiert} dr Chochlöffel um d' oore, du aff !
WS12	Wō gòsch hēē, sell i mìt dr choo.
WS13	E si[y] {oder zunächst 'si', dann 'i' zu 'y' ergänzt ?} schlächti ziite.
WS14	Mi lieb's chind, bliib dò unde schtòò, di böse gans frässe[di] {oder 'fässetti' ?}.
WS15	Du hesch hüt am meischte {2.Hand: 1.'e' und 't' rot unterstrichen und am linken Blattrand rot 'ä' und 'd' notiert} glēērt, du bisch brav g[s]y, du darf {2.Hand: rot 'sch' an 'darf' angefügt} eender häi a[s] di andere.
WS16	Dů bìsch no nì gross gnue, um en'e flāsche wii z' lèère, du muesch z' erscht no wachse.
WS17	Gang, und säg diner schwöschter, si sell kl[ă]ider fur əui[i] {am Wortanfang steht 'e', das mit einem grossen 'O' umgeben ist - kann hier dasselbe Zeichen gemeint sein wie im Bogen 45422 Oberwil-Lieli, wo Frau Prof. Glaser empfohlen hat 'ə' zu verwenden? Dort hatte die Lehrerin ein kleines 'o' notiert und darin ein winziges 'e'.} muetter fertig näie u mìt de bürschte buzze.
WS18	Hättisch en kennt, denn wēr's andersch use chō u. s' gieng em besser.
WS19	Wer het mer mi {zunächst 'min'} chorb mit flāisch gstōōle  {2.Hand: 's' rot unterstrichen und am Satzende rot 'sch' notiert} ?
WS20	Er hat dr glī̇che tòò {2.Hand: 't' rot unterstrichen und am linken Blattrand rot 'd' notiert}, a[ls] hátt es en zúm trò̈sche {2.Hand: 't' rot unterstrichen und daneben rot 'd' notiert} bschtellt, si {zunächst 'sy'} häi's aber sälber tòò {2.Hand: 't' rot unterstrichen und am linken Blattrand rot 'd' notiert}.
WS21	Wem het er di nöi gschìcht vérzellt ?
WS22	Mr muess brüèle, soscht verstōd {2.Hand: 's' rot unterstrichen und am Satzende rot 'sch' notiert} er is nit.
WS23	Mīr sìnd müèd u. häi {zunächst 'häind'} duͦrscht {das kleine 'o' über 'u' steht in runden Klammern: '(o)'}
WS24	Wo mer geschter z' òòbe zrogg cho sy, si {zunächst 'sy', dann Unterlänge von 'y' gestrichen}} di andere im bett glääge und häi pfuuset.
WS25	Dr'  {'r' ist hochgestellt} schnee isch über nacht ligge bliebe {2.Hand: 1.'e' ist mit rotem umgedrehten 'T' gelöscht} aber de morge isch er gschulze {2.Hand: zwischen 'h' und 'u' ist oben rot 'm' notiert}.
WS26	Hinder öisem huus stönd {2.Hand: 's' rot unterstrichen und am linken Blattrand rot 'sch' notiert} drei schöni, öpfelböimli mit rote öpfle.
WS27	"Chöndedr nid no n'es {zunächst wohl 'no es', dann 'e' durchgekreuzt, dann ""n' "" davor gesetzt} bĭzzeli uf is warte, denn gömmer mit èch."
WS28	Mached {oder 'Ma-ched' ?} doch nid d' chue !
WS29	Öisi bärg si nid grad hō̈ō̈ch, öii si vill hööcher.
WS30	Wi mänge ring wurscht u. wi mänge läib brot wänder chaufe ?
WS31	I vertoe {2.Hand: zwischen 'r' und 't' mit rot ein verkehrtes 'T' gesetzt (Zeichen, dass etwas fehlt) und am linken Blattrand rot 'sch' notiert} nech n[et] {zunächst wohl 'nite', dann 'i' mit 'e' überschrieben und letzter Buchstabe durchgestrichen}. ir müend e bizzeli lüüter schwäzze.
WS32	Häitr kais schtükkli wiissi sā̈ifi für mēē uf miim tisch {2.Hand: 't' rot unterstrichen und am linken Blattrand rot 'd' notiert} gfunde ?
WS33	Si brueder will zwöi schöni, neui hüüser i euem garte boue.
WS34	da isch em vo härze chōō.
WS35	Das isch schön gsii vonene !
WS36	Was sitzid dòò für vöögeli uf em müürli ōbe ?
WS37	D' buure hai föif schtiere und nüün chüe und zwölf schòòf vor's dōōrf bròòcht {zunächst 'bròcht', dann 2.'ò' zwischen 'ò' und 'c' eingequetscht; sieht aus wie 'ì'}, si händ 's welle verchaufe.
WS38	D' lüüt mäie hüt alli uf em fäld usse.
WS39	Gang ume, de bruun hund mach' dr nüüt !
WS40	I bi mit dene lüüte do hìnde über d' matte i d' frucht gfaare.
