---
Bogennummer: '44754'
Ort: Rekingen
Gid: 17205
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-09-18 13:36:44.262017
Änderungsdatum: 2023-10-08 17:33:15.057605
Satzversion: 1
...
WS1	E ͥm Wēnter flüügt döör Lääub uͦmä.
WS2	S' höört glii uuf schnèèie, dänn besseret s' Wätter weder.
WS3	Ghèii Chòle eͥn {'i' ist unter 'e' notiert} Òfä, dass d' Meͥlch {'i' ist unter 'e' notiert} glii süüt.
WS4	Dää guet alt Maa ēͥsch {'i' ist unter 'ē' notiert} mēt èm Ross ēm Iìs iibroche oͧnd {'u' ist unter 'o' notiert} iͤs {'e' ist unter 'i' notiert} chalt Wasser inèghèit.
WS5	Eͣ̈rr {'ä' ist unter 'E' notiert} ēͥsch {'i' ist unter 'ē' notiert} vor vier òder sächs Wōchä gschtōrbä.
WS6	Häsch è veel z' grooss Füür, d' Düͦ̈nne {'ö' ist unter 'ü' notiert} ēsch jò uͦnde {'o' ist unter 'u' notiert} aabrännt.
WS7	Eͣ̈rr {'ä' ist unter 'E' notiert} ēsst d' Äier {zunächst wohl 'Ë' (mit Trema), dann 'E' mit 'A' überschrieben und Diakritika (als Strichlein) ergänzt} ēmmer òne Salz uͦnd {'o' ist unter 'u' notiert} Pfäffer.
WS8	D' Füess düemmer häiloss wee, ēch gläube fascht, ēch hà Blätz aab.
WS9	Ēch bē bēder Fräu gsii uͦnd {'o' ist unter 'u' notiert} han-èr-ès gsääit, see hätt gsääit, sē wèlls d ͤr Dochder ä sääge.
WS10	Ēch wēlls nöͧ̈mmä {ü' ist unter 'ö' notiert} ma-chä. <(vide Bè-sä)>
WS11	Mach-ē häu d ͤr gràd de Chelle om de Nöͧ̈schel {'ü' ist unter 'ö' notiert} oͧmä {'u' ist unter 'o' notiert}, du Baabi !
WS12	Wo wētt ane, sòle-mèr mēt-d ͤr choo ?
WS13	S' seͥnd {'i' ist unter 'e' notiert} schläächdiͤ {zunächst 'schläächti', dann 't' mit 'd' überschrieben; ferner 'e' ist unter 'i' notiert} Zittä.
WS14	Lòs {zunächst 'Lòss', dann 2.'s' durchgestrichen} Cheͥnd {'i' ist unter 'e' notiert}, bliib dò stòò, sōschsch biissed-de-Gänse z' tood.
WS15	Du häsch hō̈tt guet gleert uͦnd {'o' ist unter 'u' notiert} bēsch brav gsii; drom chasch eener hääi ass dēsiͤ {'e' ist unter 'i' notiert}.
WS16	Du bēsch nō z chlii fò̈rr-e {vielleicht auch 'fō̈rr-e' mit Querstrich statt Gravis?} Fläschä Wìi uus-z-drēnkä, du muescht z' ersch nō wachsä.
WS17	Gang, bēssō guet uͦnd {'o' ist unter 'u' notiert} sääg diner Schwöschter, si sell d ͤr Mueter ērē Kl[ä̈]ider {unklar: zwei Trema ?} fertig mà-chä uͦnd {'o' ist unter 'u' notiert} uusbō̈rschtä.
