---
Bogennummer: '46005'
Ort: Mürren
Gid: 18903
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-05-26 18:14:25.936885
Änderungsdatum: 2022-06-02 16:05:40.140928
...
WS1	Im Winter fleigen die trochenen Bletter in der Luft umha.
WS2	Es <(e offen)> heerd pletzli uf schnijen, den wird s' Wätter umhi besser.
WS3	Tue <(offen)> Cholen in Ofen, das d' Milch gli afähd chochen.
WS4	"Där guet alt Man {zunächst 'Man', dann zwischen 'a' und 'n' oben 'n' eingefügt und dann wieder durchgestrichen} isch mit em Ross dir <(i of)> {bedeutet: ""i offen""} z' Isch brochen und i z' chald Wasser ghīd <(i geschl.)>."
WS5	Ä̊r {im Bogen steht der Kringel über 'Ä' } ischt vor 4 ol 6 Wuchen gschtorben. <(vier e offen,) säx)>. {'e offen,)' ist oben zwischen 'vier,' und 'säx' eingefügt; dabei fehlt die sich öffnende Klammer vor 'e'}.
WS6	Z' Fīr isch viil <(i offen & lang)> z' schtarch gsin, di̊e <(e offen)> Chuechen sin ja unne ganz schwarz.
WS7	Är isst <(i of)> d' Eier gengen ohni Salz und Pfäffer.
WS8	D' Fiess tiemer e so weh {'e so' ist nachträglich oben zwischen 'tiemer' und 'weh' eingefügt:}, ì glouben ì heig sī <(ī geschl)> dīrgli̊ffen <(ī & i̊  { 'geschl' durchgestrichen} offen)>.
WS9	I bin <(i offen)> bin <(i geschl.)> der Frou gsīn und haras gseid und sī <(offen)> hed gseid, si wells den i̊rem Meitschi o sägen.
WS10	I wills <(i offen)> o nimmē machen.
WS11	I {zunächst 'Ii', dann 2,'i' durchgestrichen} giben der pletzli mitem Chelli uf <(i riehren der pletzli z' Chelli um)> d' Ohren, du Aff !
WS12	Wa geischt hin, sellen mr mitr chon ?
WS13	Ziti sin schlächt.
WS14	Bli̊b hie aha schtān, du liebs Chind, die besen Gens bīssen di suscht z' tod.
WS15	Du hescht hīt am meischte glehrt und bisch brav gsin, du darfsch drfīr friejer hein als die andren.
WS16	Du bischt no zweni gross fir ne Fläsche Wīn usztrichen, du <(u offen)> muesch zerscht no echlei<(n)> waxen und grēsser wärden.
WS17	Bis so guet u gang säg di̊ner Schweschter, si̊ <(offen)> selli d' Chleide fir eüwi Mueter fertig näijen <(biessen)> u mitr Birschten putze<(n)> <(u offen)>.
WS18	Hättisch du ne bchennt, den wärs <(r nur flüchtig)>, anders usachon undäs tät besser schtān mitmu.
WS19	Wär het mr min Chorb mitem Fleisch gschtohlen ?
WS20	Är het grad tan, wie {'we(n)' durchgestrichen} wesinen fir z' Dreschen hätten agschtellt, si <(offen)> heisaber sälber gmacht.
WS21	Wäm hetr die nieuwi Gscicht erzellt ?
WS22	Mů <(u offen & kurz)> mues {zunächst 'muess', dann 2.'s' durchgestrichen} lūt brielen, är vrscheid {so geschrieben!} is suscht nīd.
WS23	Mr sìn miedi u hein Durscht.
WS24	Wamer nächti sin zrugg chon, sin die andren schon im Bett glägen u {zunächst 'un', dann 'n' durchgestrichen} hein gschlafen.
WS25	Letschti Nacht isch dr Schnee binīs blībe {zunächst 'blīebe', dann 1.'e' durchgestrichen} <(i geschl)> li̊gen <(i offen)>, aber hīt <(i offen)> am Morgen ischter gschmolze.
WS26	Hinder isem Hūs schtahn ḋri {zunächst 'ḋrei', dann 'e' durchgestrichen} scheni Epfelbeimleni mit roetn Epfellenen.
WS27	Chenntier nid nones Raschtli ufìs warten, mr {zunächst 'mier', dann 'ie' durchgestrichen} chemen den o.
WS28	Īr {oben eingefügt:} <(i offen)>  dērft nid selchs chindlichs Zīg trīben.
WS29	Īser <(i geschl.)> Bärge sin nid sefel hej, eüwer sin vīl <(i offen)> hejer.
WS30	Wiemängs Pund Wurscht <(u offen)> u wie{'mangs' durchgestrichen} viel Brot weitr.
WS31	I verschtahn ech nid, ir miesst es bitzi luter prichten.
WS32	Heitīr keis Bi̊tzli <(i̊ offen)> wīssi Seife fi̊r mi uf mim Tisch gfunden ?
WS33	Sin Bruder wollt zwei scheeni ni̊ůwi Hīser buwen in euwem Garten.
WS34	Das Wort ischmu <(u offen)> vo<(n)> Härze<(n)> chon.
WS35	Da hei' s rächt ghäben.
WS36	Was fir Vegelleni sitzen da uehi uf däm Mīrli ?
WS37	D' Bůren hein fīf Oxen, nīn Chie̊ u zwelf Schäfleni vor z' Dorf bracht, die heis wellen verchouffen.
WS38	D' Līt sin hīt alli důssen ufem Fald u {zunächst 'und', dann 'nd' durchgestrichen} mäīen.
WS39	Gang numen, dr brun Hund tuet dr nīt <(ī geschl.)>.
WS40	I bi<(n)> mit den Līten <(i geschl.)> da hindrhi uber z' Land i z' Cho̊ren gfahren.
