---
Bogennummer: '25521'
Ort: Leopoldstal
Gid: 104183
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Arne Milas
Original Anmerkungen: Anmerkung. Das eingekammerte (oa) iſt nur ein Laut wie im hannoverſchen
  "Voater" öä oſt der Umlaut von (oa).
Erstelldatum: 2022-06-19 14:59:26.571873
Änderungsdatum: 2022-06-19 14:59:26.571873
...
WS1	Jn Winder flä͜͡öiget de druigen Bleer in de Luft harüm.
WS2	Et ho͡art {gleich fehlt} up teo ſchnüggen, dann wärt dat Wedder wier better.
WS3	Deo Köhle in den Oben, dat de Melke baule an teo koken fänget.
WS4	De geo aule Mann es mie den Giul dürt Üis broken, un in dat kaule Water fallen.
WS5	Hö͜͡äe es für v(ö͜͡ä)er (eo)er ſes Wekken ſt(o͡a)rben.
WS6	Dat Fuier was teo h(öä)it, de Keoken ſind j(oa) unner gans ſchwart brennt.
WS7	H(öä)e et de Egger jümmer eohne S(oa)lt un Pöpper.
WS8	De Foite deot müi ſeo w(öä)i, ek l(o͡a)iwe, ek hewwe ſ(öä)i dürlaupen.
WS9	Ek ſin büi de Fruwe weſen un hewe et öhr ſeggt, un ſ(öä)i ſeh, ſ(öä)i woll et auk öhr öhr {sic: öhr doppelt} Dochter ſ(öä)ggen.
WS10	Ek will et auk nich meier wier deon.
WS11	Ek ſchloh düi glüik mie den Koklöppel üm de Auern, diu Ape.
WS12	Wo g(öä)ihſt diu hen, ſü wüi mie düi gohn?
WS13	Et ſind ſchlechte Tüin.
WS14	Müin l(öä)w Küind, blüiv hüer unner ſtohn, de {bösen fehlt} G(oa)iſe büit düi daut.
WS15	Diu häſt vandage am meiſten leert, un biſt oarg weſen, diu drafſt froiher na Hius gohn oſse de Annern.
WS16	DIu biſt nau nich graut geneug, üm 'ne Flaske Wüin iut-teo-drinken, diu moſt (öä)rſt nau'n End waſſen un {von hier an zischen die Zeilen geschrieben} gröäter wern.
WS17	Goh, ſüi ſeo geot, un ſäg düiner Süſter, ſe ſoll de Kleier für juwe Modder ferg naiggen un mie de Böſten r(öä)ggen maken.
WS18	Heſt <H[ä]ſt> {Umlautstriche durchgestrichen} diu enne kennt dann w(öä)r et anners kumen, un et d(öä)i better ümme enne ſtohn
WS19	Wer hätt {mir fehlt} müinen Korf mit Fl(öä)isk ſtohlen.
WS20	H(öä)[ē] {e über i geschriben?. Ist der i-Punkt durchgestrichen oder soll der Strich ein Makron sein?} d(öä)i ſeo, (oa)ſſe <oſſe> {Klammern und a nachträglich eingefügt} hedden ſ(öä)e enne teon desken beſtellt, ſ(öä)e hätt et öäwer ſülme[ſt] {ſt oder ß?} dohn.
WS21	Wenn hätt h(öä)e de nügge Geſchichte vertellt.
WS22	Man mot liut ſchr(öä)ggen, ſüs voſt(öä)ith h(öä)e us nich
WS23	Wüi ſind moi un hätt Doſt.
WS24	(Oa)ſſe wüi giſtern {Abend fehlt} truigge k(öä)imen, do l(öä)igen de Annern (oa)ll teo Bedde un wöärn faſte {ab hier zwischen die Zeilen geschrieben} ann ſchlopen.
WS25	De Schn(öä)e es döſſe Nacht büi us lüggen bliben, (öä)wer vanmorn es h(öä)e ſchmolten.
WS26	Achter iuſen Hiuſe ſtoht dr(öä)ē ſchoaine Appelb(oa)imken mie rauhen Äppelken.
WS27	Künn jüi nich nau'n Bitken up us toiben, dann goh wüi mie juch.
WS28	Jüi drüwet nich ſökke Kinnerrügge drüiben.
WS29	Juſe Berge ſind nich ſeo hauch, juwe ſind vell h(öä)chter.
WS30	Wovell Pund Woſt un wovell Braud will jüi häbben.
WS31	Ek voſtoh juch nich, jüi müt 'n <en> {e durchgestrichen, Apostroph als Korrektur} betten hädder kürn.
WS32	Hä jüi <nich> {durchgestrichen} k(öä)in Stückchen <(Bieten)> witte Seipen fo müi up müinen Diske funden.
WS33	Süin Breo[e]r {e schwer lesbar. Darüber e als Korrektur?} will ſeck twöäi ſch(oa)ine nühhe Huiſer in jubben Gorn buiggen.
WS34	Dat W(eo)ert kam enne van Hearten.
WS35	Dat was recht van ſ(öä)e. {in Zeile 37 geschrieben}
WS36	Wat ſit't do für Vügelken boben {zwischen den zeilen eingefügt} up de Muierken? {Steht bei Satz 35}
WS37	De Biuern hätt füif Oſſen un niegen Koige un twalf Schöpchen für dat D(öä)rp br(oa)cht, de wollen ſ(öä)e vokaupen. {Steht bei Satz 36}
WS38	De Lui ſind vandage (oa)lle biuten up den Feile un maigget.
WS39	Goh man, de briune Rüh doit düi niks
WS40	Ek ſin mie den Luin do achter (öä)wer de Wieſe int Kauern fohrt.
