---
Bogennummer: '50214'
Ort: Kossebade
Gid: 117855
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-11-22 15:52:21.179361
Änderungsdatum: 2024-11-22 15:52:21.179361
Satzversion: 1
...
WS1	In'n Winter fleigen de drögen Blärè dörch de Luft rüm.
WS2	Dat hürt gliek up to snid'n, denn ward dat Wäre werre bäre.
WS3	Dau Kahl'n in den Aben, dat dei Melk bald an tau kaken fangt.
WS4	"Dei gaur oll Mann is mit dat Pierd dörch't Is brak'n un in dat kull Warè fall'n. {eigentlich ""follen"", wohl durch die Vorlage beeinflusst}"
WS5	Hei is för vejr {heute: vier} ore söß Wochen dood bläw'n.
WS6	"Dat Füer (wier/was {wier über die ältere Form was geschrieben}) tau heit, dei Kauken sünd jo ünnè ganz ßwart brennt {Verdopplungsstrich bei ""brennt"" in Transliteration aufgelöst}. "
WS7	"Hei ett de {wohl Korrektur aus dei} Eje {heute Eier} ümmè ahn Sult un Päpè(r) r lautet nur sehr wenig {""sehr"" über ""wenig"" ergänzt); u[nd] ganz kurz"
WS8	Dei Fäut dauhn mi sier weih, ick glöw, ick hew sei dörch lop'n.
WS9	"Ik bün bi dei Fru {heute ""Fruuch""} wäst un hew ehr dat segt, un sei sähr, sei wull dat ok ehr Dochter seggen."
WS10	Ick willt ok nich mier werrè dauhn.
WS11	Ick slag di gliek mit den Kākläpel üm dei Uhr'n, du Ap.
WS12	Wo gehst du hen, säl'n wi mit di gahn?
WS13	Dat sünd leeg (slichtè) Tid'n!
WS14	"Mien leiw Kind, bliew hiè(r) ünnè stahn, dei bosen {wohl Schreibfehler, lies ""bösen"") Gäus' biet'n di dood."
WS15	"Du hest hüt am mihrsten lihrt, un büst [wohl korrigiert aus ""bust"") ohrig [Zeichen über ""o"" unbekannt] wäst, du dörfst eihre {heute: ihre} tau Haus {Fehler, wohl auf Vorlage zurückzuführen, müsste ""Hus"" lauten} gahn as dei Anne(r)n."
WS16	"Du büst noch nich groot naug, üm ein Buttel Wien ut to drink'n {korrigiert aus ""drinken""}, du möst eirst {heute: ierst} noch'n En'n wassen un {ergänzt am Rand} grötè ward'n. "
WS17	"Gah, sie (wäs') {heute nur noch ""sie""} so gaut, un seg dien Swestè, sei süll dei Klerè för {wohl aus ""für"" korrigiert} jug Murrè farig ned'n {heute: ""neid'n""} un mit dei Böst reed'n {heute: ""reid'n""} mak'n."
WS18	Harst du em kennt, denn wier't anners kam'n un't deer bärè üm em stahn.
WS19	Weckè hett min'n Korf mit Fleisch stahl'n?
WS20	"Hei dehr so, as har'n sei em tod'n Döschen bestellt, sei hebb'n {heute eher: ""hemm""} dat äwer süllst {auch üblich: ""sülb'm""} dahn"
