---
Bogennummer: '44766'
Ort: Lauffohr
Gid: 18904
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-05-04 18:05:16.529548
Änderungsdatum: 2023-05-05 18:23:07.148765
Satzversion: 1
...
WS1	Im Winter flüge di trochne Blätter i der Luft ume. <(umenand)>
WS2	Es hört gli uf schneie, denn wird s' Wätter wider besser.
WS3	Tue Chole in Ofe, dass d' Milch bald afoht choche.
WS4	De guet alt Ma isch mit em Ross dur s' Is broche und is chalt Wasser gfalle.
WS5	Es isch vor viér oder sächs Wuche gstorbe.
WS6	S' Für isch z starch gsi, d' {'Ku' mit angefangenem 'u' ist durchgestrichen} Chueche sind jo unde ganz schwarz brännt.
WS7	Er isst d' Eier immer ohni Salz und Pfäffer. {Satz steht auf der mit '8' markierten Zeile; '8' ist durchgestrichen und '7' notiert}
WS8	D' Füess tuend mer fest weh, i glaub, i ha si wund gloffe. {Satz steht auf der mit '7' markierten Zeile; '7' ist durchgestrichen und '8' notiert}
WS9	I bi bi der Frau gsi und han er es gsait, und si het gsait, si wells au ihrer Tochter säge.
WS10	I wills au nümme tue.
WS11	I hau der grad de Chelle um d' Ohre, du Aff !
WS12	Wo gosch hi, sel {zunächst 'sell', dann 2.'l' durchgestrichen} i au mit dr cho ?
WS13	Es sind schlächti Zite.
WS14	Liebs Chind, blib do und stoh, di böse Gänse bi̇̄sse di z' tod.
WS15	Du hesch hüt am meiste glērt und bisch brav gsie, du darfsch ehner hei as di {zunächst 'die'. dann 'e' durchgestrichen} andere.
WS16	Du bisch no nig gross gnue zum e Fläsche Wi us ztrinke, du muesch zerst no chli wachse und grösser wärde.
WS17	Gang, bis so guet, und säg dr Schwöschter, si sett d' Chleider für eui Mueter fertig büeze und mit dr Bürste suber mache.
WS18	Hättsch en kennt, denn wärs andersch cho, und es stiénd besser um en.
WS19	Wer hett mer min Chorb mit em Fleisch gstole ?
WS20	Er hett to, wi wenn {Verdoppelungsstrich auf 'n'} s' en zum trösche {zunächst 'drösche', dann 'd' dick mit 't' überschrieben} bstellt hätte; si händ s aber sälber gmacht.
WS21	Wem hett er di neu Gschicht verzellt ?
WS22	Mer mues lut brüele, sust verstoht er is nid.
WS23	Mir sind müed und händ Durscht.
WS24	Wo mer gester zobe zrugg cho sind, sind die andere scho im Bett gsi und hend zümftig pfūset.
WS25	De Schnee ist die Nacht bi eus blibe {zunächst 'die Nacht blibe', dann zwischen 'Nacht' und 'blibe' oben 'bi eus' eingefügt} ligge, aber hütt de Morge isch er vergange.
WS26	Hinder eusem Hus stönd drü schöni Öpfelbäumli mit schöne Öpfeli dra.
WS27	Chönet er nit no nes Augeblickli uf is warte {zunächst 'Augeblickli warte', dann oben im Wortzwischenraum 'uf' und 'is' über 'warte' eingefügt} , denn {zunächst 'dän', dann 'ä' mit 'e' überschrieben und Verdoppelungsstrich auf 'n'}  chöme mer mit ech.
WS28	Ihr {'darf' ist durchgestrichen} dö́fe nid settigi Chindereie tribe.
WS29	Euse Bärge sinnd nit so höch, eui sind vil höcher.
WS30	Wi mängs Pfund Wurst und wivil Brot wänd er ?
WS31	I verston ech nid, ihr müend e chli lǖtter rede.
WS32	Händ er nit es Stückli wissi Seife für mi uf mim Tisch gfunde ?
WS33	Sin Brüder will sech {zunächst 'Sin Brüeder will', dann zwischen 'Brüeder' und 'will' oben 'sech' notiert und mit einem Einfügungsstrich hinter 'will' platziert}  zwöi schöni neui Hüser in euiem Garte boue.
WS34	Das Wort isch em vo Härze cho.
WS35	Daisch schön gsi von ene.
WS36	Was für Vögeli hocke do uf em Mürli obe ?
WS37	D' Bůre {auf 'u' ist ein links offener Kringel} händ feuf Stiere und nün Chüe und zwölf Schöfli vors Dorf bbrōcht, dié händs welle verchaufe {zunächst 'ver' mit einem angefangenen 'k'} .
WS38	D' Lüt sind hütt alli uf em Fäld usse <(n)> und {zunächst 'usse und', dann im Wortzwischenraum oben '(n)' eingefügt} meje.
WS39	Gang nume, de brun Hund macht dr nüt.
WS40	I bi mit de Lüte do hinde über d' Matt is Chorn gfahre.
