---
Bogennummer: '45519'
Ort: Oberrieden
Gid: 15734
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Diese Sätze wurden offensichtli sorgfältig durchgelesen und an vielen
  Stellen sind Korrekturen mit Bleistift gemacht worden. Transkribiert ist jeweils
  die korrigierte Version, aber immer vermerkt, wenn die Korrektur mit Bleistift gemacht
  wurde.}'
Erstelldatum: 2023-10-25 13:00:27.008125
Änderungsdatum: 2023-11-29 19:47:25.434744
Satzversion: 1
...
WS1	Im Winter flüged die trochne Bletter i dr Luft umme.
WS2	Es hört grad uf schneie, dänn wird s' Wätter wider besser.
WS3	Tue Cholle in Ofe, daß d' Milch bald <(gli)> {'(gli)' ist dünn mit Bleistift über 'bald' ergänzt} afangt süde.
WS4	Dä guet alt Ma ischt mit em Roß is {zunächst ''durs', dann durchgestrichen und 'is' mit Bleistift darüber geschrieben} Iis i gsunke {zunächst 'broche', dann mit Bleistift durchgestrichen und ' i gsunke' darüber notiert} und is chalt Wasser inne {zunächst 'un', dann durchgestrichen und 'abe' daneben notiert; schliesslich 'abe' mit Bleistift durchgestrichen und 'inne' darüber notiert} g'falle. 
WS5	Er ischt vor viër oder sächs Wuche gschtorbe {zunächst 'gschorbe', dann 't' oben zwischen 'h' und 'o' eingefügt} .
WS6	S' Für ischt z' starch gsi, d' Kueche sind ja unne ganz verbrännt.
WS7	Er isst d' Eier immer ohni Salz und Pfeffer.
WS8	"D' Füeß tüe mer schüli weh, ich glaube,  i ha Blätz ab {zunächst ""i has durre g'l[o]ffe"" - wobei über 'o' etwas (Akut?) steht und dann wohl durchgestrichen wurde -  dann ist mit Bleistift 's' bei ""has"" und Ausdruck ""durre g'l[o]ffe"" durchgestrichen - und über dem Ganzen  'Blätz ab' notiert} ."
WS9	I bi bi dere Frau gsi {Komma durchgestrichen} und hann er es gseid, und si häd gsaid, si wells au irrer Tochter säge.
WS10	I wills {'au' ist durchgestrichen} nüd wider tue.
WS11	I schla dr grad de Chochlöffel um d' Ohre umme, du {'umme' ist nachträglich oben zwichen 'Ohre, du' eingefügt} Aff !
WS12	Wohi gascht, müe mer mit dr cho ?
WS13	Es sind schlächti Zite !
WS14	Mis liëbs Chind, bliib nu da unn[e] {wohl zunächst 'unna', dann 'a' mit 'e' überschrieben} schtah, suscht tüend dië böse Gäns dich z' tod biisse {am Zeilenende ist aus Platzmangel 'z'tod biisse' über 'Gäns dich' notiert}. 
WS15	Du häscht hütt am meischte gleert {zunächst 'glehrt', dann mit Bleistift 'h' durchgestrichen und 'e' darüber notiert} und bischt brav gsi, du dörfscht hütt {'f' ist durchgestrichen} vor dr andere hei. 
WS16	Du bischt nanig groß gnueg, dass chönntischt e Fläsche Wii ustrinke, du muescht zerscht na e chli wachse u. größer werde {aus Platzmangel ist am Zeilenende 'größer werde' über 'wachse u.' notiert} .
