---
Bogennummer: '13163'
Ort: Schönau
Gid: 140705
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Regina Elisabeth Morgen
Erstelldatum: 2026-01-28 13:51:12.691002
Änderungsdatum: 2026-01-30 12:59:04.162552
Satzversion: 1
...
WS1	In Winner flieg'n de dreig'n Bletter in de Luft rüm̄.
WS2	's härt geleich auf ze schneie, nach werd's Wätter widder schenner.
WS3	Leg' Kuhl'n in Ufen, doß de Millich boll afängt ze kochen.
WS4	D'r olte Kärl <(gute olte Maa)> iß mit'n Pfähr ei gebroch'n <(dorch's Eis gebroch'n)> un ins kolte Wosser gefoll'n.
WS5	'r iß egger <(etwa)> v'r vier odder sechs Woch'n gestorm.
WS6	's Feier wor ze hǟß, de Kug'n sei gu unt'n gonz schworz gebronnt.
WS7	'r ißt de Eier im̄er uhne Solz un Pfäffer. <('r nim̄t im̄er kä Solz u ken̄ Pfäffer zun Eiern.)>
WS8	De Fieß thummer weh, īch geläb, īch hoose dorch geloffen.
WS9	Ich bi bei dr Fräh gewäsn un ha ersch gesaht, un se saht, se wollts ä ihrer Tochter sah <(sog'n)>.
WS10	Ich wärsch <(werde es)> ä net widder thu <(mochen)>.
WS11	Ich schlaa dīch geleich mit'n Kochleffel im de Uhr'n, du Off!
WS12	Wu gist'n hin, sell m'r miet gieh?
WS13	sei schlächte Zeit'n.
WS14	<(“Mein liebes Kind“ kom̄t nicht vor).> hä <(höre)> oder härschte <(hörst du)> Kind blei unt'n stieh', de bies'n Gänz beißen diech tud <(sist. beißen dich de biesen Gänz tud)>.
WS15	De hast heit am mehrschten gelärnt un bist artig gewäst <(un hast gefolgt)>, de därfst heit ehr häm gieh, ols de Annern.
WS16	Du bist noch net gruß sot, kast <(kan̄st)> noch kä Flosch Wei trinken, de mußt erscht noch ä Fänkele <(Fünkchen)> wachsen un gresser wär'n.
