---
Bogennummer: '45818'
Ort: Linden
Gid: 19758
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: Da der Lehrer den Bogen mit Schreibmaschine ausgefüllt hat, habe ich
  versucht möglichst genau zu transkribieren, auch, was die Abstände betrifft. Interessanterweise
  setzt er das Leerzeichen im allgemeinen VOR den Apostroph, und fügt danach das nächste
  Wort ohne Abstand an.
Erstelldatum: 2022-08-18 14:18:16.049117
Änderungsdatum: 2022-08-18 14:18:16.049117
...
WS1	Im Winter flüge di trochene Bletter i der Luft ume.
WS2	Es hört gly uf schneie, de wird ds'Wätter {'s' ist nachträglich manuell eingefügt worden} ume besser.
WS3	Tue Chole i Ofe, dass d 'Miuch  {zunächst 'D', dann mit 'd' übertippt} gly afat choche.
WS4	Der guet aut Ma ist mit em Ross dür d 's Ysch broche u i {zunächst 'id', dann 'd' durchgestrichen} d 's chaut Wasser gheit.
WS5	Er ist vor vier oder sächs Wuche gstorbe.
WS6	Ds Füür ist z 'starch {zunächst 's', dann mit 'z' übertippt}  gsy, d'Chueche sy ja ungefer ganz verbrönnt.
WS7	Er isst d'Eier gäng ohni Sauz u Pfäffer.
WS8	D 'Füess tüe mer hert weh, i glube, i hig se düreglüffe.
WS9	I bi bi der {das 2.'bi' ist nachträglich zwischen 1.'bi' und 'der' manuell oben eingefügt} Frau gsy u han er es gsit, u sie het gsit, sie w[ö]us {zunächst wohl 'wäus', dann 'ä' mit 'ö' übertippt} o ihrer Tochter säge.
WS10	I wiu 's o nimme mache.
WS11	I houe dr mit der Cheue um d 'Ohre, du Aff.
WS12	Wo giischt hi, söue {'e' ist manuell geschrieben}  mer mit dr cho ?
WS13	Es sy schlächti Zyte.
WS14	Mys liebe Ching, blyb hie nide stah, die böse Gäns bysse di z 'tod.
WS15	Du hescht hüt am meste glehrt {zunächst 'glert' getippt, dann zwischen 'e' und 'r' manuell oben 'h' eingefügt} u bist artig gsy, du darst ehnder hii weder die angere {bei 'e angere' drückt der Nummernstempel von der Rückseite durch, das Getippte ist aber erkennbar} .
WS16	Du bist no nid gross gnue, für ne Fläsche Wy ustreiche, du muescht zerst no ne chly wachse u gröser wärde.
WS17	Gang, bis so guet u säg dir Schwester, si söu d' Chliider für eui Mueter fertig näie u mit der Bürste putze.
WS18	Hättist du ne gkennt ! de wär 's angers cho, u de würds besser um ihn stah.
WS19	Wär het mir mi Chorb mit Fleisch gstohle ?
WS20	Er het ta, wie we sie ne zum Drösche bsteut hätte, sie his {zunächst 'hiis', dann 2.'i' manuell durchgestrichen} aber säuber gmacht.
WS21	Wäm het er die neui Gschicht erzeut ?
WS22	Me mues lut brüele, süst versti[h]t {zunächst 'verstiitt', dann 2.'i' manuell durchgestrichen; ausserdem 'h' manuell über vorher getippten Buchstaben (t ?) geschrieben} er üs nid.
WS23	Mir si müed u hi {zunäch 'hii', dann 2.'i' manuell durchgestrichen} Durst.
WS24	Wo mer gester z 'abe zrugg cho sy, da sy di angere scho im Bett gsy u hi {zunächst 'hii', dann 2.'i' manuell durchgestrichen} fest gschlafe.
WS25	Dr Schnee ist letzti Nacht blybe lige, aber hüt am Morge ist er vergange.
WS26	Hinger üsem Hus stah drü schöni Oepfubüümli {unter dem 2.'ü' wurde versehentlich zunächst '§' getippt}  mit rote n Oepfeli {bei 'O' wurde zunächst versehentlich '+' getippt} .
WS27	Chüt er {zunächst 'dr', denn 'd' mit 'e' übertippt}  nid no n es Ugeblickli uf is warte, mir chöme {die Punkte auf 'o' sind wohl manuell gesetzt}  de nachär mitech.
WS28	Dir dörft nid settegi Chindereie trybe.
WS29	Ueser Berge si nid sehr höch, öier si viu höcher.
WS30	Wie mängs Pfung Wurst {zunächst 'Wue', dann 'e' mit 'r' übertippt und ergänzt zu 'Wurst'}  u wie mängs Brot wiiter ?
WS31	I verstah n ech nid, dihr müesst e chly lüter rede.
WS32	Hit {zunächst 'Hiit', dann 2.'i' manuell durchgestrichen} ihr kes Stückli Siife für mi uf mim Tisch gfunge ?
WS33	Sy Brueder wot für sich zwü schöni neui Hüser i euem Garte boue {zunächt 'Boue', dann 'B' manuell mit 'b' überschrieben} .
WS34	Das Wort ist ihm vo Härze cho.
WS35	Das ist rächt gsy vonne.
WS36	Was hocke da für Vögeli uf em Müürli obe ?
WS37	Die Bure hi {zunächst 'hii', dann 2.'i' manuell durchgetrichen} föif Ochse u nün Chüe u zwöuf Schäfli vor ds ' Dorf use b 'bracht, die hi sie wöue verchuufe.
WS38	D 'Lüt si hüt aui uf em Fäud uss u mäije.
WS39	Gang nume. dr brun Hung tuet dr nüt.
WS40	I bi mit de Lüte da hinger uber d 'Matte i ds ' Chorn gfahre.  
