---
Bogennummer: '44554'
Ort: Illhart
Gid: 16468
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-07-27 12:11:45.438767
Änderungsdatum: 2025-08-02 14:59:41.592268
Satzversion: 1
...
WS1	Im Wėnter flüüged di trochne Blätter i de Loft ume.
WS2	S' hört gli uf schneie, s' Wätter wörd wieder besser.
WS3	Tue Chole in Ofe, dass d' Milech gli afangt süde.
WS4	De guet alt Maa ischt mit em Ross im Is ibroche [o]nd {der Lehrer schreibt '|uͦnd' - zunächst 'und' dann 'o' über 'u' gesetzt} is chalt 'Wasser ïe gheit. 
WS5	Er ischt {zunächst 'ist', dann 't' mit 'c' überschrieben} vor vier oder sächs Woche gstorbe.
WS6	S' Füür isch z' starch gsi, drom ischt de Chueche {zunächst 'Chuche', dann 'e' oben zwischen 'u' und 'c' eingefügt} abrännt.
WS7	Er isst d' Eier al ohni Salz und Pfäffer.
WS8	D' Füess tönd mer so weh, i glaube, i ha si dorloffe.
WS9	I bi bi de Frau gsi ond haneres gseit, ond {zunächst 'und', dann 'u' eingeklammert und 'o' darüber gesetzt: '(uͦ)nd '} si hät gseit, si wells au {über 'a' ist - zur Unterscheidung von 'n' ein links offener Kringel gesetzt ?} ere Töchter säge.
WS10	I wills au nüme tue.
WS11	I schlag ter {zwischen 'schlag' und 'ter' ist nur ein kleiner Abstand} grad de Chochlöffel om t' Ohre, du Aff.
WS12	Wo goscht du ane, söl i au mitcho ?
WS13	S' send schlächti Ziéte !
WS14	Mi lieb Chi[n]d {zunächst ein anderer Buchstabe, dann mit 'n' überschrieben}, blib do une stoh, die böse Gens bissed di z' tot.
WS15	Du häscht hüt am meischte glehrt ond {zunächst 'u', dann mit 'o' überschrieben} bischt brav gsi, du darscht früener hei goh als di andere.
WS16	Du bischt no z' chli um e Fläsche Wi usztrinke, muescht zerscht no e chli wachse ond grösser si.
WS17	Gang, ond bi so guet ond säg dinner Schwöschter, si söll Kleider för euri Muetter fertig neie ond mit de Börschte suber mache
WS18	Hetschen du kännt, dänn wär's andersch cho, ond es ständ besser mit‿em.
WS19	Wär hät mer de Chorb mit em Fleisch  g stole {kleiner Abstand zwischen 'g' und 's'}.
WS20	Er hät e so tue, als {zunächst 'hattet', dann 'a' mit 'e' überschrieben, dann ganzes Wort eingeklammert, weil Satz anders formuliert wurde} öbs en zom Drösche bschtellt hetted, si hänts abr sälber tue.
WS21	Wemm hät er die neu Gschicht verzellt ?
WS22	Me muess lut brüele, soscht verschtot er üs nöd.
WS23	Mer send müed ond händ Dorscht.
WS24	Wo mer gescht z' Obed hacho send, do send di ane scho im Bett gsi ond händ fescht gschlofe.
WS25	De Schnee ischt bi üs die Nacht ligge blebe, aber hüt e Morge ischt r {zunächst 'er', dann 'e' durchgestrichen} e wägg gsi.
WS26	Hender üsem Hus schtönd drei schöni Öpfelböm mit rote Öpfeli.
WS27	Chönd er net {zunächst 'nöd', dann eingeklammert und darüber 'net' notiert} no e chli warte, mer ch[ö]med {unklar, was wohin korrigiert wurde} denn mit i. {Satz ist auf Zeile 28 notiert und dann mit einem Pfeil der richtigen Zeile 27 zugeordnet}
WS28	Ehr törfed {zunächst 'dörfet', dann vorne und hinten korrigiert} nöd d[ä]rig {unklar, was wohin korrigiert wurde} Chindereie tri<(e)>be.  {Satz ist auf Zeile 27 notiert und dann mit einem Pfeil der richtigen Zeile 28 zugeordnet}
WS29	Üsi Bärg send net so hoch, euri send vil höcher.
WS30	Wie vil Pfond Wörscht ond wie vil Brot müend er ha ?
WS31	I verstand i ned, ehr müend e bizeli lüter rede.
WS32	Händ er ka Stückli wissi Sapfe för mi uf mim Tisch gfonde ?
WS33	Sin Brüeder will i euem Garte zwa schöni neui Hüser baue.
WS34	Da Wort ischt‿em vo Herze cho !
WS35	Da ischt rächt gsi vo ehne !
WS36	Wa för Vögeli hocked do obe ŭf em Mürli.
WS37	Die {'(Bu)' Wort angefangen, abgebrochen und Anfang eingeklammert} Puure händ füf Stier ond nü Chüe ond zwölf Schöfli vors Dorf brocht om si z verchaufe.
WS38	D' Lüt send hüt alli dosse ufem Feld ond mähjed.
WS39	Gang no, de bru Hond tuet dr nünt.
WS40	I bi mit de Lüt do hene über d' Wes is Chorn gfahre. -
