---
Bogennummer: '44968'
Ort: Kölliken
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:53.697361'
...
WS28	dìr dö̀rfet nìt sèttigi chìndereie triibe.
WS29	öisi bäärge sìnd nìd əso hȫȫch, öiji sìnd vìuw hööcher.
WS30	wì mängs pfùnd wùùrscht ùnd wìvìu broot wändər ?
WS31	i verstòònəch nìd (nììd), dìr müend əchli lüüter rède.
WS32	"händər kès (əkèis) stǜckli wiissi seiffe fǜr mee [in rot Akzente gesetzt: ""mēē""] ùf mim tìsch gfùnde ?"
WS33	"si büeder wòtt səch zwö̀i schööni nȫiji hüüser ì ȫijem gaarte bouwwe [in rot Akzente gesetzt ""gāārte bōuwwe""]."
WS34	das woort ìschəm vò häärze choo.
WS35	das ìsch rächt gsii vònənə.
WS36	was hòcke dòò fǜr vö̀geli ùfem müürli òbe ?
WS37	d' puure händ fȫif stieren ùnd nüün chüe ùnd zwö̀wf schö̀ö̀fli vòrs doorf pròòcht, die händ si wö̀uwwe verchòuffe.
WS38	d' lüüt sìnd hǜtt auwwi dùss ùfəm fäuwd ùnd tüend määije.
WS39	gang nùme, də bruun hùnd tuet dər nüüt.
WS40	i bì mìt də lüüte dò hìnden ǜber d' matten ìs chòrn gfaare.
