---
Bogennummer: '45104'
Ort: Halten
Gid: 17044
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der Lehrer schreibt ''W'' etwas seltsam; das sieht man auch auf der
  Rückseite: Vorname = Wilhelm Geburtsort = Welschenrohr - hier: Sätze 1, 4, 5, 19,
  21, 24, 30, 34, 36. Aber auch andere Anfangsbuchstaben werden manchmal etwas speziell
  notiert: ''E'', ''F'', ''H'', ''S''.}'
Erstelldatum: 2024-02-24 20:00:58.353635
Änderungsdatum: 2024-03-06 16:20:38.718532
Satzversion: 1
...
WS1	Im Winter flüge die trochne Bletter i der Luft ume.
WS2	Es hört gly uf schneie, de wird s' Wätter wieder besser.
WS3	Tue Chohle i Ofe, ass d' Milch bald afot choche.
WS4	Dr guet, alt Ma isch mitem Ross durs Ysch {zunächst 'Isch', dann 'Y' vor 'I' geschrieben} broche und is chalte Wasser gheit.
WS5	Er isch vor vier oder sächs Wuche gschtorbe.
WS6	s' Füür isch z' schtark gsi, d' Kuchen si jo ungernoche ganz verbr[ö]nnt  {möglicherweise zunächst mit 'a' und dann daraus 'o' korrigiert und Trema ergänzt ?}.
WS7	Er isst d' Eier {'immer' ist durchgestrichen} gäng ohni Salz und Pfäffer.
WS8	D' [F]üess {Anfangsbuchstabe unterscheidet sich stark vom 'F' in Satz 6, hat aber Unterlänge mit einem Bogen - anders als in 'fescht'}  tüe mer fescht weh, i glaube, i heig' se düregloffe.
WS9	I bi bi d[r] {wohl zunächst 'der', dann mit 'dr' überschrieben und damit ursprüngliches 'r' durchgestrichen} Frau {Anfangsbuchstabe wieder wie in Satz 8}  gsi und han-e-res gseit, und si {zunächst 'sie', dann 'e' durchgestrichen} het gseit, si wells ihrem Mäitschi au säge.
WS10	I wills au nümme me mache.
WS11	I schlo dr grad mit em Kochlöffel um d' Ohre ume, du Aff.
WS12	Wo gosch hy, selle mer au miter cho.
WS13	Es sy schlächti Zyte.
WS14	Mys liebe Ching {zunächst 'Chind', dann 'd' mit 'g' überschrieben}, blieb do niede stoh; die böse Gäns bysse di z' tot.
WS15	Du hesch hüt am meischte glert {zunächst 'glehrt', dann 'h' durchgestrichen} und bisch brav gsi; du darfsch ehnder heigo ass die angere.
WS16	Du bisch no ni <(fertig)> gross gnue, um ne Fläsche Wy usztrinke, du muesch zersch no chly wachse und grösser wärde.
WS17	Gang, bisch so guet und säg dyner Schweschter, sy sell d' Kleider für eui Mueter fertig nähie und mit dr Bürste suber mache. 
WS18	Hätsch du ne könnt; denn wär alles angersch cho, und es tät besser um ne stoh.
WS19	Wär het mer my Chorb mit Fleisch gschtohle.
WS20	Är het dr glyche to, sy heigene zum Drösche bschtellt, sy hei 's aber sälber gmacht.
WS21	Wäm het'r die neui Gschicht verzellt ?
WS22	Me muess luut hoope, süsch verschteiht er is nit.
WS23	Mir sy müed und hey Durscht.
WS24	Wo mer geschter z' Obe z'rugg cho sy, do sy die angere scho im Bett gläge und sy fescht am Schlofe gsy.
WS25	Dr Schnee isch die Nacht bi üs blybe; aber hüt de Morge isch er vergange.
WS26	Hinger üsem {zunächst 'eusem', dann 'eu' mit 'ü' überschrieben} Huus schtöh drü schöni Öpfelbäumli mit rote Öpfeli.
WS27	Chönnter nit {zunächst 'nid', dann 'd' mit 't' überschrieben} no nes Augeblickli uf is warte, de göh mer {zunächst 'göhmer', dann mit senkrechtem Strich zwischen 'h' und 'm' getrennt} <de chöme mer> mit ech {auf der Schreibzeile steht 'de göh mer mit ech'  unter 'de göh mer' steht 'de chöme mer' und ist mit einem Strich vor 'mit' eingefügt}.
WS28	Dir dörfet nit settigi Chindereie trybe.
WS29	Üsi Bärge si nit so höch; eui sy vill höcher.
WS30	Wiè mängs Pfung Wurscht und wie vill Brot weit er ha.
WS31	I verschtoh nech nit, dir müesst e chly lüter rede.
WS32	Heiter keis Bitzli wyssi Seipfe für my uf mym Tisch gfunge.
WS33	Sy Bruader wott sich zweu schöni neui Hüüser i euem Garte boue.
WS34	Da̱s Wort isch em vo Härze cho.
WS35	Das isch rächt gsy vo dene.
WS36	Was hocke do für Vögeli uf em Mürli obe.
WS37	D' Buure hei feuif {'Sti' ist doppelt durchgestrichen} Schtière und nüün Chüeh und zwölf Schööfli vors Dorf brocht; die hei sy welle verchoufe.
WS38	D' Lüüt sy hüt alli uf em Fäld usse und tüe mäihe.
WS39	Gang nůmme, d'r bruun Hung macht d'r nüt.
WS40	I bi mit dene Lüüt do hinger über d' Matte is Chorn gfahre.
