---
Bogennummer: '44720'
Ort: Münchwilen
Gid: 15670
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Auch in diesem Bogen wurde mit rotem Farbstift korrigiert; die Korrekturen
  stehen jeweils am linken bzw, rechten Blattrand. Die Version des Lehrers ist transkribiert;
  die nachträglichen Korrekturen mit dem Rotstift werden in geschweifter Klammer mit
  "2.Hand: ... " vermerkt.}'
Erstelldatum: 2024-07-14 15:37:30.656996
Änderungsdatum: 2024-09-11 16:06:17.527268
Satzversion: 1
...
WS1	Im Wi̇̀nter flüüge die tròchne {'t' ist ganz dünn rot unterstrichen} Blètter i der Lùft ùme.
WS2	Es hö́rt grad úf schnèie {'è' hat einen ganz dünnen Akut und ist ganz dünn rot unterstrichen}, derno wérd 's Wätter wéder {Akut ist fast unsichtbar} bèsser
WS3	Tue Chóóle i Ofe, as d' Mi̇̀lch bald afangt choche !
WS4	De guet alt Maa isch mi̇̀t de Rosse durs Iis bròche und is chalt Wasser gfalle.
WS5	Er isch vor vier oder sächs Wóche gschtórbe.
WS6	'S Füür isch z schtark {bei 'sch' rumkorrigiert} gsi, d' Chueche si̇̀nd jo ùnde ganz schwarz brännt
WS7	Er isst d' Eͣ̈ier allewiil oni  Salz und Pfäffer
WS8	D' Füess tüend mer è so wéé, i glaͣ̈ub i ha s dóór glaͣufe {über dem hoch gestellten 'a' ist ein unklares diakritisches Zeichen, sieht aus wie 'v'} 
WS9	I bi̇̀ bi̇̀ der Fraͣ̈u gsii und han er es gseiṯ und si hèd gseiṯ {in beiden 'gseit' ist 't' dünn unterstrichen}, si wèll 's éhrer Tochter säage.
WS10	I wi̇̀ll 's ä nǜmm tue
WS11	I schla̱ {'a' ist ganz dünn unterstrichen} der grad mi̇̀t em Chochlöffel um d' Óhre du Aff !
WS12	Wo gosch héé, müen mer mi̇̀t der cho ?
WS13	'S si̇̀nd schlächti Zite.
WS14	Mi lieb Chi̇̀nd, bliib do ùnde stoo, die böse Gäns biisse di z Tód !
WS15	Du hèsch hǜt am meiste {2.Hand: 1.'e'  rot unterstrichen und am linken Seitenrand stehen ein rotes und ein schwarzes Fragezeichen} gléért ùnd bisch artig gsi, du darfsch éhner heͣ̈i as di andere
WS16	Du bisch no id gróss gnueg zuenere Fläsche Wii usztri̇̀nke, du muesch zérscht no ne chleͣ̈i wachse und grösser wärde
WS17	Gang, bis so guet und säg i der Schwöschter, si sell d' Chleͣ̈ider f[ü]r {unklar, was genau über 'u' steht} öii̇̀ Mueter fertig näie ùnd mi̇̀t der Bürschte suuber mache
WS18	Hättsch n kännt, derno wär 's andersch cho ùnd s' stiend {2.Hand: 's' rot unterstrichen und am linken Blattrand rot 'sch' notiert} besser mi̇̀t i̇̀m.
WS19	Wer hèd mèr {zunächst 'mér', dann dick Gravis über Akut} mii {zunächst 'miin', dann 'n' durchgestrichen} Chorb mi̇̀t Fläisch {zunächst 'Fleisch' ?} gschtóóle ?
WS20	Er hèd e so tue {2.Hand: 't' mit rotem 'd' überschrieben}, wie wänn si i̇̀n zum Drö̀sche bschtèllt hätte {'ä' ist ganz dünn unterstrichen - ?}, si händ 's aber sälber tue {2.Hand: 't' rot mit 'd' überschrieben}
WS21	I wemm hèd er die nöi Gschi̇̀cht verzellt ?
WS22	Me muess lut schrèie, soscht verstod er is id.
WS23	Mi̇̀r si̇̀nd müed ùnd händ Dorscht.
WS24	Wo mi̇̀r gschter zobe zruck cho si̇̀nd, do si̇̀nd die andere scho im Bètt gsi und händ fescht gschloofe
WS25	De Schnéé isch die letscht Nacht bi öis bliibe li̇̀gge, aber hǜt e morge isch er gschmólze.
WS26	Hìnder öisem Huus stö̀nd drǘ schöni Ö̀pfelbaͦ̈u̇mli mit róte Öpfle.
WS27	Chö̀nd ér id none Aͣ̈ugeblickli óf is warte, derno gönd mer mit.
WS28	Er dörfed id dèrige Chénderèie triibe {2.Hand: 't' ist rot unterstrichen; hinter dem Wort steht ein rotes Fragezeichen}.
WS29	si {2.Hand: 'öi' ist rotem Farbstift ergänzt; 'ö' ist ganz dünn unterstrichen} Bärg si̇̀nd id e so höch, öie si̇̀nd vi̇̀ll höcher.
WS30	Wie mäng {hinter 'g' ist unter der Schreiblinie ein Bleistiftstrich} Pfùnd Worscht und wie vė̀l {zunächst wohl 'vil', dann 'i' mit 'e' überschrieben, i-Punkt bleibt, Akut ergänzt}   Brót wänd er haa ?
WS31	I verstand éch id, ér müend e chläi luter schwätze.
WS32	Händ er keͣ̈i Stǜckli {2.Hand: 'S' rot unterstrichen und am linken Rand rot 'sch' notiert} wiissi Seͣ̈ipfi für mee of miim Tisch {2.Hand: 'T' rot unterstrichen und am rechten Blattrand rot '?' notiert} gfùnde ?
WS33	Sii Brüeder will si zöi {2.Hand: rot 'w' zwischen 'z' und 'ö'  eingefügt} schö́ni {mit dünnem i-Punkt, vielleicht zunächst 'schöne' und daraus 'schöni' gemacht} nöie Hǘǘser in öie Garte boue.
WS34	Da Wóórt isch em vom Härze cho
WS35	Da i̇̀sch rächt gsi von ène.
WS36	Wa si̇̀tze dó für Vö̀geli of dene Müürlene ?
WS37	D' Búúre händ föif Stiere {2.Hand: 'S' rot unterstrichen und am linken Blattrand rot 'sch' notiert} und nüün Chüe und zwölf Schö̀ö̀fli  vor 's Dóórf bròcht, die händ si welle verchaufe.
WS38	D' Lüt si̇̀nd hǜt alli̇̀ dóss[u]f em Fäld.
WS39	Gang ume de̱ {'e' ist ganz dünn unterstrichen} brúún Hónd tuet {2.Hand: 't'  rot mit 'd' überschrieben} di̇̀r {zunächst 'di̇̀er'} nüt.
WS40	I bi mit de Lüte do hi̇̀nde ǜber d' Matte is Chòrn gfaare.
