---
Bogennummer: '44628'
Ort: Mettlen
Gid: 19548
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2025-09-30 14:31:30.807483
Änderungsdatum: 2025-10-02 17:29:40.712738
Satzversion: 1
...
WS1	Jm Winter flüged di türre Bletter i der Loft ome.
WS2	Es hört gad uf schneie, denn werd 's Wätter wider besser.
WS3	Tue Chole n in Ofe, daß d' Milch bald süüdt.
WS4	Dä guet alt Ma ist mit em Roß im Jis iibroche und is <i das> chalt Wasser g'fale <gheit)>.
WS5	Er ischt vor vier oder sechs Wuche g'storbe.
WS6	Es ischt z' fescht gfüüret gsi, d' Chueche <(d' Tüle)>  sind jo une ganz verbrennt.
WS7	Er ißt d' Eier immer <(all)> ohni Salz und Pfeffer.
WS8	D' Füeß tommer elend <(choge, cheibe, sieche)> weh, i glaub i ha off. <(Bloottere)>  <[off = offen, wund]>
WS9	J bi bi der Frau gsi und han er es gsaat, und si hät gsaat, si wölls o erer Töchter säge.
WS10	J will 's o nüme tue <(too)>.
WS11	J hau der gad de Chele um d' Ohre n omo {oder 'ome' mit einem seltsamen 'e' am Wortende ?}, du Aff !
WS12	Wo gohst ane <(wo ane gohst)>, söled mer mit ?
WS13	's sind schlechti Ziite.
WS14	<(Lieb's)> Chind, blib do une stoh, die wüeschte <(böse)> Gens {zunächst 'Gans'} bißed di tod {zunächst 'tot'} <(mached di hee)>.
WS15	Du häscht hüt am meischte g'lehrt und bischt brav gsi, du tarscht <(tarfscht)> früener ham <(haa)> als dia andere.
WS16	Du bischt no nöd groß gnueg zom e Fläsche Wi ustringge, du muescht z erst no e chli wachse und größer werde.
WS17	Gang bis so guet und säg diner Schwöschter, si sell d' Kleider för eueri Muetter fertig näje <(büeze)> und mit der Böörschte butze.
WS18	Wänn d' en no g'kennt hettscht ! Denn wär's anderscht use cho, und es steend {1.'e' ist über anderen Buchstaben geschrieben} besser mit em.
WS19	Wär hät mer min Chorb mit Fleisch g'stole ?
WS20	Er hät tue <(too)> als hetteds en zom Trösche b'schtellt, si hand's <(händ's)> aber selber tue <(too)>. 
WS21	Wemm hät er die neu gschicht verzellt ?
WS22	Me mues luut chreie <(brüele)>, söß verschtoht er is nöd.
WS23	Mer send müed ond hand <(händ)> Toorscht.
WS24	Wo mer gescht <(geschter)> z' obed zrugg cho send, send di {zunächst 'die'} andere scho im Bett gsi <(gläge)> und hand <(händ)> fescht gschloofe.
WS25	De Schnee ischt die Nacht bi üüs liege blibe, aber dä Morge n ischt er vergange.
WS26	Hender üsem Huus stond <(stönd)> drü schöni Öpfelbömmli mit rote n Öpfeli.
WS27	Chönd er nöd no e chli uf üs warte, denn chömed <(chomed)> mer met.
WS28	Er törfed ka sonig Chindereie <(Tommheite, Chalbereie)>  triibe <(mache)>.
WS29	Üseri Berg send nöd gad hoch; eueri send vill höcher.
WS30	Wevil Pfond Woorscht ond wevil Brot wend er ha ?
WS31	J verschtond i nöd, er mond <(mönd)>  e chli luuter rede <(schwätze)>.
WS32	Hand <(händ)> er ka <(nöd e)> Stüggli wiißi Saapfe {zunächst 'Sapfe', dann 2.'a' oben zwischen 'a' und 'p' eingefügt} <(Seife)> för mi of em Tisch g'fonde ?
WS33	Sin Brüeder will <(sich)> zwaa schöni neui Hüüser i eem Garte boue.
WS34	Da <(Das)> Wort ischt em vo Herze cho.
WS35	Da ischt recht gsi von ene.
WS36	Wa setzed <(hocked)> do für Vögeli uf em Müürli obe ?
WS37	Buure hand <(händ)> füüf Schtier ond nüü Chüe ond zwölf Schööfli vors Dorf brocht, die hand <(händ)> s wöle verchaufe. 
WS38	D' Lüüt send hüt ali duß uf em Feld ond mäjed.
WS39	Gang no, de <[= der]> <(dä [= dieser])>  bruu Hund tuet <(tot)> der nüüt <(nünt)>.
WS40	J bi met de Lüüte do hene öber d' Wes i d' Frocht g'fahre.
