---
Bogennummer: '45486'
Ort: Mogelsberg
Sprache: ''
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz Excel Import
Transliterent: ''
Anmerkungen: ''
Erstelldatum: '2024-04-15 09:49:51.872285'
...
WS1	"Im Winter flüged die trochne Bletter i der Luft omme ( ommenand [oder \""ummenand\""?] )"
WS2	Es hört bald off schneie, denn wird 's Wetter wieder besser.
WS3	Tue Chole in Ofe, dass d' Milch bald afangt choche.
WS4	de guet alt Ma ist mit de Rosse dörs Iis breoche und i 's chalt Wasser g' falle.
WS5	Er ist vor vier oder sechs Woche g' storbe.
WS6	's Füür ist z' starch gsiih, d. Chueche sind ja one dra ganz verbrennt.
WS7	Er isst d' Eier allewil ohni Salz und Pfeffer,
WS8	D' Füess tüemer schüli weh, i' glaube, i' has dör g' laufe.
WS9	"I' bi bi  dä [zunächst \""där\"", dann 'r' gestrichen]  Frau g' siih und han er es gsät, und si het gsät, si wölls au ihrem Mätli säge."
WS10	I' wills au nümm tue.
WS11	"I' hau der  äs [zunächst \""e?s\"", dann 'e' gestrichen und dick 'ä' getippt]  mit em Chochlöffel  om [zunächst \""um\""?]  d' Ohre  omme [zunächst \""umme\""?], du Aff."
WS12	Wo gohst he, sölled mer mit der goh ( cho ) ?
WS13	's sind schlächti Zitte.
WS14	"Liebs Chind, blib do  one [zunächst \""onde\"", dann 'd' gestrichen]  stoh, di böse Gäns biissed di 'tod."
WS15	"Du hest hüt am meiste g' lernt, und bist aständig gsih, du darst früener hä goh als die  andere [\""Andere\""?]."
WS16	"Du bist no nöd gross gnueg, zum 'e  [\""ne\"" gestrichen]  Fläsche Wie ustrinke, du muest zerst no e bitzli wachse und grösser werde."
WS17	"Gang, bis so guet und säg  dinner [zunächst \""dinnere\"", dann Schluss-e gestrichen; Verdoppelungsstrich auf 'n']  Schwöster, sie söll d' Chleider för d' Mueter fertig nähje und mit de Börste botze."
WS18	"Hettest du  enn [zunächst \""inn\"", 'i' mit 'e' übertippt]  g' kennt [zunächst \""chennt\"", dann 'k'  manuell über 'ch'] !  dänn wärs anderst use cho, und dänn stiends besser um en."
WS19	Wer het mer min Chorb mit Fleisch g' stole ?
