---
Bogennummer: 04991
Ort: Nietków
Gid: 531225
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Nele Rahn
Erstelldatum: 2025-09-23 16:33:11.056156
Änderungsdatum: 2025-09-23 16:33:11.056156
Satzversion: 1
...
WS1	In Wü͜inter flieg'n de tro͜igen Blätter durch de Luft rümm.
WS2	's hürrt gla͜i uff ze schna͜in, do wird's Woater wieder besser.
WS3	Thu Kohl'n in Uf'n, do̊͜aß de Milch bāle ō͜afängt ze ko̊͜achen.
WS4	Derr guhde ahlde Mo͜ahn iss mit'm Fa͜arde durch's A͜is gebro͜ach'n un in's kahle Wo͜asser gefo͜all'n.
WS5	Ah iss verr vier oder sechs Wo͜uchen gesto͜urb'n.
WS6	's Foier wo͜ahr ze heeß, de Kůchen sa͜in ju hunten ganz schwo͜arz gebrannt.
WS7	Ah ißt de E͜eer immer ohne Sa͜hlz un Faffer.
WS8	De Beene thun mere siehre wieh, ich gleebe, ich ho͜ah se durchgeloof'n.
WS9	Ich bie bei derr Froh gewahst un ho͜ah's irr geso͜iht, un se so͜ihte, se wullt's o ihrer Tochter so͜ihn.
WS10	Ich will's o nimmich wieder thun.
WS11	Ich schlo͜ih dich gla͜i mit'n Koochleffel imm de Uhren, du O͜affe!
WS12	Wuh giehst de hihn, sell'n berr mitt derr giehn?
WS13	's sa͜in schlechte Zait'n!
WS14	Ma͜i liebes Kü͜ind, bla͜ib hie hunten stiehn, de biesen Gänse beiß'n dieh tuhdt.
WS15	Du ho͜ast ho͜ite am mehrschten gelernt un bist o͜ahrtig gewahst, du do͜arfst rischer heem giehn, wie de Andern.
WS16	Du bist no̊͜a ne gru͜uß genug, üm anne Flo̊asche Wa͜in āszetrinken, du musst erscht no̊͜a En̆de wachsen un grüsser wa͜ar'n.
WS17	Gieh, bies su gutt un soi da͜iner Schwaster, sie so͜all de Kle͜eder ferr o͜ire Mutter fertig n̆ähn un mitt deer Bürschte reene mach'n.
WS18	Häst'n gekannt! do wärsch andersch gekomm'n, und's thät besser üm'n stiehn.
WS19	Wa͜ar ho͜att merr ma͜in'n Korb mitt Fle͜esch gestohl'n.
WS20	Ah tho͜at su, als hätten s'n zümm Dräschen bestellt; se ho͜ahn's aber selber gethon.
WS21	Wahm ho͜att ah de no͜in Geschichte erzahlt?
