---
Bogennummer: '23053'
Ort: Eigen
Gid: 544047
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Marc Real (real@bergischplatt.de)
Original Anmerkungen: '[Seite 2]

  Schulort: Eigen

  Kreis etc.: Recklinghausen

  Regierungs-Bezirk: Münster

  Staat: Preussen

  Name des Lehrers Heinrich Holtköster

  Geburtsort des Lehrers Westbevern

  im Reg.-Bezirk etc., Staat Kreis und Regierungsbezirk Münster Preussen

  […]

  1. Geschah die Uebersetzung durch Schüler […][.]

  2. Lautet in dem in Ihrer Schulgemeinde ortsüblichen Dialekte das g im Anfange der
  Wörter (z. B. in den mundartlichen Wörtern für gut, geben, groß, graben, glauben,
  glücklich) […] wie leises ch […][.]

  3. […] g in Kugel, Augen, fragen und [] g in Kegel, kriegen, biegen, zeigen [] sind
  […] sämmtlich in der Aussprache fast gleich[.]

  4. Lautet st, sp in den mundartlichen Wörtern für Stall, stellen, sprechen, Spiel
  etc. […] wie ßt-, ßp- [.]

  5. Ist sch in den mundartlichen Wörtern für fischen, waschen, Flasche etc. ein einziger
  Laut [...][.]

  6. Wird das r in roth, rund etc. mit der Zungenspitze […] gebildet[.]

  7. Unterscheiden die Schüler von selbst oder erst, nachdem sie ausdrücklich darauf
  aufmerksam gemacht worden sind, folgende Laute:

  a. g und ch in zeigen und Zeichen, […] nein[.]

  b. s und ß in reisen und reißen, […] nein[.]

  c. dr und tr in drehen, drüber und treten, trauen, […] nein[.]

  d. gr und kr in Greis und Kreis, […] nein[.]

  8. Sind in Ihrem Schulorte Nichtdeutsche (Dänen, Polen, Litthauer etc.) in grösserer
  Zahl ansässig? […] nein

  9. Haben die Einwohner Ihres Schulortes noch eine ausgeprägte Volkstracht?

  a) die Männer? b) nein die Frauen? nein

  10. Wie lautet der Name des Schulorts in dortiger Mundart? und zwar:

  a) alleinstehend =  Egen

  b) in dem Satze: er wohnt in …. = up en Egen'
Erstelldatum: 2022-09-02 08:32:14.245091
Änderungsdatum: 2022-09-02 08:35:59.115793
...
WS1	Em Wenter fleigt de dröge Blah dür de Loch herüm.
WS2	Et hört glicks op de schneen, dann wot dat Weer wier bätter.
WS3	Dau Kuahlen en denn Podomp, dät de Melk bold an de kocken fängt.
WS4	De gode aule Mann es met dat Perd dürt Is gebrauken un en dat kaule Waater gefallen.
WS5	He es vö ver oder ses Wäcken gestorwen.
WS6	Det Für waß de hehte, de Kauken send jö unner ganz schwat gebrand.
WS7	He ett de Eier ümmer ohne Salt und Päpper.
WS8	De Behne daut me ganz weh, eck glöw eck häse dür gelopen.
WS9	Eck senn be de Frau gewässen un hefft ör gesagg, un sö sagg, sö wüllt ock öre Dochter säggen.
WS10	Eck wellt ock nech me wier daun.
WS11	Eck schloh de glicks met denn Kockleppel üm de Ohren, du Ahpe!
WS12	Wo gehs du henn, sö we met de gohn.
WS13	Et send schlechte Titen!
WS14	Min leiwe Kend, bliew hie unner stohn de böse Göse bitt de dot.
WS15	Du heß van Dage et meße gelährt un büs hübsch gewässen, du draffs ähr no Hus gohn as de Annern.
WS16	Du büs noch nech grot genaug, üm ene Fläsche Wien uttedrenken, du moß ähr noch en Enne wassen un gröder wähen.
WS17	Goh, se so god un segg din Süster, so soll de Kleder fö öhr Moder fereg neihe un met denn Bossel rein maken.
WS18	Häß du em gekannt! dann wär et anners gekomn, un et dähr bätter üm em stohn.
WS19	Wä hätt me mienen Korf met Flesch gestoahlen.
WS20	He dähr <där> su as hän get {dt. hättet ihr} em taut Daschen bestallt; get hät {dt. ihr habt} et awer säwers gedohn.
WS21	Wän hät he de nee Geschechte votallt?
WS22	Man mot hatt raupen, süs veusteht he us nech.
WS23	We send meu un hät Daus.
WS24	As we gestern Owend trügge kamen, doh lägen de annern all ent Bärre un wähn fasse ant schlopen.
WS25	Dän Schnee es van Nach be us leggen gebliwen, awer van Maugen es he geschmolten.
WS26	Achter use Hus stoht drei schöne Appelbömkes met rohe Äppelkes.
WS27	Köh get nech noch ehn Ogenblicksken op us wachen, dann goh we met enk.
WS28	Get dröfft nech söcke Kennerehen driewen.
WS29	Use Berge send nech ganz hoge, de enken send völl högger.
WS30	Wövöl Pund Wosse un wovöl Brod well get häwen?
WS31	Eck vöstoh enk nech, get möt en bätken häder küren.
WS32	Häf get ken Stücksken wette Sepe fö me op mien Desch gefunnen.
WS33	Sin Bror well seck twe schöne nee Hüser en enken Gadn baun.
WS34	Det Wort kam em van Hatten!
WS35	Det was rech van enk!
WS36	Wat sed dor vo Vügelkes bowen op de Mürken.
WS37	De Burn han fief Ossens un niegen Keuh un twelf Schöpkes vö det Dorp gebrach, de woln sö vökopen.
WS38	De Lüh send ale buten op det Feld un mäht.
WS39	Goh mä de brune Hond deut de necks.
WS40	Eck sen met de Lüh doh hünter öwer de Wische ent Korn gefohrt.
