---
Bogennummer: '45115'
Ort: Oenz/Önz
Gid: 546106
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-10-01 13:18:10.428467
Änderungsdatum: 2022-10-21 13:28:16.693331
...
WS1	Im Winter flüge die trochene Bletter i der Luft ume.
WS2	Es hört grad uf schneie, de wird ds Wätter wieder besser.
WS3	Tue Chole i Ofe, dass d' Miuch gli afoht choche.
WS4	Der guet aut Ma isch mit dem Ross dür ds Isch broche und i ds chaute Wasser gheit.
WS5	Er isch vor vier oder sächs Wuche gstorbe.
WS6	Ds Füür isch z' starch gsi, d' Chueche si jo ungenoche ganz bbräntet.
WS7	Er isst d'Eier gäng ohni Sauz und Pfäffer.
WS8	D' Füess tüe mer grüslig weh, i glaube, si sige ungeruf düreglüffe.
WS9	I bi bi der Frau gsi und ha 'r es gseit, und si het gseit, si wöu 's de au ihrer Tochter säge.
WS10	I wott 's nüm[m]e {nicht klar, ob zunächst nur 'nümm' stand, zu 'nüme' verkürzt wurde und zuletzt 'nümme' gewollt war -?} mache.
WS11	I houe dr eis mit der Cheṵe {im Bogen sind zwei Punkte unter 'u'} über d 'Ohre, du Aff. {am Zeilenende steht:}  <.. wie u >
WS12	Wo wottsch hi, söṵe {zunächst 'söṵer' mit zwei Punkten unter 'u', dann 'r' durchgestrichen} mer au mit der cho ?  <... u >
WS13	Es sy schlächti Zyte.
WS14	Du liebs Ching, blib do unger stoh, süsch bysse di dị̰ {unter 'i' stehen drei Punkte nebeneinander, hier transkribiert mit Tilde und Punkt} böse Gens z'tȯd. <̣... i offen >  
WS15	Du hesch hüt am meisch[te] gle[h]rt u. bisch brav gsi, du darfsch ietz e chli ender hei aus di angere.
WS16	Du bisch no nid gross gnue, für ne Fläsche Wy usztrinke, du muesch zerscht no chli wachse und gröser wärde.
WS17	Bis so gut und gang säg dyr Schweschter, si söu d 'Chleider für eui Muetter fertig mache und mit der Bürschte suber putze.
WS18	Hättsch du ne kennt ! De wärs angers cho, und es stieng besser um ihn.
WS19	Wär het mer my Chorb mit em Fleisch drin gno ?
WS20	Er het to, wi {zunächst 'wie', dann 'e' durchgestrichen} wenn si ne zum Trösche bschteṵt {unter 'u' sind zwei Punkte nebeneinander} hätte. < .. . u .> Si heis aber säuber gmacht.
WS21	Wäm het er di nöii Gschicht {'erzellt' ist durchgestrichen} erzeṵt {unter 'u' sind zwei Punkte nebeneinander} ? < .. u > 
WS22	Mi mues lut brüele, süsch versteit er eim nid.
WS23	Mir si müed und turschtig.
WS24	Wo mer nächti si hei {'si' ist oben zwischen 'nächti' und 'hei' eingefügt} cho, si di angere scho im Bett gsi und hei fescht gschlofe. 
WS25	Der Schnee isch die Nacht blybe lḭege {unter 'i' stehen zwei Punkte nebeneinander} ; aber dä Morge isch er ab. < ... i breit.>
WS26	Hinger üsem Huus stöh drü schöni Öpfuböimli mit rote Öpfeli.
WS27	Chöit er nid no nes Augeblickli uf is warte, de chöme mer mit nech.
WS28	Tüet doch nid so wi di dumme [P]ursch.
WS29	Üsi Bärge si grad höch, eui si viu höcher.
WS30	Wie mängs Pfung Wurst und wieviu {zunächst 'wieviel', dann 'el' durchgestrichen und mit 'u' darüber geschrieben} Brot weit er ?
WS31	I verstoh nech nid, dir müessit e chli luter rede.
WS32	Heit er kes Bitzli wyssi Seife für mi uf mym Tisch gfunge ?
WS33	Sy {zunächst 'Sie', dann 'ie' mit 'y' überschrieben} Brueder wott zweu schöni nöiji Hüser i euem Garte boue.
WS34	Das isch im vo inne use cho.
WS35	Das isch rächt gsi von ne.
WS36	Was hocke do uf em Müürli obe für Vögeli ?
WS37	D Bure hei feuf Ochse und nüün Chüe und zwöṵf {unter 'u' stehen zwei Punkte nebeneinander} <( .. wie u !)> Schöfli vor ds Dorf brocht, wo si hei wöṵe {unter 'u' stehen zwei Punkte nebeneinander} <( ... wie u )> verchoufe.
WS38	Es isch hütt aus uf em Fäud usse und tuet mäje.
WS39	Gang nume, der brun {zunächst 'brün', dann Umlaut durchgestrichen} Hung macht der nüüt.
WS40	I bi mit dene Lüte do hinge über d'Matte ufe Gwächsacher gfahre.
