---
Bogennummer: '44899'
Ort: Münzlishausen
Gid: 19527
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2024-05-08 14:54:09.802778
Änderungsdatum: 2024-05-08 17:04:53.044031
Satzversion: 1
...
WS1	Ìm Wi̇̀nter flüüge {zunächst 'flüge'} die̊ trochchne {zunächst 'trochne'} Bletter i̇̀ dr Lùft ùme.
WS2	E̊s höört {zunächst 'hört'} grad uuf {zunächst 'uf'} schneije. dänn wi̇̀rd s' Wätter wi̇̀der besser.
WS3	Tue Chole i̇̀n Ofen-ine, dass d' Milch bald afòòt {zunächst 'afòt'} chochche.
WS4	Dä gùet alt Maa i̇̀sch {'dor' ist durchgestrichen} mit em Ross i̇̀s Iìs broche {zunächst 'i̇̀s Iis broche mit dem Ross', dann 'mit em Ross umkreist und mit einem Pfeil vor 'i̇̀s Iìs broche' platziert}, ŭnd i̇̀sch ìs chalt Wasser gfalle.
WS5	Èr {'E' wurde korrigiert} i̇̀sch vor vier òder sächs Wùche gschtoorbe {zunächst 'gschtorbe'}.
WS6	S' Füür {zunächst 'Für'} i̇̀sch z' schtarch {zunächst 'schtark'} gsii, d' Kùeche si̇̀nd ùnde ganz verbrönnt gsii.
WS7	Èr {zunächst 'Ar' ?} isst [d]' {oder 't' ?} Äier i̇̀mmer òni Salz ùnd Pfäffer.
WS8	D' Fǔess tüend me̊r wee, i glaube, i ha si dōreglòffe {zunächst 'dāreglòffe' ?}.
WS9	I bi̇̀ bi dr Frau gsii ùnd han-e̊r e̊s gseit, ùnd si hèt gseit, si wèlls au i̇̀rer Tochter säge.
WS10	I wi̇̀ll 's nǜmme tùe.
WS11	"I schlo di grad mit em Chochlöffel ùm t' Oore {zunächst ""d' Ore""}, du Aff !"
WS12	Wo goosch {zunächst 'gosch'} hee ?  muess i mi̇̀t dr choo {zunächst 'cho'} ?
WS13	E̊s si̇̀nd schlächti Ziite {zunächst 'Zite'} !
