---
Bogennummer: '46832'
Ort: Wennemos (Vennemose)
Gid: 546528
Transliterationsprojekt: Citizen Science Projekt
Transliterent: 'Regina Elisabeth Morgen '
Erstelldatum: 2024-10-23 11:25:56.124230
Änderungsdatum: 2024-10-28 08:46:04.980630
Satzversion: 1
...
WS1	Om Winter flüwer {üw s. Erklärung Rückseite} di tör Blai rundt om i ä Luft. 
WS2	"De för strax op o <{s. Rückseite} o in ""Gott"", oft lang> snee, so blüwer et boer Wor igjen."
WS3	"Kom Kol i ä Own, te o Mjolk snar [k]a [k]om te o <{s. Rückseite} o in ""Gott"", oft lang> kog. "
WS4	"Den goi gammel Mand o igjommel ä Iis brokket mo o <{s. Rückseite} o in ""Gott"", oft lang> Host o <{s. Rückseite} o in ""Gott"", oft lang> i de kol Wand fo<{s. Rückseite} o in ""Gott"", oft lang>llen."
WS5	"hom o dö fo <{s. Rückseite} o in ""Gott"", oft lang> fier eller seis Uger sin."
WS6	"Ä [I]ld wa fo <{s. Rückseite} o in ""Gott"", oft lang> stork, o Kager o jo hiel swesen fornein. "
WS7	"Han orrer o<{s. Rückseite} o in ""Gott"", oft lang>ltiens o Äp urren So<{s. Rückseite} o in ""Gott"", oft lang>lt o <{s. Rückseite} o in ""Gott"", oft lang> Pewer."
WS8	"Min Förrer epjö gro<{s. Rückseite} o in ""Gott"", oft lang>v wee, o t ro[u]er, o ha fo<{s. Rückseite} o in ""Gott"", oft lang>t Gaw em."
WS9	"Ä ha wot we o Kuhn o <{s. Rückseite} o in ""Gott"", oft lang> soi sin et, o <{s. Rückseite} o in ""Gott"", oft lang> sun soi, sun wild o <{s. Rückseite} o in ""Gott"", oft lang> ohn si hin Dotter et. "
WS10	Ä wil heller aller gür et mier. 
WS11	Ä sloer Do strax we o mo o [Grü[?]ken] Ör {s. Rückseite}, din Af. 
WS12	Wo goer do hen, ska wi go mo do?
WS13	De o ring Tier.
WS14	Mit kjore Ban, blüw sta[nn] en nier, die Gjos birrer do ijel.
WS15	"Du har idaw lor west o <{s. Rückseite} o in ""Gott"", oft lang> ha wot goi, du mo go <{s. Rückseite} o in ""Gott"", oft lang> hjem innen di Anner."
WS16	"Do er int stur nok te o <{s. Rückseite} o in ""Gott"", oft lang> en Flask Wün drik, du ska höst weis o <{s. Rückseite} o in ""Gott"", oft lang> blü{s. Rückseite}w no<{s. Rückseite} o in ""Gott"", oft lang>wwer stör[r]."
WS17	"Wo so <{s. Rückseite} o in ""Gott"", oft lang> gu o <{s. Rückseite} o in ""Gott"", oft lang> go hen o <{s. Rückseite} o in ""Gott"", oft lang> si te din Söster, h[e]u ska sü o Kjoller forre te je Muer o <{s. Rückseite} o in ""Gott"", oft lang> gjör em reen mo o Bohst."
WS18	"Had du kon ham, so <{s. Rückseite} o in ""Gott"", oft lang> war et gon anlo<{s. Rückseite} o in ""Gott"", oft lang>ns te, o <{s. Rückseite} o in ""Gott"", oft lang> han hai hai et beier."
WS19	"Wen ha min Ko<{s. Rückseite} o in ""Gott"", oft lang>rrn mo Kjör i sto<{s. Rückseite} o in ""Gott"", oft lang>ll?"
WS20	"Han stild se an, san om di hai ham te o <{s. Rückseite} o in ""Gott"", oft lang> toski bestillt men di gür et sjel. "
WS21	"Wen har han den nü History te fo<{s. Rückseite} o in ""Gott"", oft lang>tohld?"
WS22	"En ska öw hö[tt], eisen fo<{s. Rückseite} o in ""Gott"", oft lang>stoer han wos [?]nt."
WS23	"Wi ä trott o <{s. Rückseite} o in ""Gott"", oft lang> töste."
WS24	"Da wi ijawwes kom tebag, da loi di Anner o<{s. Rückseite} o in ""Gott"", oft lang>llere[n] i o Seng o <{s. Rückseite} o in ""Gott"", oft lang> so<{s. Rückseite} o in ""Gott"", oft lang>w haart."
WS25	"Ä Snee er inat leggen blöwwen we wos, men i mo<{s. Rückseite} o in ""Gott"", oft lang>ren es en optö."
WS26	Obag we wort huus stor der trei smo Äwweltroer mo smo röh Äwler.
WS27	"Kän I int [wint] et lille [Kworns] otter wos inno, so<{s. Rückseite} o in ""Gott"", oft lang> go wi mo jer. "
WS28	"I mo int ha ho<{s. Rückseite} o in ""Gott"", oft lang>rren Börnstreger for."
WS29	Wo Bjorn er int saa hü, jes o möi hür.
WS30	"Womanne Pund Pöls o <{s. Rückseite} o in ""Gott"", oft lang> womanne Brö wil I ha?"
WS31	"Ä fo<{s. Rückseite} o in ""Gott"", oft lang>stor Jes int, J mo<{s. Rückseite} o in ""Gott"", oft lang> si et nower hür."
WS32	Har J ints et Stök wier Sow te mo o mint Bor fonnen?
WS33	Sin Broer wil se to kön nü Huus i je Gor büg.
WS34	Ä Ur kan ham fra o hart.
WS35	De wa kön gür a dem.
WS36	"Wa o de ho<{s. Rückseite} o in ""Gott"", oft lang> smo<{s. Rückseite} o in ""Gott"", oft lang> Ful, do serrer o den lille Muur?"
WS37	"Ä Bö[nn]er hai brungen fem Stur o <{s. Rückseite} o in ""Gott"", oft lang> ni Köer o <{s. Rückseite} o in ""Gott"", oft lang> töl smo for hen te o Bü for o <{s. Rückseite} o in ""Gott"", oft lang> sol em."
WS38	"Ä Folk er ida[w] ol <{s. Rückseite} o in ""Gott"", oft lang> ur o o Mark o <{s. Rückseite} o in ""Gott"", oft lang> bjorr[e] K[w]orn. "
WS39	Go do ku[n]s, den bruun hund birrer do nit. 
WS40	Ä ha kür mo o Folk do bag ö[ww]er o Eng ind i ä Kworn. 
