---
Bogennummer: '45741'
Ort: Schafhausen im Emmental
Gid: 17572
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: "{Dr. Heinrich Baumgartner, Professor a.d. Universität Bern hat eine\
  \ getippte Notiz zu diesem Bogen hinterlassen:\n\"Es muss heissen:\n 6    Ds Füür\
  \ isch tschtarch, di Chueche sy unger ...\n 9    u si het gseit\n 16  für ne Fläsche....\n\
  \ 20  säuber\n 24  Wo mer geschter....\n 28  Dir dörft\n 29  eui sy...\n 40  über\
  \ di Matte\"\n\n"
Erstelldatum: 2023-02-15 13:41:04.130834
Änderungsdatum: 2023-02-25 16:52:10.507702
Satzversion: 1
...
WS1	Im Winter flüge di trochene Bletter i der Luft ume.
WS2	Es hört gli uf schneie, de wird ds Wätter wider besser.
WS3	Tue Chole i Ofe, dass d Miuch afat choche.
WS4	Der guet aut Ma isch mitem Ross dür z'Isch broche, u i ds chaute Wasser gheit.
WS5	Er isch vor vier oder sächs Wuche gstorbe.
WS6	"Ds Für war tscharch di Chuche ware unger ganz schwarz verbrönnt {Verdoppelungsstrich auf 'n'} . {Prof Baumgartner: ""es muss heissen: Ds Füür isch tschtarch, di Chueche sy unger.....""}.."
WS7	Är {zunächst wohl 'Er', dann 'E' mit 'Ä' überschrieben}  ist d' Eier gäng ohni {'gäng' ist nachträglich oben zwischen 'Eier' und 'ohni' eingefügt} Sauz u Pfäffer.
WS8	D' Pfüess tüe mer weh, i gloube i hig se düre glüffe.
WS9	"I bi bi dr {2. 'bi' ist nachträglich oben zwischen 1.'bi' und 'dr' eingefügt} Frou gsi u ha res gseit u si het seit {'het' ist nachträglich oben zwischen 'si' und 'seit' eingefügt}  si wöus no dr Tochter säge. {Prof Baumgartner: ""es muss heissen: u si het gseit""}"
WS10	I wills o {zunächst wohl 'es', dann dick mit 'o' überschrieben} nie me {zunächst 'mer', dann 'r' durchgestrichen} tu. I wöus o nümme {Verdoppelungsstrich auf 'm'} tu.
WS11	I schla dr {zunächst 'di', dann 'i' mit 'r' überschrieben} gli mit em Chochloffu um d' Ohre, {'dme' ? durchgestrichen} du Aff.
WS12	Wo geischt du hie, souemer mit dr cho.
WS13	Äs s i [sc]hlächti Zite.
WS14	Mys liäbs Chind blih hie stah, di böse Gäns bisse di z'tot.
WS15	Du hesch hüt am meiste glehrt u bischt artig gsi, u darfsch f[rü]echer {ev. auch 'fürecher' ?} hie aus di angere.
WS16	"Du bisch o no nid gross gnug, um e Fläsche Wy ustrinke, du musch z'erst no wachse u grösser wärde. {Prof Baumgartner: ""es muss heissen: für ne Fläsche....""}"
WS17	Gang, bis so gut, u säg dir Schweṡter si söu Chleider für öui  Muetter {zunächst 'Mutter', dann zwischen 'u' und 't' oben kleine 'e' eingefügt} fertig mache u mit dr Bürste putze.
WS18	Hättisch ne g'chennt so wäres angers cho u tät besser umin stah.
WS19	Wär het mr mi Chorb mit em Fleisch {'gschtole' ist durchgestrichen} , gschtole.
WS20	"Är het ta, aus hätte sine zum Drösche b'steut, si heis aber säubst gmacht. {Prof Baumgartner: ""es muss heissen: säuber""}"
WS21	Wäm hetter di neui Gschicht ärzeut.
WS22	Mi mues s lut brüele, sönsch {oder 'söusch' ?} versteit er üs nid.
WS23	Mir si müed, u hei Durscht.
WS24	"Aus mir geschter z' Abe si zrügg cho, si di angere scho im Bett gsi, u hei fest gschlafe. {Prof Baumgartner: ""es muss heissen: Wo mer geschter....""}"
WS25	Dr Schnee ischt diese Nacht bi üs lige blibe, aber hüt am Morge isch er vergange.
WS26	Hinger üsem Hus si drü schöni Öpfuböumli u hei schöni roti {'Öfü.' ist durchgestrichen}  Öpfu.
WS27	Chöiter nid a Ougeblick warte, de gömer mit euch.
WS28	"Ihr dörft nid settegi Chindereie tribe. {Prof Baumgartner: ""es muss heissen: Dir dörft""}"
WS29	"Üser Bärge si nid so höch, di euere si höcher. {Prof Baumgartner: ""es muss heissen: eui sy...""}"
WS30	Wiveu Pfung Wurst u wieveu Brot wiet-er {zunächst 'wit-er', dann zwischen 'i' und 't' oben kleines 'e' eingefügt}  ha ?
WS31	I ha verstah euch nid, dir müesst as Bitzli luter rede.
WS32	"Heter {zunächst 'Hetr', dann zwischen 't' und 'r' 'e' eingequetscht} kes Bitzli wyssi {zunächst 'wi', dann 'i' zu 'y' ergänzt und 'wysse', dann 'e' mit 'i' überschrieben} Seife uf em Tisch für mi g'funde {zunächst Aufstrrich für 'f', dann unterbrochen und Wort als "" g'funde"" geschrieben} . "
WS33	Si Bruder wott siech zwö schoni neui Hüser i euem Garte b[o]ue {zunächst 'baue', dann 'a' mit 'o' überschrieben - oder umgekehrt} .
WS34	D' Wort isch im vom Härze cho.
WS35	Das isch rächt vo euch.
WS36	Was hocki da für Vögeli uf em Mürli obe.
WS37	D' Bure hei feuf Ochse u nün Chüe u zwöuf Schof {oder 'Schaf' ?} vor z'Dorf bracht  dia hei si wöue verchoufe.
WS38	D' Lüt si hüet aui uf em Fäud usse, u mäie.
WS39	Gang nume, der brun Hung tut der nüt.
WS40	"I bi mit de Lüte da hinger über die Wyse is chorn gfahre. {darunter steht:} g'fahre  {Prof Baumgartner: ""es muss heissen: über di Matte""}"
