---
Bogennummer: '25634'
Ort: Heiden
Gid: 104063
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Arne Milas
Original Anmerkungen: '5. Ist ſch in den mundartlichen Wörtern (...)?

  Das ſch lautet am Anfang eines Wortes vor einem Selbstlaut {weiter unter NB!} wie
  ſg, z. B. Sgop (Schaf) Sgepp (Schiff), ſteht es aber vor einem Mitlaut, wie ſ, z.
  B. ſnüien (ſchneiden), ſrüiben (ſchreiben). Jn der  Mitte oder am eines Wortes lauter
  es wie sk, z.B. fisken (fiſchen) Fleusk (Fleiſch).

  Jſt das eu oder äu zusammenhängend geschrieben, zo wird es wie gewöhnlich, ſteht
  aber ein "-" dazwiſchen, wie e-u, ä-u, ſo werden beide Laute nacheiander, jedoch
  einsylbig ausgeſprochen, welches letzeres durch einen Bogen e-͡u, ä-͡u, angedeutet
  iſt.'
Erstelldatum: 2022-06-23 17:41:06.058321
Änderungsdatum: 2022-06-23 17:41:06.058321
...
WS1	Jn’n Winder fleuget dä dreugen Bleer dür dä Lucht herümmer.
WS2	"Et heuert glüick up te-͡u ſnüiggen <ſchnüiggen> {ch durchgestrichen}, dann wärcht dat Wedder <Wetter> {tt durch dd überschrieben} wier <d> {d durch b von ""bedder"" überschrieben} bedder."
WS3	De-͡u Köhle in’n Oben, dat dä Melke bä-͡ule te-͡u koken anfänkt.
WS4	Dä ge-͡ue ä-͡ule Mann es met den Peer dürt Üis broken un in’t kä-͡ule Wader fallen.
WS5	Hä es vör veuer e-͡uder ſeß Wieken ſtorben.
WS6	Dat Fuier waß te-͡u heut, dä Ke-͡uken ſind jô unner gans ſwacht brennt
WS7	Heu ett dä Eugger jümmer e-͡une Solt un Pöpper.
WS8	Dä Fo͡ite de-͡uht müi düjet weuh, eck läuwe, eck hewwe ſä dühr lä-͡upen.
WS9	Eck ſin büi der Frübben weſen un hewwe’t ehr ſecht, unſä ſehe, ſä woll’t ä-͡uk ehr Dochter ſe-͡uggen.
WS10	Eck will’t ä-͡uk nich meier wedder de-͡uhn.
WS11	"Jck ſlohe düi glüick met den <Kokeleppel> {durchgestrichen} Sleuf {über ""Kokeleppel als Korrektur geschrieben} ümme dä Ä-͜uern <A[e]uern> {wohl e in in ""Ae"" durchgestichen, Trennstrich als Korrektur}, diu Ape!"
WS12	Wô geuhſt diu hen, ſüh wüi met düi gohn?
WS13	Et ſind ſlechte Tüien!
WS14	Müin leuwe Küind, blüif hüier unner ſtohn, dä bäuſen Gäuſe büit’t düi dä-͡ut.
WS15	Diu heſt van Dage am meiſten lehrt un biſt org weſen, diu drafſt euher nah Hius gohn, oſſe dä Annern.
WS16	Diu biſt nä-͡un nich grä-͡ut gene-͡ug, ümme ’ne Flaske Wüin iute-͡udrinken, Diu moßt eurſt nä-͡u’n Enne waſſen un grö̂dder wehrn.
WS17	Gônk, ſüi ſe-͡u ge-͡ut u ſeugge düiner Süſter, ſeu ſolle dä Kleier för jüwwe Modder ferg maiggen un met der Böſten reuggen maken.
WS18	Heddeſt diu enne kennt! dann wör’t anners kumen, un et deue bedder ümme enne ſtohn.
WS19	Wer hät müi müinen Korf met Fleuſk ſtohlen?
WS20	Heu deue ſe-͡u, oſſe hedden ſeu enne te-͡um desken beſtellt, ſeu hewwet et ö̂wwer ſülwſt dohn.
WS21	Wen hät heu dä müigge Geſichte <Geſchichte> {ch durchgestirchen} vertellt?
WS22	Man mot hadder ſrüiggen, ſüß verſteut heu us nich.
WS23	Wüi ſind moije un hät Doſt.
WS24	Oſſe wüi giſtern Obend trüihhe keumen, de-͡u leugen dä Annern ôll in’n Bedde un wörn faſte in’n {ab hier am Rand geschrieben} ſlopen.
WS25	Dä Sneu es döſſe Nacht büi us lüiggen blieben, öwwer vör Morn es heu ſmolten.
WS26	Achter iuſen Hiuſe ſtoht <sthoht> {erstes h durchgestrichen} dreu scheune <(älter: wackere) Appelbäumken, met rä-͡uen Äppelken.
WS27	Kühe jüi nich nä-͡un’n Ä-͜ugenblicksken up us toiben, dann goh wüi met jüi.
WS28	Jüi drüwet nich ſöcke Kinnerrüiggen drüiben.
WS29	Juſe <(iuſe)> Berge ſind nich hadder hä-͡ug, jüwwe ſind vel hö̂chter <(auch häuger)>.
WS30	Wevell Pund Woſt un wevell Brä-͡ud wil jüi hebben.
WS31	Eck verſtohe jüi nich , jüi müt’t’n bietken hädder kührn.
WS32	Hewwet jüi nen Stücksken witte Seipen för müi up müinen Diske funnen?
WS33	Süin Bre-͡uer well ſick tweu nüigge Huiſer in jübben Gorn büwwen.
WS34	Dat We-͡uert kamm enne van Herchten!
WS35	Dat was recht van ehr!
WS36	Wat ſitt’t dor för Vügelken boben up den M[u]ierken <Müierken> {Umlautstriche und u-Bogen übereinander. Unklar was Korrektur}?
WS37	Dä Bi͜uern hadden füif Oſſen un niegen Koigge un twö̂lf Schöpken vö̂r dat Dö̂rp brôcht, dä wollen ſeu verkä-͡upen.
WS38	Dä Lu͜ie ſind van Dage ôlle biuten up den Feile un meijet.
WS39	Gônk man, dä briune Rühe  <d[??]t> {durchgestrichen} doit dui nix.
WS40	Eck ſin met den Lu͜ien dor achter ö̂wwer dä Wieſe int Kä-͡uern foiert.
