---
Bogennummer: '44921'
Ort: Beinwil
Sprache: ''
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz Excel Import
Transliterent: ''
Anmerkungen: ''
Erstelldatum: '2024-04-15 09:49:51.872285'
...
WS1	Im Winter flüge die trochne Bletter i dr Luft ume.
WS2	Es hört gli uf schneie, derno wird's Wätter wieder besser.
WS3	Tue Chole i Ofe, ass d' Milch bol foht afo choche.
WS4	Dr guet alt Ma isch mit em Ross durs Is broche und is chalte  [oben eingefügt:] Wasser  gfalle.
WS5	Er isch vor vier oder sächs Wuche gstorbe.
WS6	"S' Für isch z' schtarch gsi, d' Kueche [zunächst \""Kuche\"", dann 'zwischen 'u' und 'c' oben 'e' eingefügt]  si jo ungefer ganz schwarz brönnt."
WS7	Er isst d' Eier immer ohni Salz und Pfäffer.
WS8	D' Füess tür mer fescht weh, i glaub ich ha se durä gloffe.
WS9	I bi bi dr Frau gsi und haneres gseit und sie het gseit, sie well's au ihrer Tochter säge.
WS10	I will's nümmi grad wieder mache.
WS11	I schlod'r grad mit em Kochlöffel um d' Ohre ume, du Aff !
WS12	Wo gosch ane, söllemer mitdr cho ?
WS13	Es si schlechti Zite.
WS14	Mi liebs Ching, blieb  dŭ  unger stoh, die böse Gäns tüe di ztot bisse.  
WS15	"Du hesch hüt am meischte glehrt und bisch brav gsi, du  darfsch [zunächst \""darfst\"" dann 'st' durchgestrichen und 'sch' darüber geschrieben]  früener hei, as die angere"
WS16	"Du bisch noni gross gnue, füer ne Fläsche  Wi [zunächst \""Wie\"" und dann 'e' durchgestrichen?]  usztrinke [zunächst \""aus...\"", dann 'a' durchgestrichen?] , du muesch zerst no öppis wachse , und grösser wärde."
WS17	"Gang, bisch so guet und säg diner Schweschter,  si [zunächst \""sie\"", dann 'e' durchgestrichen]  sell d' Chleider für üri Muetter fertig näie und mit dr Bürschte suber mache"
WS18	Wennen du kennt hättsch, so wär's angerisch cho und es tät besser umen schto.
WS19	Wär het mir mi Chorb mit Fleisch gschtohle ?
WS20	Er het so to, wie wennsne zum Drösche bschstellt hätte, sie heis aber sälber gmacht
WS21	Wäm heter die neui Gschicht verzellt ?
WS22	Me mues lut brüele, süsch verstoht er üs nit.
WS23	Mir si müed und hei Durst.
WS24	"Womer gester z' Obe zrugg cho-si [zunächst \""sie\"", dann 'e' durchgestrichen] , do si die  angere [Schluss-'e' zunächst mit Trema, dann durchgestrichen]  scho im Bett gsi und ehi fescht gschlofe."
WS25	"Dr Schnee isch die Nacht bi  eus [zunächst \""euis\"", dann 'i' durchgestrichen]  blibe ligge, aber hüt de Morge isch er vergange."
WS26	"Hinger  eusem [zunächst \""euisem\"", dann 'i' durchgestrichen]  stöh drü schöni Öpfelbäumli mit rote Öpfeli."
WS27	"Chönnetdr nit no nes Augeblickli ufis warte, de  gömer [zunächst \""göimer\"", dann 'i' durchgestrichen]  mit  euch [zunächst \""euich\"", dann 'i' durchgestrichen]."
WS28	Dir dörfet nit sonigi Chindereie triebe.
WS29	"Eusi [zunächst \""Euisi\"", dann 'i' durchgestrichen]  Bärge si nit so höch, eui si viel höcher."
WS30	Wie mängs Pfung Wurscht und wie mängs Brot weit er ha ?
WS31	I verstohnech nit, dir müesst es bitzeli luter rede.
WS32	Heit er keis Stückli wissi Seife für mi, uf mim Tisch gfunge.
WS33	Si Brueder will für sich zwei schöni neui Hüser i  euem [2.letzter Buchstabe unleserlich, 'e' darüber gesetzt]  Garte boue.
WS34	[?] Das Wort ischem vo Härze cho !
WS35	Das isch rächt gsi vonne.
WS36	Was sitze do für Vögeli uf em Mürli obe ?
WS37	D' Bure hei föif Stiere und nün Chüe und zwölf Schöfli vor's Dorf brocht, die hei si welle verchaufe.
WS38	D' Lüt si hüt alli dusse ufem Fäld und mäje.
WS39	Gang numme, dr brun Hung macht dr nüt.
WS40	I bi mit de Lüt do hinger über d' Matte is Chorn gfahre.
