---
Bogennummer: '45025'
Ort: Strengelbach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:56.694959'
...
WS16	du bī̄st [was bedeuten die zwei Querstriche über 'i' ?] nò-nig grōss gnūe, ùm e fläsche wii ūssztrinke, du mūescht no e chlii wachse [in rot eingefügt:] -n-  ùnd grösser wa>rde [wieder dieser seltsame Haken über 'a'].
WS17	"Gang, bìss so gūet ùnd säg din-er schwöster, sie sèuw di chleider fǜr oïji muetter fertig näĭje um-míter bǖrste bōtze [über 'ō' steht in rot 'ù': ""bùtze""]."
WS18	"hättisch-du-n-e kennt! dè wär 's anderst [über 's' steht in rot 'sch': ""anderscht""] usecho ùnd es stiènd besser um-ìn."
WS19	Wär hètt mì̊r mi choorb mìt em fĺeisch gstòle ?
