---
Bogennummer: '45775'
Ort: Ortbach
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.228084'
...
WS12	Wo geesch (giisch) hie, söue mer o mi͜t der (mit er) cho ?
WS13	E(ä)s si schlächti Zite !
WS14	"Mis liebe Ching, blieb da nide schtah, di böse (wie ""bööse"") Gäns piesse di süsch z' tod."
WS15	Du hesch hüt am meeschte (miischte) glehrt u bisch brav gsi, du darfscht ender hee (hii) aus die angere.
WS16	Du bisch no nid gross gnue, für ne Fläsche Wy usztreiche, du muescht z' erscht no chli wachse u gröser wärde.
WS17	Gang, biss (geschloss. i) so guet u säg dir Schweschter, si söu d Chleeder (Chliider) für eui Mueter fertig näje u mit dr Bürschte suber mache.
WS18	Hättisch du ne g'kennt ! de wär es angersch cho, un es tät besser um in stah.
WS19	"Wär het mer mi Chorb mit em Fleesch (auch ""Fleisch"") gschtole ? (o = kurz)"
WS20	"Aer het e so tah, aus hätte si ne zum Trösche bschëut; si hees aber sä̱|u̱ber (""ä"" und ""u"" trennen!) gmacht."
WS21	Wäm het er di neui Gschicht erzëut ?
WS22	"Me muess lutt brüele (auch ""pägge"", wobei ""ä"" lang!), süsch versteeht er is nid."
WS23	Mir si müed u hee (hii) Turscht.
WS24	"Wo mer gester em Ahbe zrugg cho si, da si di angere scho im Bett gsi (""i"" geschl.) u hee (auch ""hei"") fescht gschlāfe."
WS25	"Der Schnee isch di Nacht bi üs bliebe lige, aber hüt de (""e"" wie beinahe ""ö"") Morge isch er vergange."
WS26	Hinger üsem Hus schtah drü schöni Öpfuböömli mit rote Öpfeli.
WS27	"Chööt (Chöit = Höflichkeitsform) er nit no es Oogeblickli (auch ""e chlie"") uf is warte, de gah mer mit nech."
WS28	Tir törfet nid settegi Chindereie triebe.
WS29	Üser Bärge si nif grad höch, euer si viu höcher.
WS30	"Wi mängs (auch ""viu"") Pfung Wurscht u wi viu Brot weet (wiit) er ha ?"
WS31	"I verstah nech nid, tir (""i"" geschl.) müesst e chlie lüter rede."
WS32	Heet (hiit) er e kes Bitzli wiessi Seefe für mi uf mim Tisch g' funge ?
WS33	Si Brueder wott si zwö schȫni neui Hüser i üsem Garte la boue.
WS34	Das Wort isch im vo Härze cho.
WS35	Das isch rächt gsi(e) vo ne !
WS36	Was hocke da für Vögeli uf em Müürli obe.
WS37	D Pure hee föif Ochse u nü̱n Chüe u zwö|uf Schäffli vor ds Dorf prunge, die he si wöue verchoofe.
WS38	D Lüt si hüt aui dusse uf em Fä|ud u mäje.
WS39	"Gang nume, der brun Hung macht (auch ""tuet"") er nüt."
