---
Bogennummer: '44695'
Ort: Basel
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:50.571575'
...
WS1	Im Winter fliegt's troche Laŭb in der Lŭft ŭmmenander.
WS2	Es hörtġli uff z'schneie, derno wird 's Wätter wieder besser.
WS3	Tŭe d'Kohle in Ofe, daß d'Milch bald chocht.
WS4	Der gŭet alt Ma isch ŭff em Is mit dem Ross ibroche und ins chalt Wasser gfalle.
WS5	Er isch vor vier oder sächs Wŭche gschtorbe.
WS6	's Für isch z'schtarch gsi; drŭm / dorŭm [beide Ausdrücke stehen übereinander] sind d'Chŭechen ŭnde ganz schwarz verbrennt.
WS7	Er isst d'Eier immer ohni Salz und Pfäffer.
WS8	D'Fŭeß tüend mir heillos / chogemässig [beide Ausdrücke stehen übereinander] weh; ich glaub, sie sind mier ŭfgloffe vom / wägem [beide Ausdrücke stehen übereinander] viele laufe.
WS9	Ich bi bi der Frau gsi ŭnd ha's e re gsait, und derno het sie gsait, sie well's ihrem Maitli aŭ säge.
WS10	Ich will's gwüss nümme meh mache.
WS11	Ich schlo dier grad mit em Kochlöffel ŭm d'Ohre, dŭ Aff !
WS12	Wo gosch ane ? Sölle mier mit dier goh ?
WS13	Mier händ schlächte / misserabli [beide Ausdrücke stehen übereinander] Zite.
WS14	Dŭ gŭet Chind, los, blib do ŭnde stoh, sŭscht bisse di die böse Gans z'tot.
WS15	Dŭ hesch hüt am maischte glehrt u. bisch ordlig / brav [beide Ausdrücke stehen übereinander] gsi, dŭ darfsch früejer heim goh als die andere.
WS16	Dŭ bisch no nig groß gnŭeg, für e Fläsche Wy úsztrinke, dŭ mŭesch z'erscht no e bitzeli wachse und größer wärde.
WS17	Sig so gúet ŭnd gang diner Schwester go sage, sie soll d'Chleider für Euri Mŭetter fertig naije und sŭber abbüerste.
WS18	Wenn dŭ nen chennt hättisch, derno wärs anders ŭse cho ŭnd es würd jetz besser ŭm en stoh.
WS19	Wer hett mier mi Chorb voll Flaisch gstohle ?
WS20	Er hett der gliche to, sie hebe nen zŭem Dresche bstellt. Sie händs aber sälber gmacht.
WS21	Wäm hett er die neŭi Gschicht verzellt ?
WS22	Me mŭeß lŭtt brüele, sŭscht verstoht er is / uns [beide Ausdrücke stehen übereinander] nit.
WS23	Mier sind müed únd hànd Dŭrst.
WS24	Wo mier geschter z'Obe heim cho sind, sind die andere scho im Bett gsi und händ fescht gschlofe.
WS25	Hüt z'Nacht isch der Schnee bi uns ligge bliebe, aber am Morge isch er verloffe.
