---
Bogennummer: '27398'
Ort: Niederursel
Gid: 99720
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Rolf Kanert
Anmerkungen: 'Der Name des Lehrers ist mit Joh. Holl. angegeben, geboren in Rodheim
  (wenige Kilometer entfernt).

  Die Übersetzung geschah durch den Lehrer.

  Der Informant scheint an zahlreichen Stellen radiert zu haben. Insbesondere das
  Präfix ge- wurde durch Radierung an mehreren Stellen in g'' geändert.'
Erstelldatum: 2023-12-29 14:32:08.666073
Änderungsdatum: 2023-12-29 14:32:08.666073
Satzversion: 1
...
WS1	Em Wenter fleie <(fliehe)> di tro͡ackne Blerrer do͡arch di Loft 'erim.
WS2	's hehrt gleich uff se schneie, dann wird's Werrer wirre besser.
WS3	Dhau Kŏhle en Ohwe, daß di Melch bahl ohnfängt <(n verschluckt)> se ko͡ache.
WS4	Der gauht ahlt Mann es met'm Ferd <(Gaul)> {nachträglich eingefügt} do͡archs Eis g bro͡ache {vermutlich ein Buchstabe hinter dem g ausradiert} un ens Wasser g'falle <(g'fann)>.
WS5	Er is vier veier o͡awer sechs Woche g'sto͡arwe <g'stoarbe> {b ausgestrichen und durch w ersetzt}.
WS6	's Feuer woar se hahß, di Kuche <(Kŏuche)> {Variante nachträglich eingefügt} sei onne jo͡a ganz schwo͡arz g'brennt.
WS7	E' esst di Ahjer {hinterm h wurde ein i ausgestrichen} immer ohne Sahlz un Peäffer.
WS8	Die Fiehß <(Feuß)> dhau m'r siehr wieh, ich glahb, ich ho͡ab se do͡archg'lahfe.
WS9	Eich sein <(n verschluckt)> bei d'r Frah gewest un hoab's'r g'so͡agt, un sie so͡agt, sie wollt's ahch ihre Dochter so͡age.
WS10	Eich <(ich)> will's ahch net mih wirre dhau.
WS11	Eich schlo͡ag <(hag)> {Variante nachträglich eingefügt} d'r gleich met'm Ko͡achleffel imm di Ohrn, dau Aff!
WS12	Wu giehst d' hinne <(hiehn)>, solle m'r met d'r gieh?
WS13	's sein <(n verschluckt)> schlehchte Zeire.
WS14	Mei leib Kend, bleib hei onne stieh, di biese Gens beiße dich dhudt.
WS15	Dau hast haut <(heut)> ohm mahste g'lernt un best o͡artig g'wehst, dau derfst ehnter <(fr[ä]her)> ham <(noach Haus)> {o nachträglich eingefügt} gieh als die Annern.
WS16	Dau best no͡ach net gruhß g'nunk, um 'e Bodell <(Flasch)> Weihn <(n verschluckt)> aussedrinke, dau mußt ehrscht no͡ach e' bissi <([n] Endche)> wo͡achse un grisser w[ä]hrn.
WS17	Gieh, sei se gaut un so͡ag deiner Schwe͡äster, si soll di Klahrer fier euer Motter fertig nehe un met d'r Berscht sauwer <(rein = rahn)> mache.
WS18	Häst d''n g'kennt, dann wehrsch annerscht komme un's dheht besser imm'n stieh.
WS19	Wer hot m'r mein Ko͡arb met Flahsch g'stohle?
WS20	Er dho͡aht su, als hätte s'n zo͡aum Dräsche bestellt, si hoawes owwer selber g'dho͡an <(n verschluckt)>.
WS21	Wem hott'r di neu G'schicht verzehlt?
WS22	M'r muß laut kreische <(schreie)>, sonst verstih'r uns net.
WS23	Mir <(wir)> seih neud un hun Do͡arscht.
WS24	Als m'r gester⁀Obend serick kohme, do loage di Annern schun'm Bett un woarn fest ohm schlofe.
WS25	D'r Schnie is <ist> {ist ausgestrichen} heint Noahcht bei uns leie <(leje)> blewwe, oawer heut Moarje is'r g'schmolze.
WS26	Hinner uhm Haus stih drei schiene Äppelbämercher met rure Äppelcher.
WS27	Kennt ihr net no͡ach n'Ahgebleckche <(e bissi)> uff uns wo͡ahrte, dann gieh m'r met auch <(euch)>.
WS28	Ihr derft su kaan <(n verschluckt)> Kinnerreie treiwe.
WS29	Uhn <(durch die Nase)> Berje sei net siehr huch, euer Berje seihn vill hiecher.
WS30	Weivill Pond Wo͡arscht un weivill Bruhd wollt'r hoawe <(hunn)>?
WS31	Eich verstieh auch <(euch)> net, ihr misst e bissi laurer schwätze <(spreche)>.
WS32	Ho͡abt'r kahn <(durch den Gaumen)> Steckelche weiß Sahf uff meim Desch firr mich g'fonne?
WS33	Seihn Brurer will zwaa schiene neue Häuser en euern Go͡ahrte baue.
WS34	Dess Woart kohm'm vohn Herze.
WS35	Dess woar rehcht vohn <(n durch die Nase)> ihne.
WS36	Woaß setze do firr Viggelcher <(Vichelcher)> ohwe uff dem Mäuerche?
WS37	Di Bauern harre finf Ockse un neuhn <(n durch die Nase)> Kieh un zwelf Schefercher virs Doarf g'bro͡acht, dei wollte se verkaafe.
WS38	Die Leut seihn heut all drauß uff'm Fe͡ald un mehe.
WS39	Gieh nur, der brauhn <(durch die Nase)> Hond dho͡aut d'r niks.
WS40	Eich seihn met d'Leut do henne iwwer di Wiss en's Ko͡urn g'fo͡ahrn.
