---
Bogennummer: '44625'
Ort: Bürglen
Gid: 20434
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der Lehrer schreibt manchmal den Buchstaben ''h'' wie ein ''k'': So
  in Satz 23: ''scho''; Satz 33: ''schöni''; Satz 34: ''choo''; Satz 35: ''ischt'';
  Satz 37: ''Schö̆ö̆fli''gfahrĕ''; Satz 40: ''gfahrĕ''}'
Erstelldatum: 2025-09-27 15:38:43.249569
Änderungsdatum: 2025-09-29 14:56:03.233311
Satzversion: 1
...
WS1	Im Winter flüüged di trochne Bletter i de Loft ommenand.
WS2	Es hört bald uuf schneie, denn wört s' Wätter wider besser.
WS3	Tue Chŏle in Ofĕ, dass d' Milech bald afangt choche.
WS4	Där guet alt Maa ist mit em Ross im Iis iiproche ond {zunächst 'und', dann 'o' über 'u' notiert - im weiteren steht jeweils 'ond'} is chālt Wasser gfale.
WS5	Er ist vor viär oder sächs <(ä geschl.)> Woche gstorbĕ.
WS6	S' Füür ist z' starch gsi, d' Chüeche sind jo unedure ganz schwarz aaprennt {Verduppelungsstrich auf 'n'}.
WS7	Er isst d' Eier alewill ohni Salz ond Pfäffer. <( ä̱ geschlossen)>
WS8	D' Füess tönd mer weh; i glaub, i ha Blootere <( o̱ offen)>
WS9	I {zunächst 'Ich', dann 'ch' durchgestrichen} bi di de Frau gsii ond han-er-es gsaat, ond sie hät gsaat, si wells irer Töchter au säge.
WS10	I will 's au nüme too. <( o̱  geschl.)>
WS11	I schlag' dr {zunächst 'schlage', dann nach 'g' Apostroph gesetzt und 'e' mit 'd' überschrieben und zu 'dr' ergänzt} grad d' Chelle omm d' Ohre omme, du Aff.
WS12	Wo gohst ane, söled ' mr mit ' dr gooh ?  <( o geschl.)>
WS13	Es send schlächti Zite.
WS14	Mis liäbs Chend, blieb dŏ une {unklar, ob 'une' oder 'u̥ne' - vgl. Satz 15} sto̊h, di bööse Gens biessed di {zunächst 'dich', dann 'ch' durchgestrichen} z'tod.
WS15	Du häst hüt am meiste glä̊rnt {unklar, wohin der Kringel gehört; aber bisher stand er immer über dem Vokal - auf dem Wenker-Bogen sind 'une' in Satz 14 und 'glärnt' in Satz 15 so notiert, dass ' ̊ ' in einer Linie zwischen 'u' und 'ä' steht} , und best brav gsii, du tarfst früener haa goo als die andĕrĕ.
WS16	Du best no ned gross gnueg zomm e Fläsche Wii ustringge, du muescht zerst no e bitzeli wachse ond grösser wärde.
WS17	Gang, bis so guet ond säg diner Schwöster, si soll d' Kleider för eueri Mueter fertig neije ond mit dr Börste suuber mache.
WS18	Hettischt du en {zunächst 'ihn', dann durchgestrichen und 'en' darüber notiert} kennt, denn wärs anderscht usecho, ond es wo̊o̊r {das sieht eindeutig nach Kringel aus und nicht nach Trema} besser stoo mit em.
WS19	Wär hät mer min Chorb mit Fleisch gstole ?
WS20	Er hät e so to {zunächst 'ta', dann 'a' zu 'o' gemacht mit einem Häklein oben} si {zunächst etwas an 'si' angehängt, aber durchgestrichen} hetted {zunächst wohl 'hätti', dann korrigiert} en zomm Trösche aagstellt. , sie hand's aber sälber gmacht.
WS21	Wemm hätt er die neu Gschicht verzellt ?
WS22	Me mue luut rüefe, soss verstŏŏt er üüs ned.
WS23	Mer send müed ond hand Toorst.
WS24	Wo mer gest Oobed zrugg <(haa)> cho ssend, do send die andere scho im Bett gsi ond hand fest gschlofe {zunächst 'hand gschlofe', dann im Zischenraum oben 'fest' eingefügt}.
WS25	De Schnee ist die Nacht bi üüs lige plebe, aber hüt em Morge ist er gschmolze. 
WS26	Hender üsem Hus stond drü schöni Öpfelbömmli mit rote Öpfeli.
WS27	Chöned er ned {zunächst 'net', dann 't' mit 'd' überschrieben} no e Wiili uf üs warte, denn gom-mer mit eu.
WS28	Er törfed ka däriri {leere Stelle in der Eingabezeile} triebi
WS29	Üseri Bä̊rg send ned so gä̆r hoch, eueri send vill hȫcher.
WS30	Wiävill Pfond Wörscht ond wiävill Broot wend ' er haa ?
WS31	I verstand eu ned, er mond e bitzeli luuter rede.
WS32	Hand er ka Stüggli wiissi Saapfe för mi uf mim Tisch gfonde ?
WS33	Sinn Brüeder will zwaa schöni neui Hüüser i euem Garte baue.
WS34	Das Wor ischt im vo Härze choo.
WS35	Da ischt rä̊cht gsi vonene.
WS36	Wa {'hocked' ist durchgestrichen} hogged do för Vögeli uf em Müürli obe ?
WS37	D' Puure {zunächst 'Buure', dann 'P' unter 'B' gesetzt} hand füf Stiär ond nüü Chüe ond zwölf Schö̆ö̆fli vor 's Dorf use procht ghaa, die hand 's wele {zunächst 'welle'} verchauffe.
WS38	D' Lüt send hüt ali uf em Fäld {etwas ist durchgestrichen} osse ond mä̆ijed.
WS39	Gang no, dä bruu Hond tuet d'r nünt !
WS40	I bi mit de Lüüte do henĕ öber d' Wis is Chorn gfahrĕ.
