---
Bogennummer: '44579'
Ort: Landschlacht
Gid: 15815
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2026-01-27 10:12:50.510245
Änderungsdatum: 2026-01-27 10:12:50.510245
Satzversion: 1
...
WS1	Im Winter flüged di trochne Bletter i de Luft ome.
WS2	Es hört gad uf schneie, denn wird s' Wetter wider besser.
WS3	Tue Chōle in Ofe, dass d' Milch bald ofangt choche.
WS4	De gut alt Mā ist mit em Ross durs Ȳs broche u. is chāt Wasser g'falle.
WS5	Er ist vor vier oder sex Wocge g'storbe.
WS6	s' Fǖr ist z' starch g'sie, d' Chuche sind une ganz schwarz ōbrennt.
WS7	Er isst d' ier alewill ohni Salz ond {zunächst 'und', dann 'u' durchgestrichen und 'o' darüber gesetzt} Pfäffer.
WS8	D' Füess tond mer chogemǟssig weh, i {zunächst 'ie', dann 'e' gestrichen} glaub. i hon si dūrglaufe.
WS9	"I bi bi de Frau g'si {'u. h' ist durchgestrichen} ond hon ere s g'sāt {zunächst ""ere g'sāt"", dann oben 'es' eingefügt, zuletzt 'e' in 'es' gestrichen}, ond si hät g'sāt, si wells au ihrer Töchter säge."
WS10	I wills nümme tō.
WS11	J hau dr gad a paar a d' Ohre ane, du Aff.
WS12	Wo gōst du hē, sölled mer mit dr gō ?
WS13	Es sind schlechti Zȳte.
