---
Bogennummer: '45029'
Ort: Reidermoos
Sprache: Deutsch
Bogentyp: ''
Erhebung: ''
Transliterationsprojekt: CS Schweiz
Transliterent: 037af767-3b74-41aa-bf04-8ad3f5bdbb29
Anmerkungen: ''
Erstelldatum: '2018-09-10 14:18:55.425647'
...
WS1	Em Wenter flü̱ge di trochne Bletter e de Loft ome.
WS2	s' hört ie̱tz grad [oben mit Bleistift eingefügt:] uf  z' schneie, de werd s' Wätter weder besser.
WS3	Tu̱e Chole e Ofe, ass d' Möuch gli afod z' süüde.
WS4	Dä guet au̱t Maa esch met em Ross dors I̱esch ['e' ist ganz dünn mit Bleistift durchgestrichen]  dore broche & es chau̱t Wasser ghei̱t.
WS5	är esch vor vie̱r oder sächs Woche gstorbe.
WS6	s' Für esch t'schdarch [Apostroph ist ganz dünn von Hand eingefügt]  gsi, d' Chueche send jo ondevör ganz schwarz brönnt.
WS7	är esst d' Eier emmer oni Salz ond Pfäffer.
WS8	d' Füess tömmer osennig weh, e glaube n' e heig Blotére [das ursprünglich zweite 'o' ist manuell durchgestrichen].
WS9	E be be der Frau gsi ond haneres gseit, ond se (auch si) hed gseit, se wöus au e ehrem Meitschi sä̱ge.
WS10	E wotts au nömme mache.
WS11	E hauder grad met de Chelle om d' Ohre n' ome, du Aff.
WS12	Wo gosch he, sellemer metter cho.
WS13	s' send schlächti Zite.
WS14	Mis lie̱b Chend, blieb do onde stoh, di böse Ganse bisse di z' tod.
WS15	Du hesch höt am meischte glehrt ond besch artig gsi (hesch ordli to) du darfsch früecher (früener) hei ass di Andere.
WS16	Du besch noni gross gnue, för ne Fläsche Wi us z' trenke, du mosch z' erscht nochli wachse ond grösser wärde.
WS17	"Gang, bes so guet, ond säg e diner Schwöschter, si sett d' Kleider för eui Muė̱tter [das erste 'e' in ""Muetter"" ist unterstrichen und hat ausserdem einen senkrechten Akzent]  fertig näje ondsi met de Börschte suuber mache."
WS18	Hättesche du könnt de wärs anderisch cho ond es schtieng besser omin. (tät besser omin schto)
WS19	Wär hettmer mi Chorb med Fleisch g' schtole ?
WS20	är hett de gliche to, wi wenn s' ene gheisse hätte, cho z' drösche, si hends aber säu̱ber gmacht.
