---
Bogennummer: 03092
Ort: Stare Bolity
Gid: 160071
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Nele Rahn
Erstelldatum: 2025-03-16 20:31:01.957943
Änderungsdatum: 2025-03-16 20:31:01.957943
Satzversion: 1
...
WS1	Jm Winter fleige de treige<(a)> Blätter dorch de Loft herüm<(ö)>.
WS2	Es hert gleich off zu schnee, denn werd<ä> 's Wetter wedder besser.
WS3	Thu Kohle in ne Obe, dass de Melch<(ö)> bāld an ze koche fängt.
WS4	De gudde alte Mann es me<(ö)>t dem Pferd dorch's Eis gebroche u<(o)>n en 's kalte Wasser gefalle.
WS5	Ear e<(ö)>s vor vier ŏber sechs Woche gestorbe.
WS6	Das Feier<(a)> woar ze heeß, de Kuches seie joau unge ganz schwarz gebrennt.
WS7	Ee<(a)>r esst de Eier ömmer ohne Salz u<(o)>n Pfeffer.
WS8	De Fü̆ß thun mee<(a)>r sehr wieh, e<(ö)>ch glob,e<(ö)>ch hoau se dorch gelofe.
WS9	E<(ö)>ch sei bei de<(a)>r Frau gewest u<(o)>n hoau es er gesoaugt, u<(o)>n sei soaugt, se wöll es och ehrer Tochter soauge.
WS10	E<(ö)>ch we<(ö)>lls och nich mie we<(ö)>dder thun.
WS11	E<(ö)>ch schloau de<(a)>r glei<(a)>ch met demm Kochle<(ä)>ffel ö<(ü)>m de Ohre, du Aff.
WS12	Wo gehst du he<(ö)>n, sull we<(a)>r me<(ö)>t de<(a)>r gehe?
WS13	Es sei<(ai)>e schlechte Zei<(a)>te.
WS14	Mei<(a)>n liebes Kind, bleib hier unge stehe, de schlömme Gäns' beiße de<(ö)>ch todt.
WS15	Du hoast heite am mehrschte gelehrt u<(o)>n be<(ö)>st oartig gewest, du kannst ruscher nach Haus' gehe als de Andre.
WS16	Du be<(ö)>st noach nich groß genugg, ü<(ö)>m enne Flasch Wein auszutrinke, du mußt erscht noach e Eng wachse u<(o)>n grösser were.
WS17	Geh', sei so gutt u<(o)>n soag dei<(ai)>ner Schwester, se sull de Kleder vorr ei<(ai)>re Mutter fertig nähe u<(o)>n me<(ö)>t derr Berscht reen mache.
WS18	Hässt du e<(ö)>n gekennt! denn wär es andersch gekomme, u<(o)>n es thät besser ü<(ö)>m en stehe.
WS19	We<(ä)>r hoatt méé<(a)>r meine Korb me<(ö)>tt Flesch gestohle?
WS20	Ee<(a)>r thoat so, als hätte se e<(ö)>n zu<(ö)>m Dresche bestellt; se hoaue e<(ö)>s oaber selber gethoaue.
WS21	Wem hoatt ee<(a)>r de nei<(ai)>e Geschichte verzählt?
WS22	Man must laut schrei<ai>e, sonst versteht ee<(a)>r u<(o)>ns nich.
WS23	Wee<(a)>r sei<ai>e meid o<(u)>n hoaue Dorscht.
WS24	Als wee<(a)>r gester Oabend zeröck kaome, dao laoge de Andre all ze Bett o<(u)>n waore fest am Schlaofe.
WS25	Dee Schnee e<(ö)>s disse Nacht bei o<(u)>ns ligge geblebe, aobber hei<(ai)>te ze Morgens e<(ö)>s ee<(a)>r geschmolze.
WS26	Hinger u<(o)>nsem Haus' stehe drei schene Aeppelbömches mö<(e)>tt rothe Aeppelches. 
WS27	Könnt ee<(a)>r nich noch e Ogeblöckche off u<(o)>ns woarte, denn gehe wee<(a)>r me<(ö)>tt ei<(ai)>ch.
WS28	Ee<(a)>r dörft nich so 'ne Kingerei<(ai)>e trei<(ai)>be.
WS29	O<(u)>nse Berge sei<(ai)>e nich sehe<(a)>r hog, ei<(ai)>re sei<(ai)>e veel höcher.
WS30	Wiveel Pfund Worscht o<(u)>n wiveel Brod wöllt ee<(a)>r hoaue?
WS31	E<(ö)>ch versteh ei<(ai)>ch nich, ee<(a)>r musst es be<(ö)>sche lauter rede. 
WS32	Hoart ee<(a)>r keen Stü<(ö)>ckche wei<(ai)>ße Seef' verr me<(ö)>ch off mei<(ai)>nem Te<(ö)>sch gefunge?
WS33	Sein Bruder we<(ö)>ll se<(ö)>ch zwe<(ä)> hübsche nei<(ai)>e Haiser e<(ö)>n ei<(ai)>ren Goarte baue.
WS34	Das Wort koam e<(ö)>m vin Herze.
WS35	Das woar recht von 'nee.
WS36	Was se<(ö)>tze doau verr Vägelches obe off dem Maierche.
WS37	De Paure hadde fö<(ü)>nf Ochse o<(u)>n nei<(ai)>e Küh o<(u)>n zwe<(ä)>lf Schoaufches vorr's Dorf gebrocht, die wulle se verkofe.
WS38	De Lei<(ai)>t sei<(ai)>e hei<(ai)>t aller drauße off ne Feld o<(u)>n haue.
WS39	Geh man, de<(ä)> braue Hund thitt dee<(a)>r nuscht.
WS40	E<(ö)>ch sei me<(ö)>tt de Lei<(ai)>t doau hinge eber de Wees' ä<(ö)>es Korn gefoauhre.
