---
Bogennummer: '44587'
Ort: Schneisingen
Gid: 16567
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-08-04 17:33:14.749891
Änderungsdatum: 2023-08-04 17:33:14.749891
Satzversion: 1
...
WS1	im winter flüüge di trochne bletter ì d[e]r lùft ùme.
WS2	s hört eiswegs uuf schneie, dänn wird s wätter wider besser.
WS3	tùe chòle i der òfe, ass d' milch glii afot chòche.
WS4	der guet alt maa ischt mit em ross durs iis bròche und i s chalt wasser gheit.
WS5	er ischt vor vier oder sechs woche gstoorbe.
WS6	s' füür ischt grooss gsii, d' chueche sind jo [un]de {oder 'mide' ? es sieht aus wie ein i-Punkt} ganz schwarz brännt.
WS7	er ì̇sst d' eier immer ohni salz und pfäffer.
WS8	d' füess tüend mör gruusig wee, ì glaub, ì ha si dùre gloffe.
WS9	i bi bi der freu gsii und han er ès gseit, und si het gseit, si wèlls au ihrer tòchter sääge {zunächst 'säge', dann zwischen 'ä' und 'g' oben 'ä' eingefügt}
WS10	i wills au niè mee tùe.
WS11	i schloo di eiswegs mit em chochlöffel um t' ohre.
WS12	wo gosch hee, selidmor mit der goo.
WS13	es sind schlächti Zitte.
WS14	mi lièbs chind, bliib do unde stoo, di bööse gäns bissid di z' dood.
WS15	du häscht hüt am meischte glehrt und bischt artig gsii, du darfscht früener hei go ass di andere.
WS16	du bischt nònid gross gnueg, um e fläsche wii usztrinke, du muescht zerscht no ö̀ppis wachse u. grösser werde.
WS17	gang bis so guet und sä̀g dìner schwöschter, si söll kleider für eui mùetter fertig neiee u. mit dor bürschte suuber mache.
WS18	hättischt in kännt !  dänn wärs anderscht cho, und er stiend besser.
WS19	wer hä̀d mir min chorb mit fleisch gstòle ?
WS20	er häd so too, wi wämms en zum trösche bstellt {zunächst 'bestellt', dann 1.'e' durchgestrichen} ghaa hättid, si händs aber sälber gmacht.
WS21	i wemm hà̈d {Gravis und Strichlein für Umlaut stehen nebeneinander} er di nöi gschicht verzellt ?
