---
Bogennummer: '17997'
Ort: Georgenberg (Spišská Sobota)
Gid: 547207
Transliterationsprojekt: e0903261-3aeb-499d-9404-1d95c2c3c3f2
Transliterent: Heinz Müller
Erstelldatum: 2026-01-21 19:26:02.271191
Änderungsdatum: 2026-01-21 19:26:02.271191
Satzversion: 1
...
WS1	Ën Wënter fliegen die traigen Blätter ën der Loft rëm
WS2	Es hërt glaich of zů stieben, denn werd's Wëter wieder beszer
WS3	Tů Käůln ën Äůbn, daß die Melich bald zů Kochen onfängt.
WS4	Der gůte alte Mann es mëtn Roß důrchs Eis gebrochen and ëns kalte Waßer gefalln.
WS5	Ër ës var vier oder sechs Wochen gestorben.
WS6	S Feůer wor zů stark, die Kuchen sain je ůnten ganz schwarz gebriet.
WS7	Er ëßt die Aier im̄er ohne Salz [a]nd Tfaffer
WS8	Die Fiß tůn mer wëih, ich denk ich hose durchgeläůfen
WS9	"Ich sei bei der Frau gewäst and ho s er gesogt, and sie segt, sie wëll s äůch der Tochter s[o]gen {oder ""segen""}"
WS10	Ich wë̈ll s äuch nëch mei tůn.
WS11	Ich schläů dich glaich mët e Kochleffel ëm die Ohren, dů Aff!
WS12	Wů gëist, soll ber mët der gëin.
WS13	S sein schlechte Zaiten
WS14	Main liebes Kënd, blaib hie ůnten stëin, die bäisen Gäns baißen dich täůt.
WS15	Dů hast heůt am mëisten gëlërnt. and bes[t] ortich gewëst, dů derfst ëinter ënhëim gëin, wie die andern.
WS16	Dů bëst noch nech grůß genů̊g, em ä Flasch Wain aůszůtrënken, dů můßt erscht noch ewos wochsen and greßer wërn
WS17	Geih, sai säů gůt and sog deiner Schwester, se solldie Klëider far aire Můtter fertich nëihn, and mët der Birscht rëin machen.
WS18	Hättst nen gekannt! denn wär s andersch gekům̄. and s wollt beßer ëm nen stëihn.
WS19	Wer hat mer main Karb mët Flëisch gestäůln.
WS20	"Ër hat säů getäůn, als hätten se[n] {der angefangene Buchstabe ""n"" wurde durchgestrichen] nen zůs Dreschen bestellt; sie hon's ober selbst getäůn"
