---
Bogennummer: '46105'
Ort: Saanen
Gid: 17261
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Markus Oehrli und Walter Raaflaub
Anmerkungen: 'Übersetzer: Gottlieb Mösching (1876–1953/54), und Dr. Emanuel Friedli
  (1846–1939), Autor der Reihe «Bärndütsch als Spiegel bernischen Volkstums»'
Original Anmerkungen: "Lesezeichen {auf der Rückseite}: \nEin   ̆ über Vokalen (ă)\
  \ deutet auf Kürze.\nEin ´ auf        \"     (á,á̆)  \"     den Träger des Wort-\
  \ oder Satztons.\nḁ  e̥  o̥  sind enttonte Vokale.\nị  ụ  ụ̈ sind geschlossene,\
  \ i̧  u̧  ü̧  offene Laute.\nk = gch\nṇ = ng\nde<nn> = euphonischer Einschub {hochgestellter\
  \ optionaler Konsonant, meist nur Hinweis zur Wiederherstellung des gewohnten Wortbildes}\n\
  {st = schd}\n{sz = ss}"
Erstelldatum: 2024-12-01 16:01:00.070296
Änderungsdatum: 2024-12-01 16:17:57.693962
Satzversion: 1
...
WS1	Im Winter fleuge di̧ trochene Blätter i̧<n> d'r Luft umha.
WS2	Es hört bald uf z'schnije, de<n̄> wü̆rd d's Wätter wĭ̧der besser.
WS3	Tue Chŏle<n> i'n Ŏfe, dass d'Milch bald afe̥e̥t z's chochche.
WS4	Dää<r> guet alt Maa<nn> isch mit em Ross dür<ch>d's Ịịsch b'rocheche {soll: b'rochche} u<nd> i'<n> d's chalt Wasser g'hĭt.
WS5	Är ist vor vier oder säx Wuchche g'storbe.
WS6	d's Fụ̈ụ̈r ist z'starchs g'sịị, g' d' Chue̥che si u̧n̄a ja ganz schwarz verbrän̄t.
WS7	Er iszt d'Eier gẹng ŏhni <Salz> {korrigiert} Saalz u<nd> Pfäffer.
WS8	D'Füesz tüe̥ me̥r <grụ̈se̥lich> {korrigiert} grụ̈ụ̈se̥lich weh, i<ch> gloube, i<ch> ha {fehlt: sie} dü̧ȩer<ch> g'lü̧ffe.
WS9	I<ch> bi̧<n> bi̧ de̥r Frou g'sii u<nd> ha 'ra's g'seit, u<n> sịa seit, si wälli's ira'r Tächter óoch sä̆ge.
WS10	I<ch> wott's ni̧t meh machche.
WS11	I<ch> schlaa de̥r de̥r Chochlöffel um d'Ohre, dụe̥ Aff!
WS12	Wa gẹist dụe̥ hi̧i̧n, sölle wie̥r mit de̥r gaa<n>?
WS13	Es sị<n> schlächti Zịte!
WS14	Mị̆s lieb's Chind, blịb hie u̧n̄a staa, {fehlt: böse} G'<(die)>äns {eingeschobener Verständnishinweis} bị̆ị̆sse di̧<ch> su̧st z'toot.
WS15	Dụe̥ häst hụ̈t am meiste g'lehrt u<nd> bist artig's g'sịị, du tarfst <frücher> {korrigiert} früe̥cher heim, als die andere.
WS16	Dụe̥ bist noch ni̧t gross g'nue̥g, für n'e Fläsche Wịị<n> ụụsz'suffe, dụe̥ mue̥st noch e̥s bi̧tzi̧ waxe u<nd> gröser wärde.
WS17	Sig so guet u<nd> gang sä̆g dị'r Schwöster, si sölli g<(die)>Chlẹider {eingeschobener Verständnishinweis} fü̧er euwi Mue̥ter fertig nee̥ije u<nd> bü̧rste.
WS18	Hättisch dụe̥ n'ḁ b'chennt, de<nn> weeri's anders choo<n> u<nd> es stüe̥ndi besser um'ḁ.
WS19	Wäär hät me̥r mị<n> Chorb mit de̥m Fleisch g'stŏhle?
WS20	Er hät ḁ<l>s'o {soll: ḁ<l>só} táa wi̧ we<nn> si̧ 'nḁ zum Tröschsche b'stellt {fehlt: hätten}, si̧ heĭs aber sälber g'macht.
WS21	Wääm hät äär di̧ nụ̈wi G'schicht erzällt?
WS22	Mụ mue̥s<s> lụt brüele, sü̧st versteit äär ü̧ns ni̧t.
WS23	Wịe̥r sị müed u<nd> hei Durst.
WS24	Wa wịe̥r göster am Abe z'ru̧gg cho<n> sii, da sị di̧ anderḁ scho<n> im Bett g'sịị u<nd> hei fest g'schlaafe.
WS25	D'r Schnee ist diesi Nacht bi̧n ü̧ns b'blĭ̧ebe lĭ̧ege, aber hüt am Morge ist e̥r wĭ̧dder g'schmolze.
WS26	Hinder ü̧nsem Hụụs staa<n> drụ̈j schöni Öpfelbäumle̥ni mit rote Öpfe̥le̥ne̥<n>.
WS27	Chönnt ie̥hr ni̧t es Augeblicki u̧f ü̧ns warte, de chäme<n> we̥r mitu̧ch.
WS28	Ihr söllt ni̧t ḁ<l>s'ó {soll: ḁ<l>só} chintli̧ch tue̥<n>.
WS29	Ü̧nsi Bärga sị ni̧t ḁ<l>só hööij, öwi sị vi̧el höiijer.
WS30	Wie meṇgs Pfund Wurst u<nd> wie meṇgs Bröötli {fehlt: wollt} iehr ha?
WS31	I<ch> verstaa<n> u̧ch nü̆t, iehr müeszt's e̥s bi̧i̧zi lụter säge.
WS32	Heit iehr gheis Stü̧ckli {fehlt: weisse} Seiffe fụ̈r mi̧<ch> uf mi'm Tisch g'funde?
WS33	Sị<n> Brueder will für sie̥ch zweu {fehlt: schöne} nụ̈wi Hụ̈̆ser in öwe̥m Garte bụwe.
WS34	Das Wort ist m'ụ u̧sem <de̥m> Häärze {eingeschobener Verständnishinweis} choo<n>.
WS35	Das ist rächt gsi van ụch!
WS36	Was für Vöge̥leni sitze daa ufe̥m Mụ̈ụ̈rli?
WS37	D' B'<(die)>ure {eingeschobener Verständnishinweis} hei fü̧f Oxe u<nd> nụ̈ụ̈n Chụ̈e̥h u<nd> zwölf Schaffle̥ni vord's Dorf b'racht, si̧ hei si̧ welle <verchou̧ffe> {korrigiert} verchou̧wffe.
WS38	D'Lü̆t si hụ̈t alli u̧fe<de̥>m {eingeschobener Verständnishinweis} Fäld u̧szna u<nd> meeje.
WS39	Gang nu̧ma de̥r brun Hund tue̥t de̥r nụ̈̆t.
WS40	I bi<n> mit de<n> Lụ̈̆te da hinderna über d'Mḁtte {fehlt: ins Korn} g'fahre.
