---
Bogennummer: '04622'
Ort: Fredersdorf
Gid: 126515
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Nele Rahn
Erstelldatum: 2025-07-22 17:48:48.502348
Änderungsdatum: 2025-07-22 17:48:48.502348
Satzversion: 1
...
WS1	In'n Winter flehn die dröhn Bläder dörch die Luft rum.
WS2	Dett jört gleich upp te schneien, denn wärd dett Weäder wedder besser.
WS3	Schmiet Koahl'n inn kacheln, <(auch Kachelnoahn)> dätte Melk balle an de kochene fangt.
WS4	Där juede olle Mann iß mit dett Pärd dörcht Ies gebroaken un int kolle Woater gefalln.
WS5	Hä iß vorr vier odder sechs Wochen gestorbm.
WS6	{siehe Satz 7} Dett Führ war tue heht, die Kuĕken sin jo ünggene ganz schwart gebrennt.
WS7	Hä ett die Eier ummer oahne Solt un Peäper.
WS8	Die Füete <(de Behne)> duen meie sëhre weih, ick glöh, ick häse <(meie)> dörch jelopen.
WS9	Ick bin bei die Fraue jewest un hät öer jeseät un sei sedde, sei wollet ok öhre Dochter seien.
WS10	Ick willt ok nich wedder duĕn.
WS11	Ick schloa däi gläich mett'e Kochleäpel umme de Ohrn, dĕ Affe, <(auch: du Oape)>.
WS12	Wua goaste hen, söälwe dänn mett goahn?
WS13	Dett sin <(zund)> schlechte Tieten.
WS14	Mien liewes Kind, bliech hie ünggene stoahn, die olle Gänse bieten däi doht.
WS15	Dou <(Dau)> hest hüte dett meste gelehrt un bist orndtlich <(schmuck)> gewest, dou därscht ehr noa Hus goahn es wie die ändern.
WS16	Dou bist noch to klehne, umme enn Pulle Wien ut de drinkene, dau müßt irscht noch in Engge wassen un grötter wärn.
WS17	Gauk, sich so guet un seicht diene Schwester, sei sall die Kleder forr öhre <(joue)> Muttern fährig nähn un mette Börschte reene moaken.
WS18	Häddest daun gekennt! denn wäret ändersch gekoahm, un ett schtünne besser umme äm <(un dedde besser um äm stoahn)>.
WS19	Wär hett mei in Korf <(auch: mei mien Korf)> mett Flesch gestoahln?
WS20	Hä dette balle so, eß wie sei äm tumm dröschen bestellt haddn, äwer sei häntselber <(oder: sellewer)> gedoahn.
