---
Bogennummer: '05721'
Ort: Döllstädt
Gid: 138348
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Springer
Erstelldatum: 2026-02-12 21:27:54.870584
Änderungsdatum: 2026-02-12 21:27:54.870584
Satzversion: 1
...
WS1	Im Wäinter fläin de trockne Blätter därch de Loft herem. 
WS2	Es hiert gläich off ze schnäin, dann wards Watter wäder besser. <(a ganz hell gespr.)>
WS3	Thue Koll´n in den Uëm, daß de Mällich bal oan ze kochen fängt. 
WS4	"Der guete ale Mann äs mät den<m> Pfare därch´s Is gebrochen on <und> {wurde überschrieben} in das kale Wasser gefall´n. {über ""ale"", ""Mann"" und ""Pfare"" steht jeweils <(a hell)>}"
WS5	A äs var vier oder sachs Wochen geschtorben <gestorben> {st wurde zu scht korrigiert}
WS6	"Das Fiër woar ze heiß, de Kuechen sinn ongne schwarz gebrannt. {über ""gebrannt"" steht <(a hell)>}"
WS7	A eßt de Eier emmer ohne Salz <(a hell u. lang)> on Pfaffer <(a hell)>. 
WS8	De Fiëße thonn mer sier wieh, ech gleibe, ech han se därchgelaufen. 
WS9	Ech bänn bi der Frauwe gewast on han´s ehr gesat on se sat, se well´s au ehrer Tochter sa. 
WS10	Ech wäll´s au nech mieh wäder tue. 
WS11	Ech schlo dech gläich mät den Kochläffel henger de Uhren, du Aff´! 
WS12	Wu gest due hän{durchgestrichenes 2. n}, som me mät dech giëh. 
WS13	As sin schlaëchte Zieten! 
WS14	"Min liëbes Käind, blieb hië ongen schtië <stië>, de biëse Gänse bissen dech tued. {st in ""schtië"" wurde zu scht korrigiert} "
WS15	Due häst hitt am meisten gelarnt on best oartig gewast, due derfst früher heim giëh, als de annern. 
WS16	Du best noch nech gruëß genong, em ane Flaschen Wien {durchgestrichenes a}usze trenken, du[e] moßt erscht noch an Eng woachs on größer war. 
WS17	Giëh, sik su guët on sa dinner Schwaster, se sell de Kleider far auwere Motter fart´g nieh on mät der Berschten rein mach´. 
WS18	"Hatt´st due ehn gekannt! do wers annerscht gekommen on as th[ä]t besser em ehn schtiëh <stiëh>. {st in ""schtiëh"" wurde zu scht korrigiert} "
WS19	"War hät mech min Korb met Fleisch geschtoll´n <gestoll´n>?  {st in ""geschtoll´n"" wurde zu scht korrigiert} "
WS20	"A thoat sue, als hatten se ehn zun Draschen beschtallt <bestallt>; se hon´s aber salber gethann. {st in ""beschtallt"" wurde zu scht korrigiert}"
WS21	Wan hät e die nauwe Geschechte arzallt. 
WS22	"Me moß lut schräi, sost varschtiet <varstiet> a ons nech. {st in ""varschtiet"" wurde zu scht korrigiert}"
WS23	Mi sinn miëde on han Dorscht. 
WS24	Als me gestern Omd zereck koamen, da loagen de annern schonn ze Bett on woaren fest an Schlof[e]. 
WS25	Der Schnäi äs dies Nacht bi ons lie gebläm´, aber hitt Morgen äs a zergenn. 
WS26	"Henger onser´n Huse stenn dräi schiëne Apfelbeimchen mät ruethen Aepflerchen. {""schiëne"" ist von oben eingefügt}"
WS27	"Konnt da <ihr> nech nach an Augenbleckchen gewort, dann genn me mät och. {""ihr"" ist durchgestrichen, darüber steht ""da""}"
WS28	"Die <Ihr> darft nech selche Kengeräin triebe. {""Ihr"" ist durchgestrichen, darüber steht ""Di""}"
WS29	[O]nsere Barge sinn nech siër huech, de auwern sinn veäl hecher. 
WS30	Wie veäl Pfond Worscht on wie veäl Brued wollt da hae. 
WS31	Ech varstiëh och nech, die mot a beschen luter spraëch. 
WS32	Hott da kei Steckchen wisse Seifen far mech off min Tesch gefongen. 
WS33	Sinn Bruëder wäll sech zwei schiene nauwe Hisser in auwern Gorten bauwe. 
WS34	Das Wort koam ehn von Harzen. 
WS35	Das woar raächt von ehn. 
WS36	"Was setzen do far Veilchen uëwen <uëben> uff dan Muerchen. {In ""uëben"" ist das b durchgestrichen, darüber steht <w>}"
WS37	De Buern hatten fenf Ochsen on nihn Kiëwe on zwwälf Scheef-chen far´s Dorf gebrocht, die wolln se varkeif. 
WS38	De Liet sinn hitt all´ drussen uff den Falle on mahn <(hauwen).>
WS39	Gih nur, dar brune Hond thett dech nischt. 
WS40	Ech bänn mät dan Lieten do hengen äber de Weäsen in´s Korn gefahr´n. 
