---
Bogennummer: '44870'
Ort: Ursprung
Gid: 14773
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Der Lehrer hat auf Blankopapier geschrieben. Die Sätze 34 und 35 stehen
  vor Satz 33. Die Satznummern sind aber korrekt notiert.}'
Erstelldatum: 2023-05-15 13:57:03.221500
Änderungsdatum: 2023-05-25 18:37:45.903755
Satzversion: 1
...
WS1	ìm wînter flūge di tròchne blètter i dėr lùft ùme.
WS2	es hȫrt graad uuf schnè|ie, denn wìrd s' wä̀tter wi̇̀der bèsser.
WS3	tu|e chòle in òfe, as d' mi̇̀lch bald afòt chòche.
WS4	De guet, alt maa i̇̀sch mi̇̀t de ròsse dùrs iis bròche ùnd is chalt wasser ghè|it.
WS5	er i̇̀sch vōr vi|er òder sä̀chs wòche {oder ev. 'wōche' ?} gstōōrbe {der Querstrich geht über beide Buchstaben} .
WS6	s' fǖǖr {der Querstrich geht über beide Buchstaben} i̇̀sch z' schtarch {zunächst 'starch', dann 't' mit 'c' überschrieben und 'ht' über 'a'  eingefügt}  gsii, d' chueche si̇̀nd jò ùnde ganz schwarz gsii.
WS7	er i̇̀sst d' ä'ier i̇̀mmer òni salz ùnd pfäffer.
WS8	d 'pfü'èss tüènd me̊r schtarch wēē {der Querstrich geht über beide Buchstaben} , i glaͣ̈ube i häig {über 'a' steht rechts vom Trema noch ein kleines Pünktlein} si dùreglòffe.
WS9	i bē bider fraͣ̈u gsii ùnd han i̇̀r ès gsäit ùnd si̇̀ hèt gsäit si wèlls i̇̀ de̊r tòchter sääge.
WS10	i wi̇̀lls aͣ̈u nǜmme tue !
WS11	i haͣ̈u 'de̊r grad de chòchlö̀ffel ùm d' ōōre {der Querstrich geht über beide Buchstaben} <(ōme)> ùme, du aff !
WS12	wō gòscht hi̇̀i̇̀, <(müènd)> müè'me̊r mi̇̀t'der chōō {der Querstrich geht über beide Buchstaben} ?
WS13	es si̇̀nd schlächti ziite !
WS14	mis lièbs chi̇̀nd, bliib dò ùnde stòò, bȫöse {es ist unklar, ob der Querstrich über beide 'ö' geht, das 2.'ö' wurde über etwas anderes geschrieben}  ä̀nte biisse di tōt.
WS15	Du hèsch hǜt am mäischte glēērt {der Querstrich geht über beide Buchstaben} ùnd bi̇̀sch artig gsii, du tarffscht früèner hä̀i as di {zunächst 'die', dann 'e' durchgestrichen} andere.
WS16	du bi̇̀sch nò nig grōoss gnuèg fǜr {zunächst 'fǜer', dann 'e' durchgestrichen} e flä̀sche wii z' tri̇̀nke, du muèscht z' ērscht nò wachse ùnd grȫsser wärde.
WS17	Gang, bi̇̀s so guèt ùnd sä̀g de̊r schwö̀schter, si sèll d' chläider fùr ö̀iii muètter fèrtig mache ùnd mi̇̀t de̊r bȫrschte räin mache.
WS18	Hätisch du èn kènnt, so wèrs anderscht. use cho ùnd es schtiènd {zuerst 'stiènd', dann 'ch' oben zwischen 's' und 't' eingefügt} besser ùm i̇̀n.
WS19	wèr hèt 'mèr de chōrb mi̇̀t fläisch gschtòle ?
