---
Bogennummer: '45907'
Ort: Schoren bei Thun
Gid: 546246
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2022-12-26 16:51:13.389106
Änderungsdatum: 2023-01-01 13:30:15.313149
Satzversion: 1
...
WS1	Im Winter flüge die trochene Bletter i der Luft desume.
WS2	Es hört g̱ṟa̱ḏ  {'grad' ist unterstrichen}  uf schneie, de wird ds Wätter ume besser.
WS3	Tue Cholen-i Ofe, dass d'Milch baḷ afaht choche.
WS4	Dä guet aḷt Ma isch mit em Ross im Ysch ybroche u i ds chaḷte Wasser gheit.
WS5	Är isch vor vier oder sächs Wuche gstorbe.
WS6	Ds Füür isch z'schtarch gsy, d'Chüeche sy ja unger ganz verbrönnt {'n' mit Verdoppelungsstrich}.
WS7	Är isst d'Eier geng ohni Salz u Pfäffer.
WS8	D'Füess tüe mer grusig weh, i gluube <(offenes u)>, i ha se dürglöffe.
WS9	"I bi bi der Frou gsy u ha res gsiit <(gseit)> u si het gsiit, si weḷḷ's  {'ih' ist durchgestrichen - als Anfang von ""ihrer"" ?}  irer Tächter säge."
WS10	I wott's o nümme <(e kurz, aber offen)> mache.
WS11	I houe der mit em Chochlöffeḷ um d'Ohre, du Aff ! <[(gleich: hier ungebräuchlich.)]> {Der Lehrer verwendet gleichzeitig eckige und runde Klammern}
WS12	"Wo giisch {sic!} , söḷḷ mer mit der <(cho)> ? <[""cho"" nicht immer]> {'immer' mit Verdoppelungsstrich auf 'm'}"
WS13	Es sy schlächt Zyte !
WS14	Mys liebe Chind, blyb da unger {zunächst 'und', dann 'd' mit 'g' überschrieben und zu 'unger' ergänzt} <(unde)> schtah, die böse Gäns bysse di z'tod.
WS15	Du hesch hüt em miischte glehrt u bisch e brave gsy, darfsch enger <(ender)> hiim {Nummernstempel drückt von der hinteren Seite durch} als die angere.
WS16	Du bisch no nid gross gnue, für ne Fläsche Wy usztrinke, du muesch de z'ersch no e chly wachse u gröser wärde.
WS17	Gang, bis so guet u säg dyr Schwöschter, si sö[ḷḷ]i {oder soll es vielleicht 'sötti' heissen?} d'Chliider für eui Muetter fertig näje u bürschte.
WS18	Hättisch du ne g'chennt ! de wä's angersch use cho u schtiênd <(schtuend)> besser um-in. 
WS19	Wär het mier my Chorb mit Fleisch gschtole ?
WS20	Är het ta, wi we se ne zum Trösche bschteḷḷt hätt; aber si hi's sälber gmacht <(gwärchet)>
WS21	Wäm het er di neuji Gschicht erzeḷḷt ?
WS22	Mir müesse lut brüele <(päägge, möögge)>, s[u]sch {unklar, ob und ggf. was über 'u' steht: zunächst 'süsch', dann Strichlein über 'u' durchgestrichen ?} verschteit er is nid.
WS23	Mir sy müed u hei Durscht.
WS24	Wo mer geschter am Abe sy hiimcho, sy die angere scho im Bett gsy u hi fescht gschlafe.
WS25	Der Schnee isch di {zunächst 'die', dann 'e' durchgestrichen} Nacht bi us {sic!} blybe lige, aber am Morge isch er usgange.
WS26	Hinger üsem Huus schta drü schöni Öpfelbüümmeli {Verdoppelungsstrich auf 'm'} mit <(schöne)> {darüber steht:} rote  Öpfeli. 
WS27	Chüüt er nid no es Momäntli <(Uugeblickli)> warte, de chome mer o.
WS28	Dir dörfet kener settig Chindereie trybe <(verüebe)>.
WS29	Üser Bärge sy <(cheibe-)>höch; euer sy no höcher.
WS30	Wi mängs Pfund Wurscht u wiviḷ Wurscht {sic!} müesst er ha ?
WS31	I verschtah nech nid, dier müesst luter rede.
WS32	Hiit Dier ke {zunächst 'kes', dann 's' durchgestrichen} Bitz wyssi Siiffe für mi uf em Tisch gse lige ?
WS33	Sy Brueder wott zwü <(zweu)> schöni neuji Hüser boue i euem Garte.
WS34	Das isch vo Härze cho !
WS35	Das isch rächt gsy vo ne !
WS36	Was hȯcke <(höckle)>  da für Vögeli uf dam Müürli obe ?
WS37	D'Bure hi fuf {zunächst 'füf', dann Strichlein für den Umlaut durchgestrichen} Ochse, nüün Chüe u zwöḷf Schäfli vor ds Dorf bracht. Die hi si weḷḷe verchuuffe <(offenes u)>.
WS38	D'Lüt sy hüt aḷḷ verussen am Mäije.
WS39	Gang nume, dä bruun Hund macht dier nut {zunächst 'nüt', dann die Strichlein für den Umlaut durchgestrichen}.
WS40	I bi mit de Lüt da hinger uber d'Matte i ds Chorn gfahre.
