---
Bogennummer: '22897'
Ort: Vogelheim
Gid: 102575
Transliterationsprojekt: Citizen Science Projekt
Transliterent: Marc Real (real@bergischplatt.de)
Original Anmerkungen: '[Seite 2]

  Schulort: [Vogelheim]

  Kreis etc.: [Landkreis Essen]

  Regierungs-Bezirk: [Düsseldorf]

  Staat: [Preußen]

  Name des Lehrers Const. Löller

  Geburtsort des Lehrers Ruhrort

  Im Reg.-Bezirk etc., Staat Düsseldorf

  […]

  1. Geschah die Uebersetzung durch Schüler oder durch den Lehrer? [o. A.]

  2. Lautet in dem in Ihrer Schulgemeinde ortsüblichen Dialekte das g im Anfange der
  Wörter […] wie j, wie leises k, oder wie leises ch, oder wie hartes ch? Das g wird
  mehr wie ein gelindes gk ausgesp[rochen].

  3. Ist ein deutlicher Unterschied zwischen dem g in Kugel, Augen, fragen und dem
  g in Kegel, kriegen, biegen, zeigen, oder sind diese g sämmtlich in der Aussprache
  fast gleich? [„deutlicher Unterschied“ ist gestrichen]

  4. Lautet st, sp in den mundartlichen Wörtern für Stall, stellen, sprechen, Spiel
  etc. wie scht-, schp-[.]

  5. Ist sch in den mundartlichen Wörtern für fischen, waschen, Flasche etc. ein einziger
  Laut [...].

  6. Wird das r in roth, rund etc. mit der Zungenspitze […] gebildet[.]

  7. Unterscheiden die Schüler von selbst oder erst, nachdem sie ausdrücklich darauf
  aufmerksam gemacht worden sind, folgende Laute:

  a. g und ch in zeigen und Zeichen, von selbst[.]

  b. s und ß in reisen und reißen, von selbst[.]

  c. dr und tr in drehen, drüber und treten, trauen, von selbst[.]

  d. gr und kr in Greis und Kreis, von selbst[.]

  8. Haben die Einwohner Ihres Schulortes noch eine ausgeprägte Volkstracht?

  a) die Männer? b) die Frauen? [„Volkstracht“ ist gestrichen.]

  9. Wie lautet der Name des Schulorts in dortiger Mundart? und zwar:

  a) alleinstehend = Vogelheim.

  b) in dem Satze: er wohnt in…. = Vogelheim.

  ad 8 u. 29.  das Adv[erb] „sehr“ ist im h[ie]s[igen] Dialekte nicht gebräuchlich.'
Erstelldatum: 2022-07-29 17:17:31.434958
Änderungsdatum: 2022-07-29 17:44:51.477083
...
WS1	Im Winter fleigt de dröge Blähr dörch dörch de Luft herüm.
WS2	Et hört glihk op te schnien, dann wätt dat Währ wihr bätter.
WS3	Dau Kohlen in en Owen, datt de Melk bolle <bold> an te kocken fängt.
WS4	De godde olle Mann es met et Pärd dörch et Ihs gebrocken unn in ett kolle Water gefallen.
WS5	He es vö veer odder säß Wäcken gestorwen.
WS6	Et Führ war te heet, de Kauken sind unnen ganz schwatt gebrannt.
WS7	He ett de Eier ümmer ohne Solt unn Päpper.
WS8	De Fäute daut mi ganz wehn, ick glöw, ich häw se dörch geloopen.
WS9	Ick sih bi de Frau geweß unn häw et öhr gesacht, unn se sach, se woll et ock öhre Dochter seggen.
WS10	Ick well et ok nech mä [w]ähr daun!
WS11	Ick schloh di glihk met en Kockleppel ömme Ohren, du Ape!
WS12	Wo geh'ße hen, söwwi mett di gohn?
WS13	Et sind schlechte Tiden!
WS14	Min leiw Kind, bliw hier unnen stohn, de freche Göse bitt di dot.
WS15	Du heß van Dage am mersten gelährt unn du büs ardig gewessen, du draffs fröhr no Hus gohn as dä Annern.
WS16	Du büß noch nich grot genug, üm en Fläsche Wihn uttedrinken, du moß ähr noch en Enne wassen unn grötter wären.
WS17	Goh, si so gott unn sach din Süster, se soll de Kleer fö inke Moder färig neihen unn met denn Bössel rein maken.
WS18	Hätts du emm gekannt! dann wör et anners gekommen, unn et dö better öm emm stohn.
WS19	Wä het mi minem Korf met Flesch gestohlen?
WS20	Hä doh so, as hädden se emm fö te daschen bestallt; se hadden et awwer sewwer gedohn.
WS21	Wämm het hä de nie Geschichte vertallt?
WS22	Man mott luht schreien, süß versteht hä uns nich.
WS23	Wi sind mäu unn hät Doß.
WS24	As wi gister-nobend trügge kamen, do logen de Annern <annern> all im Bett unn woren fast=am schlopen.
WS25	Dän Schnee es va Nacht bi uns liggen geblewen, awwer va Morgen es hä geschmolten.
WS26	Achter unse Hus stott drei schöne Appelbömkes met rohe Äppelkes.
WS27	Kö gitt nicht noch en Ogenblicksken op uns wachten, dann go=wi net ink.
WS28	Git dörft nich son'ne Kinnerien driewen.
WS29	Onse Berge sind nicht hoch, de inken sind völl högger.
WS30	Wü völl Pund Woßt unn wüvöll Brot weggit häwwen?
WS31	Ik verstoh ink nich, gitt mött en bettken luder sprecken.
WS32	Häg=git kän Stücksken witte Seepe fö mi op minen Disch gefunnen?
WS33	Sin <Sine> Brohr well sik twee schöne nie Hüser in inken Gaden bauen.
WS34	Dat Wohrt kam emm van Hatten!
WS35	Datt war recht van ink!
WS36	Wat sitt do fö Vögelkes bowen op=et Mürken?
WS37	De Buren hadden fief Ossen unn neegen Käuhe unn twälf Schöpkes vö=et Dörp gebracht, de wollen se verkoopen.
WS38	De Lü sind vandage buten op=et Feld unn maiht.
WS39	Go mä, den <de> brunen Hund däuht di nicks.
WS40	Ik si met de Lüh do achtern op de Wiesche int Kohn <Korn> gefahren.
