---
Bogennummer: '44737'
Ort: Oeschgen
Gid: 20263
Transliterationsprojekt: Citizen Science Projekt
Anmerkungen: '{Im Seitenkopf ist mit rotem Farbstift  "st = scht   eu = öi." notiert.
  Wie in vielen Bögen aus dem Bezirk Laufenburg hat auch hier offenbar jemand die
  Übersetzungen geprüft und dann seine Kommentare mit Rotstift gemacht. Hier ist die
  Version des Lehrers transkribiert und die Korrekturen sind in geschweifter Klammer
  als "2.Hand: ..." beschrieben.}'
Erstelldatum: 2024-08-05 13:54:35.131047
Änderungsdatum: 2024-09-25 13:12:44.938590
Satzversion: 1
...
WS1	Im Winter flüügit di trochne {an 'h' rumkorrigiert} Blätter i der Luft ume.
WS2	Es hört glii uf schneie, denn wird's Wätter wider besser.
WS3	Tue Chole i Ofe-n-ie, dass d' Milch bald a fot choche.
WS4	De guet alt Ma ischt mit dem Ross durchs Is broche und is kalt Wasser gheit
WS5	Er ist vor vier oder sechs Woche gstorbe {2.Hand: 'st' rot unterstrichen}.
WS6	S' Für ist {2.Hand: 'st' rot unterstrichen} z'stark {2.Hand: 'st' rot unterstrichen} gsi, d' Kueche sind jo unte ganz schwarz verbrennt.
WS7	Er isst d' Eier emmer ohni Salz und [P]fäffer {hier unklar, ob tatsächlich 'P' ; aber Vergleich mit WS 30 zeigt, wie der Lehrer 'Pf' schreibt}.
WS8	D' Füess tüen-mer sehr weh, i glaub, i heigsi durlaufe.
WS9	I bi bider Frau gsi u. han er es gseit, u. si het gseit, si wells {vor 'au' ist ein kleines Pünktchen auf der Schreiblinie: Bedeutung ?} au ihrer Tochter sääge {zunächst 'säge', dann 'ä' oben zwischen 's' und 'ä' eingefügt}.
WS10	I wills au nümme tue.
WS11	I hauder grad mit em Chochlöffel um d' Ohre ume, du Aff.
WS12	Wo gosch he, solit mer mit dir cho ?
WS13	Es sind schlächti {wohl zunächst 'schlechti', dann 'e' mit 'ä' überschrieben} Zite.
WS14	Mis liebs Chind, bliib do unte stoh, di böse Gäns bisi di tot.
WS15	Du hesch hüt am meiste {2.Hand: 'st' rot unterstrichen} gleert {Komma ist durchgestrichen} und bisch artig gsi, du darfsch ender hei as di andere.
WS16	Du bisch noni gross gnueg, um e Fläsche Wii us ztrinke, du muesch erscht no chlei wachse u. grösser werde.
WS17	Gang u. bis so guet und säg diner Schwöster {2.Hand: 'st' rot unterstrichen}, si sell Kleider für eui Muetter fertig näihe {an 'a' rumkorrigiert} und mit de Bürschte    suber {grosser Abstand zwischen 'Bürschte' und 'suber' - ev. 'suber' erst nachträglich eingefügt?}   mache.
WS18	Hätsche kännt, de wer s andersch cho und   {grosser Abstand}   es stieng {'n' dick überschrieben} {2.Hand: 'st' rot unterstrichen} besser mitem.
WS19	Wer het mi Chorb mit dem Fleisch gstohle.
WS20	Er het so to, wie wenn si ihn zum Drösche bstellt {2.Hand: 'st' rot unterstrichen } hättit; si hend s aber selber to.
WS21	I wem het er di neu Gschicht verzellt.
WS22	Me muess lut brüele, soscht verstoht {2.Hand: 'st' rot unterstrichen} er is et.
WS23	Mir send müed und hend Durscht.
WS24	Wo mer gester Zobig zrugg cho sind, do sind die andere scho im Bett gsi und hend fest{2.Hand: 'st' rot unterstrichen} g'schlofe.
WS25	De Schnee ischt di letscht Nacht blibe, aber hüt am Morge isch er gschmolze.
WS26	Hender eusem Hus stönd drüü schöni Öpfelbäumli mit roten Öpfle.
WS27	Chöndider {kann das etwas bedeuten, wenn die beiden 'd' unterschiedlich geschrieben sind?} et e chlei uf eus warte, denn chömit mer mit ech.
WS28	Ihr dörfit et derigi Chindereie tribe.
WS29	Eusi Bärg sind et so höch, eui sėnd {zunächst wohl 'i', denn dick mit 'e' überschrieben}  vil höcher.
WS30	Wi mengs Pfund Würscht und wi vil Brot müend er ha ?
WS31	I verstoh {2.Hand: 'st' rot unterstrichen} nich et, ihr müend e bitzeli lüter rede.
WS32	Händer e keis Stückli {2.Hand: 'St' rot unterstrichen} wissi Seipfi für mi uf mim Tisch gfunde ?
WS33	Si Brüeder will für sich zwöi schöni nöi Hüser i euem Garte boue.
WS34	S' Wort isch em vo Härze scho.
WS35	Das isch recht gsi vo eu.
WS36	Was sitzid do für Vögeli ufem Mürli obe.
WS37	D' Bure hend föif Stiere {2.Hand: 'St' rot unterstrichen} u. nün Chüe u. zwölf Schöfli vor s' Dorf brocht, si hend s welle verchaufe.
WS38	D' Lüt sind {vielleicht zunächst 'e' und dann mit 'i' überschrieben ?} hüt alli uf em Feld usse und määhjit {zunächst 'mähit', dann 'ä' obem zwischen 'm' und 'ä' eingesetzt}
WS39	Gang ume {zunächst 'nume', 'n' durchgestrichen}, de brun Hund tuet der nüt.
WS40	I bi mit de Lüte do hinde über d' Matte is Chorn i gfahre {zunächst 'is Chorn gfahre', dann 'i' oben zwischen 'Chorn' und 'gfahre' eingefügt}.
