---
Bogennummer: '45439'
Ort: Zollikon
Gid: 16946
Transliterationsprojekt: Citizen Science Projekt
Erstelldatum: 2023-10-17 16:50:36.319120
Änderungsdatum: 2023-11-08 13:56:06.734369
Satzversion: 1
...
WS21	Wem hät er die neu Gschicht verzellt ?
WS22	{'Man' ist durchgestrichen} Me mues lut jole, suscht verstaht er eus nöd.
WS23	Mer sind müed und händ Durst {zunächst 'durst', dann 'd' mit 'D' überschrieben} .
WS24	Wo mer gestert z'abig z'rugg cho sind, do sind die andere scho im Bett gläge und sind fest am Schlafe gsi.
WS25	De Schnee ist die Nacht bi eus lige blibe, aber hüt e morge ist er g'schmolze.
WS26	Hinder euserem Hus stöhnd drü schöni Öpfelbäumli mit rote-n-Öpfel.
WS27	Chönd er nöd no es Augeblickli warte; dänn gö-mer mid eu.
WS28	<(Ihr dürft nicht)> {aus Versehen Satzanfang auf schriftdeutsch} Ihr dörfed nöd {zunächst 'nid', dann 'i' mit 'ö' überschrieben} settigi Chindereie triebe.
WS29	Euseri Berg sind {zunächst 'Euseri sind', dann 'Berg' oben in den Wortzwischenraum geschrieben} nöd grad hoch, eueri sind vill höcher. 
WS30	Wie mängs Pfund Wurst und wie viel Brot müend er ha ? 
WS31	I verstah eu nöd, ihr müend e chli luter rede.
WS32	Händ ihr käs Stückli wiessi Seupfe für mi uf mim Tisch gfunde ?
WS33	Sin Büeder wot sich in eurem {sic}Garte zwei schöni neui Hüser boue.
WS34	Das Wort ist em vo Herze cho.
WS35	Das ist rächt gsie vo-n-ene.
WS36	Was sitzed da für Vögel uf em Mürli obe ?
WS37	D' Bure händ feuf Stier und nün Chüe und zwölf Schöfli vor 's Dorf use bracht. die händ s' wele verchaufe.
WS38	D' Lüt sind hüt alli dusse uf em Fäld und mähed.
WS39	Gang nu, de brun Hund tuet d[a] {zunächst wohl 'dr' , dann 2.Buchstabe mit 'a' überschrieben} nüt !
WS40	I bi mit de Lüt {dieser Satzteil steht noch auf der Zeile von WS 39} da hinne über d' Wise is Chorn gfahre.
